Name,Predicted
Antonio Brown,21.40841738048698
DeAndre Hopkins,18.663770933564482
Michael Thomas,18.583957795275484
Julio Jones,17.464283882928104
Keenan Allen,17.01477026569557
AJ Green,17.05564407320491
Davante Adams,15.382088335308895
Stefon Diggs,15.194481472063583
T.Y. Hilton,14.667191152152222
Tyreek Hill,15.276387563619737
Adam Thielen,14.77324175919426
Chris Hogan,14.21171422843363
Odell Beckham Jr,14.546850329091908
Mike Evans,13.87141295586509
Marvin Jones,13.063548467544638
Juju Smith-Schuster,13.371409906784395
Golden Tate,14.316060108671062
Larry Fitzgerald,14.72577623693513
Demaryius Thomas,14.05553911852668
Jarvis Landry,14.915385580844493
Amari Cooper,13.40057605849892
Brandin Cooks,12.970335088619139
Doug Baldwin,13.263791267388207
Kenny Stills,11.84257016918032
Nelson Agholor,12.634950671963558
Allen Robinson,11.844110969947089
Will Fuller,11.35690509679192
Robby Anderson,11.881362474266876
Cooper Kupp,11.880514167324861
Michael Crabtree,12.08593890260011
Emmanuel Sanders,11.765284177630587
Devin Funchess,11.209807274216885
Robert Woods,11.668292671233159
Corey Davis,11.656532111680606
Marquise Goodwin,11.046683098517398
Randall Cobb,11.528240041172923
Jamison Crowder,11.66522451666672
Josh Gordon,10.546990966262943
Tyrell Williams,9.901762700464637
Keelan Cole,10.227494653628007
Ted Ginn,10.050820501592444
Sterling Shepard,10.66804537607853
Pierre Garcon,10.283928866164933
Sammy Watkins,9.630646230065114
Kenny Golladay,9.405009315850647
Kelvin Benjamin,9.71209408944103
DeSean Jackson,9.351261180748475
Mohamed Sanu,9.79327464693254
Quincy Enunwa,9.144373900120316
Rishard Matthews,8.673732544067061
Tyler Lockett,9.115705916643911
Danny Amendola,9.518201480105647
Josh Doctson,8.430447526713353
Dede Westbrook,8.412693388148858
Jordy Nelson,9.408979842828247
Allen Hurns,8.48021535302097
John Brown,8.236558418558378
Paul Richardson,8.048429184173095
John Ross,8.110111657744897
Mike Wallace,7.732190856852413
Chris Godwin,7.656561752834264
Donte Moncrief,7.538074384148977
Cameron Meredith,7.834936203828504
Mike Williams,7.337230789232282
Ryan Grant,7.536996842317904
Albert Wilson,7.499930534969736
Phillip Dorsett,7.112655519592271
Terrance Williams,7.094820445988752
Taywan Taylor,6.742645216547868
Geronimo Allison,7.2721846256173155
Travis Benjamin,6.358625305135079
Terrelle Pryor,6.00277168653321
Chad Williams,5.83979091292528
Chester Rogers,5.593247981897507
Taylor Gabriel,5.731176532391558
JJ Nelson,5.62089793792026
Adam Humphries,5.911020091423027
Tyler Boyd,5.414273720882841
Cole Beasley,5.643823375595934
Willie Snead,5.3821508993639515
Brandon Marshall,5.257151558694925
Cordarrelle Patterson,5.2955365971118695
Zay Jones,5.0226678908153914
Trent Taylor,5.1802616607071785
Torrey Smith,4.895417573151659
Seth Roberts,5.2905249094178695
Bruce Ellington,4.7482498803166235
Laquon Treadwell,4.530247130222844
Chris Conley,4.5196128162516676
Cody Latimer,4.310040428233316
Jermaine Kearse,4.292286289668819
Jaron Brown,4.1821210420201975
Jeremy Kerley,4.363250219088541
Brandon LaFell,4.1900543781775506
Kevin White,4.232474344276431
Devante Parker,4.48523245786967
TJ Jones,3.734361796987454
Jakeem Grant,3.25718885414416
Justin Hardy,2.7700158737842764
Andre Holmes,2.9327481561578694
Shelton Gibson,2.8400946029970275
Rashard Higgins,2.7349837106128065
Chris Moore,2.9927571654425584
Tavon Austin,3.337274687681543
Charone Peake,2.1086141824135165
Sammie Coates,1.983868661259949
Andre Roberts,1.7166698463227812
Chad Hansen,1.6707169697882247
Jarius Wright,1.7540854898920843
Josh Reynolds,1.7235561924399905
Austin Carr,1.658636512091249
Josh Bellamy,1.392079541799696
Tajae Sharpe,1.5335431962309354
Demarcus Robinson,1.36062196609118
Kendrick Bourne,1.1828844859012049
Deonte Thompson,1.2309248141844498
Darrius Heyward-Bey,1.1652390520720615
Markus Wheaton,1.184521925135536
Cody Core,1.0304256197851167
Josh Malone,0.9377660166596129
Mike Thomas,0.8249680585388652
Russell Shepard,1.006457119288741
Dwayne Harris,0.8700005481783132
Pharoh Cooper,0.9136291672357246
Curtis Samuel,0.8434382265472712
Alex Erickson,0.7965940088730036
Justin Hunter,0.7950748211628353
Damiere Byrd,0.7705046955470543
Andy Jones,0.714706330809884
Freddie Martino,0.7021174304599597
Marlon Brown,0.7036366181701279
Mack Hollins,0.8149182128850528
David Moore,0.7219721193995593
Ryan Switzer,0.6976945341084297
De'Anthony Thomas,0.7409039984956759
Trevor Davis,0.6305339164068519
Bradley Marquez,0.6416036290466078
Jordan Taylor,0.7102834344583538
Jaydon Mickens,0.6158181532626922
Geremy Davis,0.6164258283467595
Tommylee Lewis,0.9257752446049455
Marcus Johnson,0.5678932521992646
Marvin Hall,0.4257956102648266
Noah Brown,0.49387903780988757
Maurice Harris,0.48098629991792974
Darius Jennings,0.3649779713094411
Stacy Coley,0.3655856463935084
Tanner McEvoy,0.31523004499381163
Matthew Slater,0.2906599193780305
Kaelin Clay,0.14354300322537747
Alshon Jeffery,0.038908224798678503
Ricardo Louis,0.038908224798678503
Michael Campanaro,0.038908224798678503
Marcus Kemp,0.038908224798678503
Robert Davis,0.038908224798678503
Daniel Brown,0.038908224798678503
Neal Sterling,0.038908224798678503
James Wright,0.038908224798678503
Krishawn Hogan,0.038908224798678503
Aaron Burbridge,0.038908224798678503
Isaiah McKenzie,0.21786105515678808
