Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,points,year,def_ru_rk,def_pass_rk
Jimmy Graham,NO,1,WAS,10,6,60.0,85,1,,8.5,14.2,0,0,0.0,0,0,0,14.5,2012,22,22
Dennis Pitta,BAL,1,CIN,9,5,55.6,73,1,,8.1,14.6,0,0,0.0,0,0,0,13.3,2012,8,8
Aaron Hernandez,NE,1,TEN,7,6,85.7,59,1,,8.4,9.8,1,5,5.0,0,0,0,12.4,2012,32,32
Rob Gronkowski,NE,1,TEN,6,6,100.0,60,1,,10.0,10.0,0,0,0.0,0,0,0,12.0,2012,32,32
Tony Gonzalez,ATL,1,KC,6,5,83.3,53,1,,8.8,10.6,0,0,0.0,0,0,0,11.3,2012,25,25
Marcedes Lewis,JAX,1,MIN,5,5,100.0,52,1,,10.4,10.4,0,0,0.0,0,0,0,11.2,2012,14,14
Heath Miller,PIT,1,DEN,7,4,57.1,50,1,,7.1,12.5,0,0,0.0,0,0,0,11.0,2012,4,4
Jermichael Finley,GB,1,SF,11,7,63.6,47,1,,4.3,6.7,0,0,0.0,0,0,0,10.7,2012,2,2
Vernon Davis,SF,1,GB,5,3,60.0,43,1,,8.6,14.3,0,0,0.0,0,0,0,10.3,2012,11,11
Jacob Tamme,DEN,1,PIT,5,5,100.0,43,1,,8.6,8.6,0,0,0.0,0,0,0,10.3,2012,6,6
Martellus Bennett,NYG,1,DAL,6,4,66.7,40,1,,6.7,10.0,0,0,0.0,0,0,0,10.0,2012,24,24
Scott Chandler,BUF,1,NYJ,6,4,66.7,38,1,,6.3,9.5,0,0,0.0,0,0,0,9.8,2012,20,20
Kevin Boss,KC,1,ATL,2,2,100.0,36,1,,18.0,18.0,0,0,0.0,0,0,0,9.6,2012,5,5
Owen Daniels,HOU,1,MIA,8,4,50.0,87,0,,10.9,21.8,0,0,0.0,0,0,0,8.7,2012,7,7
Coby Fleener,IND,1,CHI,10,6,60.0,82,0,,8.2,13.7,0,0,0.0,0,0,0,8.2,2012,3,3
Brandon Pettigrew,DET,1,LAR,10,5,50.0,77,0,,7.7,15.4,0,0,0.0,0,0,0,7.7,2012,14,14
Clay Harbor,PHI,1,CLE,6,3,50.0,16,1,,2.7,5.3,0,0,0.0,0,0,0,7.6,2012,19,19
Kyle Rudolph,MIN,1,JAX,7,5,71.4,67,0,,9.6,13.4,0,0,0.0,0,0,0,6.7,2012,29,29
Brent Celek,PHI,1,CLE,8,4,50.0,65,0,,8.1,16.2,0,0,0.0,0,0,0,6.5,2012,19,19
Brandon Myers,OAK,1,LAC,5,5,100.0,65,0,,13.0,13.0,0,0,0.0,0,0,0,6.5,2012,16,16
Jared Cook,TEN,1,NE,6,4,66.7,64,0,,10.7,16.0,0,0,0.0,0,0,0,6.4,2012,9,9
Greg Olsen,CAR,1,TB,7,6,85.7,56,0,,8.0,9.3,0,0,0.0,0,0,0,5.6,2012,23,23
Antonio Gates,LAC,1,OAK,8,4,50.0,43,0,,5.4,10.8,0,0,0.0,0,0,0,4.3,2012,28,28
Zach Miller,SEA,1,ARI,3,3,100.0,40,0,,13.3,13.3,0,0,0.0,0,0,0,4.0,2012,17,17
Fred Davis,WAS,1,NO,4,2,50.0,38,0,,9.5,19.0,0,0,0.0,0,0,0,3.8,2012,31,31
Tony Moeaki,KC,1,ATL,6,3,50.0,37,0,,6.2,12.3,0,0,0.0,0,0,0,3.7,2012,5,5
Jeff Cumberland,NYJ,1,BUF,4,3,75.0,33,0,,8.2,11.0,0,0,0.0,0,0,0,3.3,2012,26,26
Dallas Clark,TB,1,CAR,1,1,100.0,33,0,,33.0,33.0,0,0,0.0,0,0,0,3.3,2012,18,18
Todd Heap,ARI,1,SEA,4,3,75.0,32,0,,8.0,10.7,0,0,0.0,0,0,0,3.2,2012,1,1
Tony Scheffler,DET,1,LAR,8,5,62.5,30,0,,3.8,6.0,0,0,0.0,0,0,0,3.0,2012,14,14
Jermaine Gresham,CIN,1,BAL,8,3,37.5,30,0,,3.8,10.0,0,0,0.0,0,0,0,3.0,2012,12,12
Logan Paulsen,WAS,1,NO,1,1,100.0,22,0,,22.0,22.0,0,0,0.0,0,0,0,2.2,2012,31,31
Ed Dickson,BAL,1,CIN,3,2,66.7,22,0,,7.3,11.0,0,0,0.0,0,0,0,2.2,2012,8,8
Will Heller,DET,1,LAR,2,2,100.0,19,0,,9.5,9.5,0,0,0.0,0,0,0,1.9,2012,14,14
Anthony Fasano,MIA,1,HOU,5,3,60.0,19,0,,3.8,6.3,0,0,0.0,0,0,0,1.9,2012,9,9
Kyle Adams,CHI,1,IND,1,1,100.0,17,0,,17.0,17.0,0,0,0.0,0,0,0,1.7,2012,21,21
James Casey,HOU,1,MIA,2,1,50.0,17,0,,8.5,17.0,0,0,0.0,0,0,0,1.7,2012,7,7
Lance Kendricks,LAR,1,DET,2,2,100.0,16,0,,8.0,8.0,0,0,0.0,0,0,0,1.6,2012,27,27
David Ausberry,OAK,1,LAC,1,1,100.0,12,0,,12.0,12.0,0,0,0.0,0,0,0,1.2,2012,16,16
Jason Witten,DAL,1,NYG,3,2,66.7,10,0,,3.3,5.0,0,0,0.0,0,0,0,1.0,2012,12,12
James Hanna,DAL,1,NYG,1,1,100.0,10,0,,10.0,10.0,0,0,0.0,0,0,0,1.0,2012,12,12
Mike McNeill,LAR,1,DET,1,1,100.0,10,0,,10.0,10.0,0,0,0.0,0,0,0,1.0,2012,27,27
Benjamin Watson,CLE,1,PHI,2,2,100.0,9,0,,4.5,4.5,0,0,0.0,0,0,0,0.9,2012,29,29
Dominique Jones,IND,1,CHI,1,1,100.0,8,0,,8.0,8.0,0,0,0.0,0,0,0,0.8,2012,3,3
Jeff King,ARI,1,SEA,3,2,66.7,8,0,,2.7,4.0,0,0,0.0,0,0,0,0.8,2012,1,1
Dustin Keller,NYJ,1,BUF,1,1,100.0,7,0,,7.0,7.0,0,0,0.0,0,0,0,0.7,2012,26,26
John Phillips,DAL,1,NYG,1,1,100.0,6,0,,6.0,6.0,0,0,0.0,0,0,0,0.6,2012,12,12
Bear Pascoe,NYG,1,DAL,1,1,100.0,6,0,,6.0,6.0,0,0,0.0,0,0,0,0.6,2012,24,24
Michael Palmer,ATL,1,KC,1,1,100.0,6,0,,6.0,6.0,0,0,0.0,0,0,0,0.6,2012,25,25
Joel Dreessen,DEN,1,PIT,2,1,50.0,6,0,,3.0,6.0,0,0,0.0,0,0,0,0.6,2012,6,6
David Thomas,NO,1,WAS,2,1,50.0,5,0,,2.5,5.0,0,0,0.0,0,0,0,0.5,2012,22,22
Lee Smith,BUF,1,NYJ,1,1,100.0,5,0,,5.0,5.0,0,0,0.0,0,0,0,0.5,2012,20,20
Craig Stevens,TEN,1,NE,1,1,100.0,5,0,,5.0,5.0,0,0,0.0,0,0,0,0.5,2012,9,9
Adrien Robinson,NYG,1,DAL,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,24,24
Kellen Davis,CHI,1,IND,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,21,21
Evan Rodriguez,CHI,1,IND,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,21,21
Matt Spaeth,CHI,1,IND,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,21,21
Dwayne Allen,IND,1,CHI,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,3,3
Jordan Cameron,CLE,1,PHI,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,29,29
Matthew Mulligan,LAR,1,DET,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,27,27
Charles Clay,MIA,1,HOU,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,9,9
Jeron Mastrud,MIA,1,HOU,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,9,9
Garrett Graham,HOU,1,MIA,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,7,7
Tommy Gallarda,ATL,1,KC,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,25,25
Jake O'Connell,KC,1,ATL,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,5,5
John Carlson,MIN,1,JAX,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,29,29
Rhett Ellison,MIN,1,JAX,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,29,29
Allen Reisner,MIN,1,JAX,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,29,29
Colin Cloherty,JAX,1,MIN,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,14,14
Zach Potter,JAX,1,MIN,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,14,14
Daniel Graham,NO,1,WAS,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,22,22
Niles Paul,WAS,1,NO,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,31,31
Dorin Dickerson,BUF,1,NYJ,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,20,20
Konrad Reuland,NYJ,1,BUF,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,26,26
Taylor Thompson,TEN,1,NE,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,9,9
Michael Hoomanawanui,NE,1,TEN,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,32,32
Jim Dray,ARI,1,SEA,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,1,1
Rob Housler,ARI,1,SEA,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,1,1
Evan Moore,SEA,1,ARI,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,17,17
Anthony McCoy,SEA,1,ARI,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,17,17
Ryan Taylor,GB,1,SF,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,2,2
Tom Crabtree,GB,1,SF,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,2,2
DJ Williams,GB,1,SF,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,2,2
Delanie Walker,SF,1,GB,2,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,11,11
Luke Stocker,TB,1,CAR,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,18,18
Danny Noble,TB,1,CAR,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,18,18
Gary Barnidge,CAR,1,TB,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,23,23
Ben Hartsock,CAR,1,TB,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,23,23
Julius Thomas,DEN,1,PIT,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,6,6
Leonard Pope,PIT,1,DEN,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,4,4
David Paulson,PIT,1,DEN,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,4,4
Orson Charles,CIN,1,BAL,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,12,12
Richard Gordon,OAK,1,LAC,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,16,16
Randy McMichael,LAC,1,OAK,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,28,28
Dante Rosario,LAC,1,OAK,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,28,28
Alex Smith,CLE,1,PHI,1,1,100.0,-1,0,,-1.0,-1.0,0,0,0.0,0,0,0,-0.1,2012,29,29
Dante Rosario,LAC,2,TEN,4,4,100.0,48,3,,12.0,12.0,0,0,0.0,0,0,0,22.8,2012,32,32
Vernon Davis,SF,2,DET,7,5,71.4,73,2,,10.4,14.6,0,0,0.0,0,0,0,19.3,2012,27,27
Brent Celek,PHI,2,BAL,11,8,72.7,157,0,,14.3,19.6,0,0,0.0,0,0,0,15.7,2012,12,12
Rob Gronkowski,NE,2,ARI,9,6,66.7,75,1,,8.3,12.5,0,0,0.0,0,0,0,13.5,2012,17,17
Martellus Bennett,NYG,2,TB,10,5,50.0,72,1,,7.2,14.4,0,0,0.0,0,0,0,13.2,2012,23,23
Jimmy Graham,NO,2,CAR,13,7,53.8,71,1,,5.5,10.1,0,0,0.0,0,0,0,13.1,2012,18,18
Tony Gonzalez,ATL,2,DEN,10,7,70.0,70,1,,7.0,10.0,0,0,0.0,0,0,0,13.0,2012,4,4
Scott Chandler,BUF,2,KC,5,2,40.0,53,1,,10.6,26.5,0,0,0.0,0,0,0,11.3,2012,25,25
Anthony McCoy,SEA,2,DAL,5,5,100.0,41,1,,8.2,8.2,0,0,0.0,0,0,0,10.1,2012,24,24
Kyle Rudolph,MIN,2,IND,5,3,60.0,35,1,,7.0,11.7,0,0,0.0,0,0,0,9.5,2012,21,21
Tom Crabtree,GB,2,CHI,1,1,100.0,27,1,,27.0,27.0,0,0,0.0,0,0,0,8.7,2012,3,3
Brandon Myers,OAK,2,MIA,6,6,100.0,86,0,,14.3,14.3,0,0,0.0,0,0,0,8.6,2012,7,7
Kellen Davis,CHI,2,GB,6,1,16.7,21,1,,3.5,21.0,0,0,0.0,0,0,0,8.1,2012,11,11
Anthony Fasano,MIA,2,OAK,3,2,66.7,19,1,,6.3,9.5,0,0,0.0,0,0,0,7.9,2012,28,28
Heath Miller,PIT,2,NYJ,3,3,100.0,19,1,,6.3,6.3,0,0,0.0,0,0,0,7.9,2012,20,20
Brandon Pettigrew,DET,2,SF,4,3,75.0,18,1,,4.5,6.0,0,0,0.0,0,0,0,7.8,2012,2,2
Matthew Mulligan,LAR,2,WAS,2,2,100.0,14,1,,7.0,7.0,0,0,0.0,0,0,0,7.4,2012,22,22
Dennis Pitta,BAL,2,PHI,15,8,53.3,65,0,,4.3,8.1,0,0,0.0,0,0,0,6.5,2012,29,29
Dwayne Allen,IND,2,MIN,1,1,100.0,3,1,,3.0,3.0,1,0,0.0,0,0,0,6.3,2012,14,14
Todd Heap,ARI,2,NE,9,5,55.6,62,0,,6.9,12.4,0,0,0.0,0,0,0,6.2,2012,9,9
Jason Witten,DAL,2,SEA,11,4,36.4,58,0,,5.3,14.5,0,0,0.0,0,0,0,5.8,2012,1,1
Owen Daniels,HOU,2,JAX,9,6,66.7,47,0,,5.2,7.8,0,0,0.0,0,0,0,4.7,2012,29,29
Craig Stevens,TEN,2,LAC,1,1,100.0,46,0,,46.0,46.0,0,0,0.0,0,0,0,4.6,2012,16,16
Jermaine Gresham,CIN,2,CLE,5,4,80.0,37,0,,7.4,9.2,0,0,0.0,0,0,0,3.7,2012,19,19
Dallas Clark,TB,2,NYG,5,4,80.0,33,0,,6.6,8.2,0,0,0.0,0,0,0,3.3,2012,12,12
David Ausberry,OAK,2,MIA,3,1,33.3,31,0,,10.3,31.0,0,0,0.0,0,0,0,3.1,2012,7,7
Ladarius Green,LAC,2,TEN,1,1,100.0,31,0,,31.0,31.0,0,0,0.0,0,0,0,3.1,2012,32,32
Alex Smith,CLE,2,CIN,4,3,75.0,30,0,,7.5,10.0,0,0,0.0,0,0,0,3.0,2012,8,8
Kevin Boss,KC,2,BUF,1,1,100.0,29,0,,29.0,29.0,0,0,0.0,0,0,0,2.9,2012,26,26
Randy McMichael,LAC,2,TEN,4,3,75.0,29,0,,7.2,9.7,0,0,0.0,0,0,0,2.9,2012,32,32
Benjamin Watson,CLE,2,CIN,1,1,100.0,27,0,,27.0,27.0,0,0,0.0,0,0,0,2.7,2012,8,8
Lance Kendricks,LAR,2,WAS,2,2,100.0,25,0,,12.5,12.5,0,0,0.0,0,0,0,2.5,2012,22,22
Ed Dickson,BAL,2,PHI,4,1,25.0,23,0,,5.8,23.0,0,0,0.0,0,0,0,2.3,2012,29,29
Jared Cook,TEN,2,LAC,6,3,50.0,23,0,,3.8,7.7,0,0,0.0,0,0,0,2.3,2012,16,16
Konrad Reuland,NYJ,2,PIT,2,2,100.0,20,0,,10.0,10.0,0,0,0.0,0,0,0,2.0,2012,6,6
Clay Harbor,PHI,2,BAL,2,1,50.0,19,0,,9.5,19.0,0,0,0.0,0,0,0,1.9,2012,12,12
James Casey,HOU,2,JAX,4,3,75.0,18,0,,4.5,6.0,0,0,0.0,0,0,0,1.8,2012,29,29
Coby Fleener,IND,2,MIN,4,2,50.0,16,0,,4.0,8.0,0,0,0.0,0,0,0,1.6,2012,14,14
John Phillips,DAL,2,SEA,2,2,100.0,16,0,,8.0,8.0,0,0,0.0,0,0,0,1.6,2012,1,1
Joel Dreessen,DEN,2,ATL,2,2,100.0,16,0,,8.0,8.0,0,0,0.0,0,0,0,1.6,2012,5,5
Garrett Graham,HOU,2,JAX,1,1,100.0,15,0,,15.0,15.0,0,0,0.0,0,0,0,1.5,2012,29,29
Fred Davis,WAS,2,LAR,5,2,40.0,14,0,,2.8,7.0,1,1,1.0,0,0,0,1.5,2012,14,14
Greg Olsen,CAR,2,NO,3,1,33.3,13,0,,4.3,13.0,0,0,0.0,0,0,0,1.3,2012,31,31
Niles Paul,WAS,2,LAR,3,3,100.0,13,0,,4.3,4.3,0,0,0.0,0,0,0,1.3,2012,14,14
Jeff Cumberland,NYJ,2,PIT,5,2,40.0,13,0,,2.6,6.5,0,0,0.0,0,0,0,1.3,2012,6,6
Tony Scheffler,DET,2,SF,3,1,33.3,13,0,,4.3,13.0,0,0,0.0,0,0,0,1.3,2012,2,2
Jacob Tamme,DEN,2,ATL,3,2,66.7,13,0,,4.3,6.5,0,0,0.0,0,0,0,1.3,2012,5,5
Tony Moeaki,KC,2,BUF,4,1,25.0,9,0,,2.2,9.0,0,0,0.0,0,0,0,0.9,2012,26,26
Rob Housler,ARI,2,NE,1,1,100.0,7,0,,7.0,7.0,0,0,0.0,0,0,0,0.7,2012,9,9
Zach Miller,SEA,2,DAL,1,1,100.0,7,0,,7.0,7.0,0,0,0.0,0,0,0,0.7,2012,24,24
Leonard Pope,PIT,2,NYJ,1,1,100.0,7,0,,7.0,7.0,0,0,0.0,0,0,0,0.7,2012,20,20
Will Heller,DET,2,SF,1,1,100.0,7,0,,7.0,7.0,0,0,0.0,0,0,0,0.7,2012,2,2
Delanie Walker,SF,2,DET,2,1,50.0,7,0,,3.5,7.0,0,0,0.0,0,0,0,0.7,2012,27,27
Jermichael Finley,GB,2,CHI,6,4,66.7,26,0,,4.3,6.5,0,0,0.0,0,1,1,0.6,2012,3,3
DJ Williams,GB,2,CHI,1,1,100.0,6,0,,6.0,6.0,0,0,0.0,0,0,0,0.6,2012,3,3
Matt Spaeth,CHI,2,GB,2,1,50.0,4,0,,2.0,4.0,0,0,0.0,0,0,0,0.4,2012,11,11
Zach Potter,JAX,2,HOU,2,1,50.0,4,0,,2.0,4.0,0,0,0.0,0,0,0,0.4,2012,9,9
Charles Clay,MIA,2,OAK,3,1,33.3,2,0,,0.7,2.0,0,0,0.0,0,0,0,0.2,2012,28,28
Evan Rodriguez,CHI,2,GB,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,11,11
Ryan Taylor,GB,2,CHI,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,3,3
Lee Smith,BUF,2,KC,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,25,25
Jake O'Connell,KC,2,BUF,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,26,26
David Thomas,NO,2,CAR,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,18,18
Daniel Graham,NO,2,CAR,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,18,18
Gary Barnidge,CAR,2,NO,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,31,31
Orson Charles,CIN,2,CLE,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,19,19
Jordan Cameron,CLE,2,CIN,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,8,8
Dominique Jones,IND,2,MIN,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,14,14
John Carlson,MIN,2,IND,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,21,21
Rhett Ellison,MIN,2,IND,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,21,21
Allen Reisner,MIN,2,IND,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,21,21
Marcedes Lewis,JAX,2,HOU,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,9,9
Stephen Spach,JAX,2,HOU,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,9,9
Aaron Hernandez,NE,2,ARI,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,17,17
Michael Hoomanawanui,NE,2,ARI,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,17,17
Jeff King,ARI,2,NE,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,9,9
Luke Stocker,TB,2,NYG,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,12,12
Danny Noble,TB,2,NYG,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,12,12
Bear Pascoe,NYG,2,TB,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,23,23
Mike McNeill,LAR,2,WAS,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,22,22
Logan Paulsen,WAS,2,LAR,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,14,14
James Hanna,DAL,2,SEA,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,1,1
Evan Moore,SEA,2,DAL,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,24,24
Greg Scruggs,SEA,2,DAL,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,24,24
Richard Gordon,OAK,2,MIA,4,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,7,7
Jeron Mastrud,MIA,2,OAK,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,28,28
Dedrick Epps,NYJ,2,PIT,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,6,6
David Paulson,PIT,2,NYJ,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,20,20
Taylor Thompson,TEN,2,LAC,1,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,16,16
Michael Palmer,ATL,2,DEN,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,4,4
Tommy Gallarda,ATL,2,DEN,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,4,4
Julius Thomas,DEN,2,ATL,0,0,0.0,0,0,,0.0,0.0,0,0,0.0,0,0,0,0.0,2012,5,5
Dorin Dickerson,BUF,2,KC,0,0,0.0,0,0,,0.0,0.0,1,-8,-8.0,0,0,0,-0.8,2012,25,25
Heath Miller,PIT,3,OAK,10,8,80.0,60,2,,6.0,7.5,0,0,0.0,0,0,0,18.0,2012,28,28
Kyle Rudolph,MIN,3,SF,7,5,71.4,36,2,,5.1,7.2,0,0,0.0,0,0,0,15.6,2012,2,2
Tony Gonzalez,ATL,3,LAC,12,9,75.0,91,1,,7.6,10.1,0,0,0.0,0,0,0,15.1,2012,16,16
Jared Cook,TEN,3,DET,4,4,100.0,77,1,,19.2,19.2,0,0,0.0,0,0,0,13.7,2012,27,27
Martellus Bennett,NYG,3,CAR,7,6,85.7,73,1,,10.4,12.2,0,0,0.0,0,0,0,13.3,2012,18,18
Jermaine Gresham,CIN,3,WAS,7,5,71.4,64,1,,9.1,12.8,0,0,0.0,0,0,0,12.4,2012,22,22
Vernon Davis,SF,3,MIN,8,5,62.5,53,1,,6.6,10.6,0,0,0.0,0,0,0,11.3,2012,14,14
Dennis Pitta,BAL,3,NE,7,5,71.4,50,1,,7.1,10.0,0,0,0.0,0,0,0,11.0,2012,9,9
Greg Olsen,CAR,3,NYG,14,7,50.0,98,0,,7.0,14.0,0,0,0.0,0,0,0,9.8,2012,12,12
Joel Dreessen,DEN,3,HOU,5,2,40.0,36,1,,7.2,18.0,0,0,0.0,0,0,0,9.6,2012,9,9
Fred Davis,WAS,3,CIN,7,7,100.0,90,0,,12.9,12.9,0,0,0.0,0,0,0,9.0,2012,8,8
Owen Daniels,HOU,3,DEN,5,3,60.0,26,1,,5.2,8.7,0,0,0.0,0,0,0,8.6,2012,4,4
Jimmy Graham,NO,3,KC,8,4,50.0,16,1,,2.0,4.0,0,0,0.0,0,0,0,7.6,2012,25,25
Craig Stevens,TEN,3,DET,7,5,71.4,63,0,,9.0,12.6,0,0,0.0,0,0,0,6.3,2012,27,27
Luke Stocker,TB,3,DAL,3,1,33.3,1,1,,0.3,1.0,0,0,0.0,0,0,0,6.1,2012,24,24
Richard Gordon,OAK,3,PIT,1,1,100.0,1,1,,1.0,1.0,0,0,0.0,0,0,0,6.1,2012,6,6
Jermichael Finley,GB,3,SEA,5,4,80.0,60,0,,12.0,15.0,0,0,0.0,0,0,0,6.0,2012,1,1
Brandon Myers,OAK,3,PIT,4,4,100.0,55,0,,13.8,13.8,0,0,0.0,0,0,0,5.5,2012,6,6
Anthony Fasano,MIA,3,NYJ,10,5,50.0,47,0,,4.7,9.4,0,0,0.0,0,0,0,4.7,2012,20,20
Jordan Cameron,CLE,3,BUF,7,5,71.4,45,0,,6.4,9.0,0,0,0.0,0,0,0,4.5,2012,26,26
Brandon Pettigrew,DET,3,TEN,12,8,66.7,61,0,,5.1,7.6,0,0,0.0,0,1,1,4.1,2012,32,32
Garrett Graham,HOU,3,DEN,4,2,50.0,39,0,,9.8,19.5,0,0,0.0,0,0,0,3.9,2012,4,4
Brent Celek,PHI,3,ARI,6,2,33.3,36,0,,6.0,18.0,0,0,0.0,0,0,0,3.6,2012,17,17
Dwayne Allen,IND,3,JAX,6,5,83.3,35,0,,5.8,7.0,0,0,0.0,0,0,0,3.5,2012,29,29
Jacob Tamme,DEN,3,HOU,10,3,30.0,31,0,,3.1,10.3,0,0,0.0,0,0,0,3.1,2012,9,9
Jeff Cumberland,NYJ,3,MIA,6,2,33.3,25,0,,4.2,12.5,0,0,0.0,0,0,0,2.5,2012,7,7
Orson Charles,CIN,3,WAS,1,1,100.0,25,0,,25.0,25.0,0,0,0.0,0,0,0,2.5,2012,22,22
