games,year,Name,Team,Week,Opponent,tar,rec,yds,td,fum,def_rk,h/a_1,surface_0,salary,points
31,2017,Anthony Fasano,MIA,15,BUF,2,2,15,0,0,25,0.0,0.0,2500,3.5
32,2017,Anthony Fasano,MIA,17,BUF,3,1,1,0,0,25,1.0,1.0,3000,1.1
1,2015,Antonio Gates,LAC,5,PIT,11,9,92,2,0,25,0.0,1.0,2500,30.2
2,2015,Antonio Gates,LAC,6,GB,16,9,95,0,0,14,0.0,1.0,2500,18.5
3,2015,Antonio Gates,LAC,8,BAL,5,4,56,0,0,4,0.0,1.0,2500,9.6
4,2015,Antonio Gates,LAC,9,CHI,11,6,69,0,0,13,0.0,1.0,2500,12.9
5,2015,Antonio Gates,LAC,11,KC,3,1,6,0,0,2,0.0,1.0,2500,1.6
6,2015,Antonio Gates,LAC,12,JAX,6,4,53,2,0,28,0.0,1.0,0,21.3
7,2015,Antonio Gates,LAC,13,DEN,9,6,50,0,0,19,0.0,1.0,2500,11.0
8,2015,Antonio Gates,LAC,14,KC,8,6,76,0,0,2,0.0,1.0,3500,13.6
9,2015,Antonio Gates,LAC,15,MIA,9,6,88,0,0,7,0.0,1.0,2500,14.8
10,2015,Antonio Gates,LAC,16,OAK,2,2,11,0,0,30,0.0,1.0,2500,3.1
11,2015,Antonio Gates,LAC,17,DEN,5,3,34,1,0,19,0.0,1.0,2700,12.4
12,2016,Antonio Gates,LAC,1,KC,4,3,20,0,0,5,0.0,1.0,4200,5.0
13,2016,Antonio Gates,LAC,2,JAX,5,3,15,1,0,16,0.0,1.0,3000,10.5
14,2016,Antonio Gates,LAC,5,OAK,5,4,30,1,1,24,0.0,1.0,2500,12.0
15,2016,Antonio Gates,LAC,6,DEN,6,2,16,0,0,19,0.0,1.0,2500,3.6
16,2016,Antonio Gates,LAC,7,ATL,10,5,38,0,0,26,0.0,0.0,2800,8.8
17,2016,Antonio Gates,LAC,8,DEN,9,4,33,1,0,19,0.0,1.0,2500,13.3
18,2016,Antonio Gates,LAC,9,TEN,9,5,75,1,0,15,0.0,1.0,2500,18.5
19,2016,Antonio Gates,LAC,10,MIA,9,4,63,1,0,25,0.0,1.0,3000,16.3
20,2016,Antonio Gates,LAC,13,TB,4,4,37,0,0,14,0.0,1.0,2500,7.7
21,2016,Antonio Gates,LAC,14,CAR,9,5,61,0,0,28,0.0,1.0,0,11.1
22,2016,Antonio Gates,LAC,15,OAK,2,1,11,0,0,24,0.0,1.0,3300,2.1
23,2016,Antonio Gates,LAC,16,CLE,13,8,94,1,0,31,0.0,1.0,2500,23.4
24,2016,Antonio Gates,LAC,17,KC,8,5,55,1,0,5,0.0,1.0,2500,16.5
25,2017,Antonio Gates,LAC,1,DEN,3,2,17,0,0,29,0.0,1.0,3000,3.7
26,2017,Antonio Gates,LAC,2,MIA,4,2,11,1,0,32,0.0,1.0,2500,9.1
27,2017,Antonio Gates,LAC,3,KC,5,2,30,0,0,7,0.0,1.0,4900,5.0
28,2017,Antonio Gates,LAC,4,PHI,5,3,18,0,0,14,0.0,1.0,0,4.8
29,2017,Antonio Gates,LAC,5,NYG,3,2,23,0,0,31,0.0,0.0,2500,4.3
30,2017,Antonio Gates,LAC,6,OAK,1,1,16,0,0,26,0.0,1.0,2500,2.6
31,2017,Antonio Gates,LAC,7,DEN,1,1,4,0,0,29,0.0,1.0,4000,1.4
32,2017,Antonio Gates,LAC,8,NE,2,2,25,0,0,10,0.0,0.0,2500,4.5
