games,year,Name,Team,Week,Opponent,tar,rec,yds,td,fum,def_rk,h/a_1,surface_0,salary,points
21,2017,Demetrius Harris,KC,4,WAS,3,0,0,0,0,28,1.0,1.0,2500,0.0
22,2017,Demetrius Harris,KC,5,HOU,3,3,21,0,0,27,0.0,0.0,2500,5.1
23,2017,Demetrius Harris,KC,6,PIT,2,0,0,0,0,4,1.0,1.0,3800,0.0
24,2017,Demetrius Harris,KC,7,OAK,3,2,16,0,0,26,0.0,1.0,2500,3.6
25,2017,Demetrius Harris,KC,8,DEN,2,0,0,0,0,29,1.0,1.0,2500,0.0
26,2017,Demetrius Harris,KC,9,DAL,1,0,0,0,0,21,0.0,0.0,3200,0.0
27,2017,Demetrius Harris,KC,11,NYG,1,0,0,0,0,31,0.0,0.0,2500,0.0
28,2017,Demetrius Harris,KC,12,BUF,2,2,33,0,0,25,1.0,1.0,2500,5.3
29,2017,Demetrius Harris,KC,14,OAK,3,1,25,0,0,26,1.0,1.0,2500,3.5
30,2017,Demetrius Harris,KC,15,LAC,2,1,7,0,0,8,1.0,1.0,2500,1.7
31,2017,Demetrius Harris,KC,16,MIA,7,4,34,0,0,32,1.0,1.0,4800,7.4
32,2017,Demetrius Harris,KC,17,DEN,4,3,73,0,0,29,0.0,1.0,3300,10.3
33,2018,Demetrius Harris,KC,3,SF,3,1,13,1,0,27,1.0,1.0,2800,8.3
34,2018,Demetrius Harris,KC,4,DEN,3,2,59,0,0,30,0.0,1.0,3700,7.9
1,2016,Dennis Pitta,BAL,1,BUF,4,3,39,0,0,6,1.0,1.0,2500,6.9
2,2016,Dennis Pitta,BAL,2,CLE,12,9,102,0,0,31,0.0,1.0,2500,22.2
3,2016,Dennis Pitta,BAL,3,JAX,8,6,42,0,0,16,0.0,1.0,2500,10.2
4,2016,Dennis Pitta,BAL,4,OAK,5,3,17,0,0,24,1.0,1.0,2500,4.7
5,2016,Dennis Pitta,BAL,5,WAS,8,7,59,0,0,29,1.0,1.0,2500,12.9
6,2016,Dennis Pitta,BAL,6,NYG,10,6,36,0,0,20,0.0,0.0,2600,9.6
7,2016,Dennis Pitta,BAL,7,NYJ,10,4,40,0,0,22,0.0,0.0,0,8.0
8,2016,Dennis Pitta,BAL,9,PIT,3,2,14,0,0,17,1.0,1.0,2500,3.4
9,2016,Dennis Pitta,BAL,10,CLE,6,6,26,0,0,31,1.0,1.0,0,8.6
10,2016,Dennis Pitta,BAL,11,DAL,5,3,30,0,0,32,0.0,0.0,0,6.0
11,2016,Dennis Pitta,BAL,12,CIN,5,3,34,0,0,30,1.0,1.0,4000,6.4
12,2016,Dennis Pitta,BAL,13,MIA,11,9,90,2,1,25,1.0,1.0,2500,29.0
13,2016,Dennis Pitta,BAL,14,NE,5,4,18,0,0,8,0.0,0.0,2500,5.8
14,2016,Dennis Pitta,BAL,15,PHI,2,2,16,0,0,2,1.0,1.0,2500,3.6
15,2016,Dennis Pitta,BAL,16,PIT,11,8,75,0,0,17,0.0,1.0,2600,15.5
16,2016,Dennis Pitta,BAL,17,CIN,16,11,91,0,0,30,0.0,0.0,2500,20.1
1,2015,Derek Carrier,WAS,1,MIA,2,2,8,0,0,7,1.0,1.0,2500,2.8
2,2015,Derek Carrier,WAS,3,NYG,1,0,0,0,0,31,0.0,0.0,3300,0.0
3,2015,Derek Carrier,WAS,4,PHI,2,2,18,0,0,11,1.0,1.0,2500,3.8
4,2015,Derek Carrier,WAS,5,ATL,3,2,27,1,0,29,0.0,0.0,0,10.7
5,2015,Derek Carrier,WAS,6,NYJ,4,4,39,0,0,3,0.0,0.0,2500,7.9
6,2015,Derek Carrier,WAS,7,TB,2,2,15,0,0,21,1.0,1.0,2500,3.5
7,2015,Derek Carrier,WAS,9,NE,2,0,0,0,0,5,0.0,0.0,2500,0.0
8,2015,Derek Carrier,WAS,10,NO,1,1,14,0,0,32,1.0,1.0,2500,2.4
9,2015,Derek Carrier,WAS,11,CAR,3,2,7,0,0,12,0.0,1.0,2500,2.7
10,2015,Derek Carrier,WAS,12,NYG,1,1,6,0,0,31,1.0,1.0,2500,1.6
11,2015,Derek Carrier,WAS,14,CHI,1,1,7,0,0,13,0.0,1.0,2500,1.7
12,2016,Derek Carrier,WAS,12,DAL,1,1,4,0,0,32,0.0,0.0,2500,1.4
13,2016,Derek Carrier,WAS,13,ARI,1,1,6,0,0,1,0.0,1.0,3900,1.6
14,2017,Derek Carrier,LAR,1,IND,2,1,12,0,0,18,1.0,1.0,2500,2.2
15,2017,Derek Carrier,LAR,2,WAS,1,1,9,0,0,28,1.0,1.0,2500,1.9
16,2017,Derek Carrier,LAR,3,SF,1,1,17,0,0,15,1.0,1.0,3900,2.7
17,2017,Derek Carrier,LAR,7,ARI,1,0,0,0,0,17,1.0,1.0,2500,0.0
18,2017,Derek Carrier,LAR,9,NYG,1,1,5,0,0,31,0.0,0.0,2500,1.5
19,2017,Derek Carrier,LAR,13,ARI,1,1,14,0,0,17,1.0,1.0,2800,2.4
20,2017,Derek Carrier,LAR,15,SEA,2,1,4,0,0,9,0.0,0.0,2500,1.4
21,2017,Derek Carrier,LAR,17,SF,2,2,10,0,0,15,1.0,1.0,2500,3.0
22,2018,Derek Carrier,OAK,1,LAR,3,2,20,0,0,23,1.0,1.0,3200,4.0
23,2018,Derek Carrier,OAK,2,DEN,1,1,5,0,0,24,0.0,1.0,2500,1.5
1,2015,Dion Sims,MIA,1,WAS,1,0,0,0,0,16,0.0,1.0,2500,0.0
2,2015,Dion Sims,MIA,6,TEN,4,4,33,1,0,24,0.0,1.0,0,13.3
3,2015,Dion Sims,MIA,7,HOU,2,1,-3,0,0,10,1.0,1.0,2500,0.7
4,2015,Dion Sims,MIA,8,NE,1,1,6,0,0,5,0.0,0.0,2500,1.6
5,2015,Dion Sims,MIA,9,BUF,3,1,9,0,0,8,0.0,0.0,2500,1.9
6,2015,Dion Sims,MIA,10,PHI,1,1,8,0,0,11,0.0,1.0,2500,1.8
7,2015,Dion Sims,MIA,12,NYJ,1,1,-1,0,0,3,0.0,0.0,3000,0.9
8,2015,Dion Sims,MIA,13,BAL,2,1,4,0,0,4,1.0,1.0,2500,1.4
9,2015,Dion Sims,MIA,14,NYG,5,3,14,0,1,31,1.0,1.0,3200,3.4
10,2015,Dion Sims,MIA,15,LAC,1,1,9,0,0,18,0.0,1.0,2500,1.9
11,2015,Dion Sims,MIA,16,IND,1,1,8,0,0,23,1.0,1.0,2500,1.8
12,2015,Dion Sims,MIA,17,NE,3,3,40,0,0,5,1.0,1.0,5600,7.0
13,2016,Dion Sims,MIA,2,NE,1,1,21,0,0,8,0.0,0.0,2600,3.1
14,2016,Dion Sims,MIA,3,CLE,4,4,46,0,0,31,1.0,1.0,0,8.6
15,2016,Dion Sims,MIA,4,CIN,2,1,9,0,0,30,0.0,0.0,2500,1.9
16,2016,Dion Sims,MIA,5,TEN,3,1,6,0,0,15,1.0,1.0,2500,1.6
17,2016,Dion Sims,MIA,6,PIT,2,1,12,0,0,17,1.0,1.0,2500,2.2
18,2016,Dion Sims,MIA,10,LAC,1,0,0,0,0,12,0.0,1.0,2500,0.0
19,2016,Dion Sims,MIA,11,LAR,4,3,20,0,0,7,0.0,1.0,2500,5.0
20,2016,Dion Sims,MIA,12,SF,4,4,53,1,0,18,1.0,1.0,2500,15.3
21,2016,Dion Sims,MIA,13,BAL,4,3,39,0,0,10,0.0,1.0,2500,6.9
22,2016,Dion Sims,MIA,14,ARI,2,2,9,1,0,1,1.0,1.0,2500,8.9
23,2016,Dion Sims,MIA,15,NYJ,4,4,31,2,0,22,0.0,0.0,2500,19.1
24,2016,Dion Sims,MIA,16,BUF,3,2,10,0,0,6,0.0,0.0,3100,3.0
25,2016,Dion Sims,MIA,17,NE,1,0,0,0,0,8,1.0,1.0,3800,0.0
26,2017,Dion Sims,CHI,1,ATL,3,2,31,0,0,13,1.0,1.0,2500,5.1
27,2017,Dion Sims,CHI,2,TB,1,0,0,0,0,3,0.0,1.0,2700,0.0
28,2017,Dion Sims,CHI,4,GB,1,1,8,0,0,5,0.0,1.0,2500,1.8
29,2017,Dion Sims,CHI,5,MIN,4,1,17,0,0,1,1.0,1.0,0,2.7
30,2017,Dion Sims,CHI,6,BAL,4,2,42,1,0,24,0.0,1.0,2500,12.2
31,2017,Dion Sims,CHI,8,NO,5,3,15,0,0,2,0.0,0.0,2500,4.5
32,2017,Dion Sims,CHI,12,PHI,1,1,-3,0,0,14,0.0,1.0,2800,0.7
33,2017,Dion Sims,CHI,13,SF,2,1,5,0,0,15,1.0,1.0,2500,1.5
34,2017,Dion Sims,CHI,14,CIN,3,2,32,0,0,23,0.0,0.0,2500,5.2
35,2017,Dion Sims,CHI,15,DET,1,1,9,0,0,16,0.0,0.0,5000,1.9
36,2017,Dion Sims,CHI,16,CLE,3,1,24,0,0,30,1.0,1.0,3100,3.4
37,2017,Dion Sims,CHI,17,MIN,1,0,0,0,0,1,0.0,0.0,3100,0.0
38,2018,Dion Sims,CHI,1,GB,3,2,9,0,0,21,0.0,1.0,2500,2.9
1,2016,Dominique Jones,MIA,5,TEN,2,2,4,0,0,15,1.0,1.0,0,2.4
2,2016,Dominique Jones,MIA,6,PIT,2,1,8,0,0,17,1.0,1.0,2500,1.8
3,2016,Dominique Jones,MIA,9,NYJ,4,3,42,1,0,22,1.0,1.0,2500,13.2
4,2016,Dominique Jones,MIA,10,LAC,1,0,0,0,0,12,0.0,1.0,2500,0.0
5,2016,Dominique Jones,MIA,13,BAL,1,1,7,0,0,10,0.0,1.0,2500,1.7
1,2018,Durham Smythe,MIA,4,NE,1,0,0,0,0,1,0.0,0.0,2500,0.0
1,2015,Dwayne Allen,IND,1,BUF,6,3,17,1,0,8,0.0,0.0,3400,10.7
2,2015,Dwayne Allen,IND,5,HOU,1,1,21,0,0,10,0.0,0.0,2500,3.1
3,2015,Dwayne Allen,IND,6,NE,3,3,23,0,0,5,1.0,0.0,2500,5.3
4,2015,Dwayne Allen,IND,7,NO,1,1,10,0,0,32,1.0,0.0,2500,2.0
5,2015,Dwayne Allen,IND,8,CAR,3,1,4,0,0,12,0.0,1.0,2500,1.4
6,2015,Dwayne Allen,IND,9,DEN,3,0,0,0,0,19,1.0,0.0,2900,0.0
7,2015,Dwayne Allen,IND,11,ATL,1,1,7,0,0,29,0.0,0.0,2500,1.7
8,2015,Dwayne Allen,IND,12,TB,4,2,19,0,0,21,1.0,0.0,2500,3.9
9,2015,Dwayne Allen,IND,13,PIT,1,1,6,0,0,25,0.0,1.0,2500,1.6
10,2015,Dwayne Allen,IND,14,JAX,3,2,-3,0,0,28,0.0,1.0,3300,1.7
11,2015,Dwayne Allen,IND,15,HOU,2,1,5,0,0,10,1.0,0.0,5300,1.6
12,2015,Dwayne Allen,IND,16,MIA,1,0,0,0,0,7,0.0,1.0,2500,0.0
13,2016,Dwayne Allen,IND,1,DET,6,4,53,1,0,27,1.0,0.0,3200,17.3
14,2016,Dwayne Allen,IND,2,DEN,4,2,25,0,0,19,0.0,1.0,2500,4.5
15,2016,Dwayne Allen,IND,3,LAC,5,3,35,0,0,12,1.0,0.0,2500,6.5
16,2016,Dwayne Allen,IND,4,JAX,4,2,20,0,0,16,0.0,1.0,2500,4.0
17,2016,Dwayne Allen,IND,5,CHI,6,6,50,1,0,9,1.0,0.0,2500,17.0
18,2016,Dwayne Allen,IND,6,HOU,2,1,9,0,0,3,0.0,0.0,2500,1.9
19,2016,Dwayne Allen,IND,9,GB,2,1,15,0,0,21,0.0,1.0,2500,2.5
20,2016,Dwayne Allen,IND,11,TEN,2,0,0,0,0,15,1.0,0.0,2500,0.0
21,2016,Dwayne Allen,IND,12,PIT,6,5,49,0,0,17,1.0,0.0,2500,9.9
22,2016,Dwayne Allen,IND,13,NYJ,4,4,72,3,0,22,0.0,0.0,2500,29.2
23,2016,Dwayne Allen,IND,14,HOU,2,0,0,0,0,3,1.0,0.0,2500,0.0
24,2016,Dwayne Allen,IND,15,MIN,2,1,13,0,0,11,0.0,0.0,2500,2.3
25,2016,Dwayne Allen,IND,16,OAK,4,3,31,0,0,24,0.0,1.0,2500,6.1
26,2016,Dwayne Allen,IND,17,JAX,3,3,34,1,0,16,1.0,0.0,3900,12.4
27,2017,Dwayne Allen,NE,1,KC,2,0,0,0,0,7,1.0,0.0,2500,0.0
28,2017,Dwayne Allen,NE,2,NO,1,0,0,0,0,2,0.0,0.0,4900,0.0
29,2017,Dwayne Allen,NE,3,HOU,2,0,0,0,0,27,1.0,0.0,3000,0.0
30,2017,Dwayne Allen,NE,4,CAR,1,0,0,0,0,6,1.0,0.0,2500,0.0
31,2017,Dwayne Allen,NE,10,DEN,2,1,11,1,0,29,0.0,1.0,0,8.1
32,2017,Dwayne Allen,NE,11,OAK,2,2,24,0,0,26,0.0,1.0,2500,4.4
33,2017,Dwayne Allen,NE,12,MIA,2,1,2,0,0,32,1.0,0.0,2500,1.2
34,2017,Dwayne Allen,NE,13,BUF,1,1,3,0,0,25,0.0,0.0,2500,1.3
35,2017,Dwayne Allen,NE,14,MIA,5,2,10,0,0,32,0.0,1.0,2500,3.0
36,2017,Dwayne Allen,NE,15,PIT,1,1,10,0,0,4,0.0,1.0,0,2.0
37,2017,Dwayne Allen,NE,16,BUF,2,2,26,0,0,25,1.0,0.0,0,4.6
38,2017,Dwayne Allen,NE,17,NYJ,1,0,0,0,0,22,1.0,0.0,4400,0.0
39,2018,Dwayne Allen,NE,4,MIA,2,1,-4,0,0,14,1.0,0.0,2500,0.6
1,2015,EJ Bibbs,CLE,12,BAL,1,0,0,0,0,4,1.0,1.0,2500,0.0
2,2015,EJ Bibbs,CLE,13,CIN,1,1,7,0,0,17,1.0,1.0,2500,1.7
1,2015,Ed Dickson,CAR,1,JAX,2,1,9,0,0,28,0.0,1.0,2500,1.9
2,2015,Ed Dickson,CAR,3,NO,3,2,19,0,0,32,1.0,1.0,2500,3.9
3,2015,Ed Dickson,CAR,4,TB,2,1,11,0,0,21,0.0,1.0,2500,14.1
4,2015,Ed Dickson,CAR,6,SEA,4,3,24,0,0,22,0.0,0.0,2500,5.4
5,2015,Ed Dickson,CAR,9,GB,2,1,6,0,0,14,1.0,1.0,2500,1.6
6,2015,Ed Dickson,CAR,10,TEN,3,3,21,1,0,24,0.0,1.0,2500,11.1
7,2015,Ed Dickson,CAR,11,WAS,1,0,0,0,0,16,1.0,1.0,4200,0.0
8,2015,Ed Dickson,CAR,12,DAL,1,0,0,0,0,1,0.0,0.0,2500,0.0
9,2015,Ed Dickson,CAR,13,NO,3,3,27,0,0,32,0.0,0.0,2500,5.7
10,2015,Ed Dickson,CAR,14,ATL,1,1,4,1,0,29,1.0,1.0,2500,7.4
11,2015,Ed Dickson,CAR,16,ATL,1,0,0,0,0,29,0.0,0.0,0,0.0
12,2015,Ed Dickson,CAR,17,TB,3,2,0,0,0,21,1.0,1.0,2500,2.0
13,2016,Ed Dickson,CAR,2,SF,1,0,0,0,0,18,1.0,1.0,2500,0.0
14,2016,Ed Dickson,CAR,3,MIN,1,1,23,0,0,11,1.0,1.0,2500,3.3
15,2016,Ed Dickson,CAR,4,ATL,2,2,17,0,0,26,0.0,0.0,2500,3.7
16,2016,Ed Dickson,CAR,6,NO,4,3,23,1,0,13,0.0,0.0,2500,11.3
17,2016,Ed Dickson,CAR,9,LAR,3,2,17,0,0,7,0.0,1.0,4000,3.7
18,2016,Ed Dickson,CAR,10,KC,2,1,26,0,0,5,1.0,1.0,2500,3.6
19,2016,Ed Dickson,CAR,11,NO,1,0,0,0,0,13,1.0,1.0,0,0.0
20,2016,Ed Dickson,CAR,13,SEA,1,0,0,0,0,4,0.0,0.0,2500,0.0
21,2016,Ed Dickson,CAR,14,LAC,1,0,0,0,0,12,1.0,1.0,3200,0.0
22,2016,Ed Dickson,CAR,15,WAS,1,1,28,0,0,29,0.0,1.0,0,3.8
23,2016,Ed Dickson,CAR,16,ATL,1,0,0,0,0,26,1.0,1.0,0,0.0
24,2016,Ed Dickson,CAR,17,TB,1,0,0,0,0,14,0.0,1.0,0,0.0
25,2017,Ed Dickson,CAR,1,SF,1,0,0,0,0,15,0.0,1.0,2800,0.0
26,2017,Ed Dickson,CAR,2,BUF,3,2,26,0,0,25,1.0,1.0,2500,4.6
27,2017,Ed Dickson,CAR,3,NO,1,1,8,0,0,2,1.0,1.0,3000,1.8
28,2017,Ed Dickson,CAR,4,NE,4,3,62,0,0,10,0.0,0.0,2500,9.2
29,2017,Ed Dickson,CAR,5,DET,5,5,175,0,0,16,0.0,0.0,0,25.5
30,2017,Ed Dickson,CAR,6,PHI,8,4,36,0,0,14,1.0,1.0,3500,7.6
31,2017,Ed Dickson,CAR,7,CHI,5,3,18,0,0,12,0.0,1.0,2500,4.8
32,2017,Ed Dickson,CAR,8,TB,5,4,24,0,0,3,0.0,1.0,2500,6.4
33,2017,Ed Dickson,CAR,9,ATL,2,0,0,0,0,13,1.0,1.0,2500,0.0
34,2017,Ed Dickson,CAR,10,MIA,5,3,33,1,0,32,1.0,1.0,2500,12.3
35,2017,Ed Dickson,CAR,12,NYJ,3,1,15,0,0,22,0.0,0.0,3100,2.5
36,2017,Ed Dickson,CAR,13,NO,2,2,18,0,0,2,0.0,0.0,2500,3.8
37,2017,Ed Dickson,CAR,14,MIN,1,0,0,0,0,1,1.0,1.0,6600,0.0
38,2017,Ed Dickson,CAR,17,ATL,3,2,22,0,0,13,0.0,0.0,3400,4.2
1,2017,Emanuel Byrd,GB,17,DET,2,2,31,0,0,16,0.0,0.0,3500,5.1
1,2015,Eric Ebron,DET,1,LAC,5,4,53,1,0,18,0.0,1.0,2500,15.3
2,2015,Eric Ebron,DET,2,MIN,10,5,43,1,0,15,0.0,0.0,3100,15.3
3,2015,Eric Ebron,DET,3,DEN,5,4,61,0,0,19,1.0,0.0,4800,10.1
4,2015,Eric Ebron,DET,4,SEA,3,2,22,0,0,22,0.0,0.0,0,4.2
5,2015,Eric Ebron,DET,7,MIN,5,5,89,1,0,15,1.0,0.0,2500,19.9
6,2015,Eric Ebron,DET,8,KC,5,3,24,0,0,2,0.0,1.0,2500,5.4
7,2015,Eric Ebron,DET,10,GB,8,4,28,0,0,14,0.0,1.0,3000,6.8
8,2015,Eric Ebron,DET,11,OAK,2,0,0,0,0,30,1.0,0.0,0,0.0
9,2015,Eric Ebron,DET,12,PHI,3,2,28,0,0,11,1.0,0.0,2500,4.8
10,2015,Eric Ebron,DET,13,GB,2,2,9,1,0,14,1.0,0.0,0,8.9
11,2015,Eric Ebron,DET,14,LAR,5,3,27,0,0,26,0.0,1.0,3400,5.7
12,2015,Eric Ebron,DET,15,NO,5,4,79,0,0,32,0.0,0.0,2600,11.9
13,2015,Eric Ebron,DET,16,SF,5,4,49,0,0,9,1.0,0.0,2600,8.9
14,2015,Eric Ebron,DET,17,CHI,7,5,25,1,0,13,0.0,1.0,3700,13.5
15,2016,Eric Ebron,DET,1,IND,5,5,46,1,0,23,0.0,0.0,2500,15.6
16,2016,Eric Ebron,DET,2,TEN,7,4,53,0,0,15,1.0,0.0,2500,9.3
17,2016,Eric Ebron,DET,3,GB,8,5,69,0,0,21,0.0,1.0,2500,11.9
18,2016,Eric Ebron,DET,4,CHI,5,4,42,0,0,9,0.0,1.0,4400,8.2
19,2016,Eric Ebron,DET,8,HOU,10,7,79,0,0,3,0.0,0.0,2500,14.9
20,2016,Eric Ebron,DET,9,MIN,8,7,92,0,0,11,0.0,0.0,2500,16.2
21,2016,Eric Ebron,DET,11,JAX,5,3,70,0,0,16,1.0,0.0,0,16.1
22,2016,Eric Ebron,DET,12,MIN,1,0,0,0,0,11,1.0,0.0,2500,0.0
23,2016,Eric Ebron,DET,13,NO,6,4,38,0,0,13,0.0,0.0,2600,7.8
24,2016,Eric Ebron,DET,14,CHI,5,4,32,0,0,9,1.0,0.0,2500,7.2
25,2016,Eric Ebron,DET,15,NYG,7,4,36,0,0,20,0.0,0.0,2500,7.6
26,2016,Eric Ebron,DET,16,DAL,12,8,93,0,0,32,0.0,0.0,2500,17.3
27,2016,Eric Ebron,DET,17,GB,6,6,61,0,0,21,1.0,0.0,2500,12.1
28,2017,Eric Ebron,DET,1,ARI,3,2,9,0,0,17,1.0,0.0,3100,2.9
29,2017,Eric Ebron,DET,2,NYG,5,5,42,1,0,31,0.0,0.0,2500,15.2
30,2017,Eric Ebron,DET,3,ATL,7,2,9,0,0,13,1.0,0.0,2600,2.9
31,2017,Eric Ebron,DET,4,MIN,4,2,27,0,0,1,0.0,0.0,2500,4.7
32,2017,Eric Ebron,DET,5,CAR,4,1,6,0,0,6,1.0,0.0,0,1.6
33,2017,Eric Ebron,DET,6,NO,3,1,9,0,0,2,0.0,0.0,2700,1.9
34,2017,Eric Ebron,DET,8,PIT,6,2,58,0,0,4,1.0,0.0,2500,7.8
35,2017,Eric Ebron,DET,9,GB,4,3,35,0,0,5,0.0,1.0,2500,6.5
36,2017,Eric Ebron,DET,10,CLE,3,2,39,1,0,30,1.0,0.0,4400,11.9
37,2017,Eric Ebron,DET,11,CHI,7,4,49,0,0,12,0.0,1.0,2500,8.9
38,2017,Eric Ebron,DET,12,MIN,4,4,34,0,0,1,1.0,0.0,2500,7.4
39,2017,Eric Ebron,DET,13,BAL,4,4,38,0,0,24,0.0,1.0,0,7.8
40,2017,Eric Ebron,DET,14,TB,11,10,94,0,1,3,0.0,1.0,2500,18.4
41,2017,Eric Ebron,DET,15,CHI,7,5,33,1,0,12,1.0,0.0,2500,14.3
42,2017,Eric Ebron,DET,16,CIN,8,5,83,1,0,23,0.0,0.0,2500,19.3
43,2017,Eric Ebron,DET,17,GB,6,1,9,0,0,5,1.0,0.0,6000,1.9
44,2018,Eric Ebron,IND,1,CIN,5,4,51,1,0,28,1.0,0.0,2600,15.1
45,2018,Eric Ebron,IND,2,WAS,4,3,26,1,0,14,0.0,1.0,3500,11.6
46,2018,Eric Ebron,IND,3,PHI,11,5,33,0,0,16,0.0,1.0,2800,8.3
47,2018,Eric Ebron,IND,4,HOU,10,5,40,1,0,25,1.0,0.0,3900,15.0
1,2018,Eric Saubert,ATL,1,PHI,1,0,0,0,0,16,0.0,1.0,2500,0.0
1,2017,Eric Tomlinson,NYJ,1,BUF,2,2,25,0,0,25,0.0,0.0,2500,4.5
2,2017,Eric Tomlinson,NYJ,4,JAX,1,0,0,0,0,11,1.0,0.0,2600,0.0
3,2017,Eric Tomlinson,NYJ,5,CLE,1,1,34,0,0,30,0.0,1.0,2900,4.4
4,2017,Eric Tomlinson,NYJ,6,NE,1,0,0,0,0,10,1.0,0.0,4600,0.0
5,2017,Eric Tomlinson,NYJ,7,MIA,1,1,26,0,0,32,0.0,1.0,2500,3.6
6,2017,Eric Tomlinson,NYJ,8,ATL,1,1,20,1,0,13,1.0,0.0,0,9.0
7,2017,Eric Tomlinson,NYJ,9,BUF,2,1,6,0,0,25,1.0,0.0,3500,1.6
8,2017,Eric Tomlinson,NYJ,17,NE,2,2,10,0,0,10,0.0,0.0,3200,3.0
9,2018,Eric Tomlinson,NYJ,1,DET,1,1,7,0,0,8,0.0,0.0,2700,1.7
10,2018,Eric Tomlinson,NYJ,2,MIA,2,1,24,0,0,15,1.0,0.0,3500,3.4
11,2018,Eric Tomlinson,NYJ,3,CLE,2,1,14,0,0,4,0.0,1.0,2600,2.4
1,2016,Erik Swoope,IND,6,HOU,3,2,42,0,0,3,0.0,0.0,2500,6.2
2,2016,Erik Swoope,IND,7,TEN,5,2,51,0,0,15,0.0,1.0,2500,7.1
3,2016,Erik Swoope,IND,8,KC,3,2,30,0,0,5,1.0,0.0,2700,5.0
4,2016,Erik Swoope,IND,9,GB,1,1,7,0,0,21,0.0,1.0,2500,1.7
5,2016,Erik Swoope,IND,12,PIT,2,1,35,0,0,17,1.0,0.0,2500,4.5
6,2016,Erik Swoope,IND,13,NYJ,3,2,15,0,0,22,0.0,0.0,2500,3.5
7,2016,Erik Swoope,IND,15,MIN,3,3,50,1,0,11,0.0,0.0,2500,14.0
8,2016,Erik Swoope,IND,16,OAK,1,1,45,0,0,24,0.0,1.0,0,5.5
9,2016,Erik Swoope,IND,17,JAX,1,1,22,0,0,16,1.0,0.0,2500,3.2
10,2018,Erik Swoope,IND,1,CIN,1,1,13,0,0,28,1.0,0.0,2500,2.3
11,2018,Erik Swoope,IND,3,PHI,1,1,7,0,0,16,0.0,1.0,4900,1.7
1,2017,Evan Engram,NYG,1,DAL,5,4,44,0,0,21,0.0,0.0,3400,8.4
2,2017,Evan Engram,NYG,2,DET,7,4,49,1,0,16,1.0,0.0,3500,14.9
3,2017,Evan Engram,NYG,3,PHI,7,5,45,0,0,14,0.0,1.0,2500,9.5
4,2017,Evan Engram,NYG,4,TB,11,6,62,0,0,3,0.0,1.0,3100,12.2
5,2017,Evan Engram,NYG,5,LAC,4,0,0,0,0,8,1.0,0.0,6200,0.0
6,2017,Evan Engram,NYG,6,DEN,7,5,82,1,0,29,0.0,1.0,3000,19.2
7,2017,Evan Engram,NYG,7,SEA,12,6,60,1,0,9,1.0,0.0,2600,18.0
8,2017,Evan Engram,NYG,9,LAR,10,4,70,1,0,20,1.0,0.0,2600,17.0
9,2017,Evan Engram,NYG,10,SF,9,6,31,1,0,15,0.0,1.0,2500,15.1
10,2017,Evan Engram,NYG,11,KC,6,1,9,0,0,7,1.0,0.0,2500,1.9
11,2017,Evan Engram,NYG,12,WAS,7,3,18,0,0,28,0.0,1.0,2800,4.8
12,2017,Evan Engram,NYG,13,OAK,8,7,99,1,0,26,0.0,1.0,5500,22.9
13,2017,Evan Engram,NYG,14,DAL,7,4,54,0,0,21,1.0,0.0,2700,9.4
14,2017,Evan Engram,NYG,15,PHI,13,8,87,0,0,14,1.0,0.0,2500,18.1
15,2017,Evan Engram,NYG,16,ARI,2,1,12,0,0,17,0.0,1.0,2500,2.2
16,2018,Evan Engram,NYG,1,JAX,5,2,18,0,0,5,1.0,0.0,2500,3.8
17,2018,Evan Engram,NYG,2,DAL,7,7,67,1,0,20,0.0,0.0,2500,19.7
18,2018,Evan Engram,NYG,3,HOU,1,1,19,0,0,25,0.0,0.0,0,2.9
1,2017,Gabe Holmes,ARI,15,WAS,1,0,0,0,0,28,0.0,1.0,2500,0.0
1,2015,Garrett Celek,SF,1,MIN,4,3,40,0,0,15,1.0,1.0,2500,7.0
2,2015,Garrett Celek,SF,2,PIT,2,2,10,0,0,25,0.0,1.0,3000,3.0
3,2015,Garrett Celek,SF,3,ARI,3,3,29,0,0,20,0.0,1.0,2500,5.9
4,2015,Garrett Celek,SF,4,GB,5,3,26,0,0,14,1.0,1.0,0,5.6
5,2015,Garrett Celek,SF,5,NYG,5,3,26,1,0,31,0.0,0.0,0,11.6
6,2015,Garrett Celek,SF,6,BAL,2,0,0,0,0,4,1.0,1.0,2500,0.0
7,2015,Garrett Celek,SF,7,SEA,1,1,8,0,0,22,1.0,1.0,3000,1.8
8,2015,Garrett Celek,SF,8,LAR,1,0,0,0,0,26,0.0,1.0,2500,0.0
9,2015,Garrett Celek,SF,9,ATL,2,2,12,2,0,29,1.0,1.0,2700,15.2
10,2015,Garrett Celek,SF,11,SEA,3,2,35,0,0,22,0.0,0.0,0,5.5
11,2016,Garrett Celek,SF,1,LAR,4,1,15,0,0,7,1.0,1.0,2500,2.5
12,2016,Garrett Celek,SF,2,CAR,2,1,12,0,0,28,0.0,1.0,2500,2.2
13,2016,Garrett Celek,SF,3,SEA,4,3,25,0,0,4,0.0,0.0,2500,5.5
14,2016,Garrett Celek,SF,4,DAL,5,5,79,0,0,32,1.0,1.0,5000,12.9
15,2016,Garrett Celek,SF,5,ARI,6,1,4,0,0,1,1.0,1.0,0,1.4
16,2016,Garrett Celek,SF,7,TB,3,1,4,0,0,14,1.0,1.0,2500,1.4
