Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,8534,Jared Cook,OAK,TE,4,CLE,13,8,61.5,110,2,24,8.5,13.8,0,0,0,0,0,0,34,34
2,19063,George Kittle,SF,TE,4,LAC,8,6,75,125,1,82,15.6,20.8,0,0,0,0,0,0,27.5,27.5
3,14856,Zach Ertz,PHI,TE,4,TEN,14,10,71.4,112,0,24,8,11.2,0,0,0,0,0,0,24.2,24.2
4,15048,Travis Kelce,KC,TE,4,DEN,12,7,58.3,78,1,29,6.5,11.1,0,0,0,0,0,0,20.8,20.8
5,15965,Trey Burton,CHI,TE,4,TB,4,2,50,86,1,47,21.5,43,0,0,0,0,0,0,16.6,16.6
6,16451,Eric Ebron,IND,TE,4,HOU,10,5,50,40,1,12,4,8,0,0,0,0,0,0,15,15
7,14918,Tyler Eifert,CIN,TE,4,ATL,4,4,100,38,1,15,9.5,9.5,0,0,0,0,0,0,13.8,13.8
8,17005,Geoff Swaim,DAL,TE,4,DET,5,3,60,39,1,31,7.8,13,0,0,0,0,0,0,12.9,12.9
9,15247,Darren Fells,CLE,TE,4,OAK,2,1,50,49,1,49,24.5,49,0,0,0,0,0,0,11.9,11.9
9,16593,Cameron Brate,TB,TE,4,CHI,4,3,75,29,1,16,7.2,9.7,0,0,0,0,0,0,11.9,11.9
11,11488,Jimmy Graham,GB,TE,4,BUF,6,3,50,21,1,13,3.5,7,0,0,0,0,0,0,11.1,11.1
12,7884,Antonio Gates,LAC,TE,4,SF,5,2,40,27,1,22,5.4,13.5,0,0,0,0,0,0,10.7,10.7
12,13275,Kyle Rudolph,MIN,TE,4,LAR,6,5,83.3,57,0,24,9.5,11.4,0,0,0,0,0,0,10.7,10.7
14,18999,Jordan Leggett,NYJ,TE,4,JAX,4,3,75,13,1,9,3.2,4.3,0,0,0,0,0,0,10.3,10.3
15,18876,David Njoku,CLE,TE,4,OAK,7,5,71.4,52,0,14,7.4,10.4,0,0,0,0,0,0,10.2,10.2
15,15239,Vance McDonald,PIT,TE,4,BAL,5,5,100,62,0,33,12.4,12.4,0,0,0,0,1,1,10.2,10.2
17,16816,Maxx Williams,BAL,TE,4,PIT,5,5,100,51,0,22,10.2,10.2,0,0,0,0,0,0,10.1,10.1
18,16853,Jeff Heuerman,DEN,TE,4,KC,7,4,57.1,57,0,36,8.1,14.2,0,0,0,0,0,0,9.7,9.7
