PlayerID,Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,def_rk,h/a,surface,year
16648,Troy Niklas,ARI,2,CHI,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,13,away,grass,2015
16759,Jerome Cunningham,NYG,2,ATL,3,1,33.3,3,0,3,1.0,3.0,0,0,0.0,0,0,0,1.3,2500,29,away,turf,2015
16816,Maxx Williams,BAL,2,OAK,1,1,100.0,8,0,8,8.0,8.0,0,0,0.0,0,0,0,1.8,2500,30,away,grass,2015
16829,Clive Walford,OAK,2,BAL,2,1,50.0,4,0,4,2.0,4.0,0,0,0.0,0,0,0,1.4,null,4,away,grass,2015
16846,Tyler Kroft,CIN,2,LAC,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,3300,18,away,grass,2015
16878,Blake Bell,SF,2,PIT,3,1,33.3,11,0,11,3.7,11.0,0,0,0.0,0,0,0,2.1,2500,25,away,grass,2015
16903,MyCole Pruitt,MIN,2,DET,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,27,away,turf,2015
16931,Nick Boyle,BAL,2,OAK,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,4100,30,away,grass,2015
16933,James O'Shaughnessy,KC,2,DEN,2,2,100.0,54,0,30,27.0,27.0,0,0,0.0,0,0,0,7.4,2500,19,away,grass,2015
17005,Geoff Swaim,DAL,2,PHI,1,1,100.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,1.0,2500,11,away,grass,2015
17154,Khari Lee,CHI,2,ARI,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,20,away,grass,2015
3,Craig Stevens,TEN,3,IND,2,2,100.0,29,0,27,14.5,14.5,0,0,0.0,0,0,0,4.9,2500,23,away,turf,2015
722,Jason Witten,DAL,3,ATL,8,6,75.0,65,0,19,8.1,10.8,0,0,0.0,0,0,0,12.5,2500,29,away,turf,2015
852,Jacob Tamme,ATL,3,DAL,1,1,100.0,8,0,8,8.0,8.0,0,0,0.0,0,0,0,1.8,2500,1,away,turf,2015
1181,Martellus Bennett,CHI,3,SEA,5,4,80.0,15,0,6,3.0,3.8,0,0,0.0,0,0,0,5.5,2500,22,away,turf,2015
1545,Anthony Fasano,TEN,3,IND,2,1,50.0,26,0,26,13.0,26.0,0,0,0.0,0,0,0,3.6,2500,23,away,turf,2015
1658,Greg Olsen,CAR,3,NO,11,8,72.7,134,2,52,12.2,16.8,0,0,0.0,0,0,0,36.4,2500,32,away,turf,2015
1810,Owen Daniels,DEN,3,DET,9,5,55.6,28,1,11,3.1,5.6,0,0,0.0,0,0,0,13.8,2500,27,away,turf,2015
3061,Marcedes Lewis,JAX,3,NE,2,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,5,away,turf,2015
4577,Gary Barnidge,CLE,3,OAK,10,6,60.0,105,1,40,10.5,17.5,0,0,0.0,0,0,0,25.5,null,30,away,grass,2015
5084,Vernon Davis,SF,3,ARI,2,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,20,away,grass,2015
