,,Week,games_avg,tar_avg,rec_avg,yds_avg,td_avg,fum_avg,def_rk_avg,games_ma,tar_ma,rec_ma,yds_ma,td_ma,fum_ma,def_rk_ma,games_car,tar_car,rec_car,yds_car,td_car,fum_car,def_rk_car,year,def_rk,h/a_1,surface_0,salary,points
Adam Shaheen_reframed,1935,9.0,1.5,1.0,0.5,1.0,0.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.5,1.0,0.5,0.0,3.0,2017,5,1.0,1.0,4800,5.9
Adam Shaheen_reframed,1936,11.0,2.0,1.33,1.0,13.67,0.33,0.0,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.33,1.0,13.67,0.33,0.0,3.67,2017,16,1.0,1.0,2500,14.1
Adam Shaheen_reframed,1937,12.0,2.5,2.0,1.75,20.5,0.5,0.0,6.75,2.5,2.0,1.75,20.5,0.5,0.0,6.75,2.5,2.0,1.75,20.5,0.5,0.0,6.75,2017,14,0.0,1.0,0,1.1
Adam Shaheen_reframed,1938,13.0,3.0,1.8,1.6,16.6,0.4,0.0,8.2,3.0,1.8,1.6,16.6,0.4,0.0,8.2,3.0,1.8,1.6,16.6,0.4,0.0,8.2,2017,23,0.0,0.0,4400,14.4
Alex Ellis_reframed,993,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,11,1.0,1.0,2500,0.0
Alex Ellis_reframed,994,15.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2016,3,0.0,0.0,2500,1.1
Alex Ellis_reframed,995,16.0,1.5,1.0,0.5,0.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.5,0.5,0.0,0.0,7.0,2016,15,1.0,1.0,2500,3.0
Alex Smith_reframed,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,11,0.0,1.0,2800,0.0
Alex Smith_reframed,1,17.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2015,1,0.0,0.0,0,0.0
Andrew Quarless_reframed,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,2,1.0,1.0,2500,3.4
Andrew Quarless_reframed,3,4.0,1.0,2.0,2.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,14.0,0.0,0.0,2.0,2015,20,0.0,1.0,2500,3.7
Andrew Quarless_reframed,4,17.0,1.5,2.0,2.0,15.5,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,2.0,15.5,0.0,0.0,11.0,2015,15,1.0,1.0,0,0.0
Anthony Fasano_reframed,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,21,0.0,1.0,2500,2.8
Anthony Fasano_reframed,6,2.0,1.0,1.0,1.0,18.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,0.0,0.0,21.0,2015,6,0.0,1.0,4900,19.4
Anthony Fasano_reframed,7,3.0,1.5,4.0,3.0,51.0,0.5,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,4.0,3.0,51.0,0.5,0.0,13.5,2015,23,1.0,1.0,2500,3.6
Anthony Fasano_reframed,8,4.0,2.0,3.33,2.33,42.67,0.33,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.33,2.33,42.67,0.33,0.0,16.67,2015,8,1.0,1.0,2500,0.0
Anthony Fasano_reframed,9,6.0,2.5,2.75,1.75,32.0,0.25,0.0,14.5,2.5,2.75,1.75,32.0,0.25,0.0,14.5,2.5,2.75,1.75,32.0,0.25,0.0,14.5,2015,7,1.0,1.0,7500,2.1
Anthony Fasano_reframed,10,7.0,3.0,2.8,1.8,25.8,0.2,0.0,13.0,3.0,2.8,1.8,25.8,0.2,0.0,13.0,3.0,2.8,1.8,25.8,0.2,0.0,13.0,2015,29,1.0,1.0,2500,5.1
Anthony Fasano_reframed,11,8.0,3.5,3.0,2.0,25.0,0.17,0.0,15.67,3.5,3.0,2.0,25.0,0.16666666666666666,0.0,15.666666666666666,3.5,3.0,2.0,25.0,0.17,0.0,15.67,2015,10,0.0,0.0,2800,1.9
Anthony Fasano_reframed,12,9.0,4.0,2.71,1.86,22.71,0.14,0.0,14.86,4.0,2.7142857142857144,1.8571428571428572,22.714285714285715,0.14285714285714285,0.0,14.857142857142858,4.0,2.71,1.86,22.71,0.14,0.0,14.86,2015,32,0.0,0.0,2500,12.3
Anthony Fasano_reframed,13,10.0,4.5,2.75,2.0,24.0,0.25,0.0,17.0,4.5,2.75,2.0,24.0,0.25,0.0,17.0,4.5,2.75,2.0,24.0,0.25,0.0,17.0,2015,12,1.0,1.0,2500,2.9
Anthony Fasano_reframed,14,11.0,5.0,2.89,1.89,23.44,0.22,0.0,16.44,5.0,2.888888888888889,1.8888888888888888,23.444444444444443,0.2222222222222222,0.0,16.444444444444443,5.0,2.89,1.89,23.44,0.22,0.0,16.44,2015,28,0.0,1.0,2500,3.4
Anthony Fasano_reframed,15,12.0,5.5,2.8,1.9,22.5,0.2,0.0,17.6,5.5,2.8,1.9,22.5,0.2,0.0,17.6,5.5,2.8,1.9,22.5,0.2,0.0,17.6,2015,30,1.0,1.0,0,4.2
Anthony Fasano_reframed,16,13.0,6.0,2.73,1.91,22.45,0.18,0.0,18.73,6.0,2.727272727272727,1.9090909090909092,22.454545454545453,0.18181818181818182,0.0,18.727272727272727,6.0,2.73,1.91,22.45,0.18,0.0,18.73,2015,3,0.0,0.0,2500,0.0
Anthony Fasano_reframed,17,15.0,6.5,2.58,1.75,20.58,0.17,0.0,17.42,6.5,2.5833333333333335,1.75,20.583333333333332,0.16666666666666666,0.0,17.416666666666668,6.5,2.58,1.75,20.58,0.17,0.0,17.42,2015,5,0.0,0.0,2500,5.1
Anthony Fasano_reframed,18,16.0,7.0,2.69,1.85,20.62,0.15,0.0,16.46,7.0,2.6923076923076925,1.8461538461538463,20.615384615384617,0.15384615384615385,0.0,16.46153846153846,7.0,2.69,1.85,20.62,0.15,0.0,16.46,2015,10,1.0,1.0,2500,4.1
Anthony Fasano_reframed,996,17.0,7.5,3.0,1.86,20.64,0.14,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,3.0,1.86,20.64,0.14,0.0,16.0,2016,27,0.0,0.0,2500,1.1
Anthony Fasano_reframed,997,3.0,15.0,3.0,1.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,5.0,1.5,11.0,0.0,0.0,18.5,2016,3,0.0,0.0,2500,0.0
