Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,11056,Antonio Brown,PIT,WR,3,TB,30,26,8500,25.21
2,16389,Odell Beckham Jr,NYG,WR,4,NO,31,32,8700,20.75
3,17960,Michael Thomas,NO,WR,3,ATL,14,18,8900,20.66
4,17960,Michael Thomas,NO,WR,4,NYG,12,9,9100,20.47
5,11056,Antonio Brown,PIT,WR,4,BAL,3,16,8800,20.01
6,14986,DeAndre Hopkins,HOU,WR,4,IND,11,1,8400,19.04
7,13291,Julio Jones,ATL,WR,3,NO,29,32,7900,18.7
8,13291,Julio Jones,ATL,WR,4,CIN,23,9,8200,18.2
9,14986,DeAndre Hopkins,HOU,WR,3,NYG,4,6,8300,17.98
10,15076,Keenan Allen,LAC,WR,4,SF,28,27,8300,17.96
11,12845,AJ Green,CIN,WR,4,ATL,27,21,7500,17.79
12,16389,Odell Beckham Jr,NYG,WR,3,HOU,10,5,8200,17.66
13,18082,Tyreek Hill,KC,WR,3,SF,23,25,8500,17.65
14,12845,AJ Green,CIN,WR,3,CAR,12,10,7500,17.52
15,15534,Adam Thielen,MIN,WR,4,LAR,1,1,6500,17.25
16,16597,Mike Evans,TB,WR,3,PIT,29,29,7400,17.06
17,16020,Jarvis Landry,CLE,WR,4,OAK,21,29,7400,16.95
18,15076,Keenan Allen,LAC,WR,3,LAR,1,1,7700,16.68
19,15534,Adam Thielen,MIN,WR,3,BUF,31,20,7800,16.67
20,16470,Davante Adams,GB,WR,4,BUF,20,15,7800,16.59
21,16597,Mike Evans,TB,WR,4,CHI,9,20,7900,16.47
22,18082,Tyreek Hill,KC,WR,4,DEN,19,17,8100,16.12
23,18883,Juju Smith-Schuster,PIT,WR,3,TB,30,26,7000,16.09
24,16906,Stefon Diggs,MIN,WR,3,BUF,31,20,7700,16.01
25,18883,Juju Smith-Schuster,PIT,WR,4,BAL,3,16,7100,15.94
26,16470,Davante Adams,GB,WR,3,WAS,2,4,7600,15.91
27,11611,Golden Tate,DET,WR,3,NE,24,25,6700,15.71
28,14005,T.Y. Hilton,IND,WR,4,HOU,17,8,7000,15.57
29,14005,T.Y. Hilton,IND,WR,3,PHI,19,27,6700,15.43
30,11063,Emmanuel Sanders,DEN,WR,4,KC,32,23,6900,15.31
31,16906,Stefon Diggs,MIN,WR,4,LAR,1,1,6100,15.03
32,11611,Golden Tate,DET,WR,4,DAL,4,2,6600,14.78
33,16020,Jarvis Landry,CLE,WR,3,NYJ,4,17,7100,14.77
34,16263,Allen Robinson,CHI,WR,4,TB,29,28,5900,14.63
35,16781,Nelson Agholor,PHI,WR,3,IND,11,7,6100,14.57
36,16568,Brandin Cooks,LAR,WR,4,MIN,14,5,6400,14.51
37,17916,Will Fuller,HOU,WR,4,IND,11,1,6800,14.36
38,11063,Emmanuel Sanders,DEN,WR,3,BAL,6,16,6400,14.33
39,16263,Allen Robinson,CHI,WR,3,ARI,27,9,6800,14.23
40,16568,Brandin Cooks,LAR,WR,3,LAC,21,21,7500,14.15
40,16765,Amari Cooper,OAK,WR,3,MIA,5,3,6600,14.15
42,17961,Sterling Shepard,NYG,WR,4,NO,31,32,4900,14.13
42,11197,Demaryius Thomas,DEN,WR,4,KC,32,23,5500,14.13
44,14871,Robert Woods,LAR,WR,4,MIN,14,5,5400,13.86
45,11197,Demaryius Thomas,DEN,WR,3,BAL,6,16,5200,13.44
46,5571,Larry Fitzgerald,ARI,WR,3,CHI,15,30,6300,13.36
47,17916,Will Fuller,HOU,WR,3,NYG,4,6,5900,13.33
48,16765,Amari Cooper,OAK,WR,4,CLE,7,11,5600,13.26
49,9331,Michael Crabtree,BAL,WR,4,PIT,30,30,5500,13.25
50,18882,Cooper Kupp,LAR,WR,4,MIN,14,5,5100,13.23
51,18977,Kenny Golladay,DET,WR,4,DAL,4,2,6500,13.14
52,16063,Quincy Enunwa,NYJ,WR,3,CLE,14,20,5600,13.1
53,14828,Chris Hogan,NE,WR,3,DET,25,14,6200,13.09
54,16781,Nelson Agholor,PHI,WR,4,TEN,6,19,5700,12.99
55,18977,Kenny Golladay,DET,WR,3,NE,24,25,5900,12.92
56,16802,Devin Funchess,CAR,WR,3,CIN,25,17,5000,12.73
57,13870,Marvin Jones,DET,WR,3,NE,24,25,5500,12.71
58,14871,Robert Woods,LAR,WR,3,LAC,21,21,5600,12.67
59,19514,Keelan Cole,JAX,WR,4,NYJ,5,14,5400,12.59
60,18882,Cooper Kupp,LAR,WR,3,LAC,21,21,5400,12.52
61,17986,Tyler Boyd,CIN,WR,4,ATL,27,21,4600,12.47
62,16640,John Brown,BAL,WR,4,PIT,30,30,5800,12.42
63,18879,Corey Davis,TEN,WR,4,PHI,13,22,5300,12.4
63,9331,Michael Crabtree,BAL,WR,3,DEN,18,19,5000,12.4
65,13227,Randall Cobb,GB,WR,3,WAS,2,4,5200,12.35
66,5571,Larry Fitzgerald,ARI,WR,4,SEA,15,18,5000,12.3
67,13870,Marvin Jones,DET,WR,4,DAL,4,2,5200,12.29
68,19802,Calvin Ridley,ATL,WR,4,CIN,23,9,4900,12.22
69,15196,Kenny Stills,MIA,WR,3,OAK,16,12,5800,12.18
70,13460,Doug Baldwin,SEA,WR,4,ARI,18,4,5500,12.1
71,3943,DeSean Jackson,TB,WR,3,PIT,29,29,5500,11.97
72,19514,Keelan Cole,JAX,WR,3,TEN,17,31,5600,11.94
73,15196,Kenny Stills,MIA,WR,4,NE,24,26,5800,11.93
74,16003,Sammy Watkins,KC,WR,4,DEN,19,17,5300,11.91
75,16063,Quincy Enunwa,NYJ,WR,4,JAX,1,3,4300,11.87
76,16830,Tyler Lockett,SEA,WR,3,DAL,3,2,6200,11.78
76,6767,Pierre Garcon,SF,WR,3,KC,32,29,5300,11.78
78,16640,John Brown,BAL,WR,3,DEN,18,19,4800,11.59
79,18914,Mike Williams,LAC,WR,4,SF,28,27,4500,11.3
80,16003,Sammy Watkins,KC,WR,3,SF,23,25,5100,11.18
81,14828,Chris Hogan,NE,WR,4,MIA,10,7,5800,11.05
