year,games,Name,Week,Opponent,Team,tar,rec,yds,yds/rec,yds/tar,td,def_rk,h/a_1,surface_0,points
2012.0,5,Greg Little,5,NYG,CLE,2,0,0,0.0,0.0,0,11,0.0,0.0,0.0
2012.0,5,Harry Douglas,5,WAS,ATL,5,2,34,17.0,6.8,0,28,0.0,1.0,3.9
2012.0,5,Jacoby Jones,5,KC,BAL,2,0,0,0.0,0.0,0,14,0.0,1.0,0.0
2012.0,5,James Jones,5,IND,GB,7,4,46,11.5,6.6,2,2,0.0,0.0,16.6
2012.0,5,Jason Avant,5,PIT,PHI,3,3,34,11.3,11.3,0,23,0.0,1.0,3.4
2012.0,1,Jason Hill,5,HOU,NYJ,2,1,10,10.0,5.0,0,31,1.0,0.0,1.0
2012.0,5,Jeremy Kerley,5,HOU,NYJ,9,5,94,18.8,10.4,0,31,1.0,0.0,9.4
2012.0,4,Jeremy Maclin,5,PIT,PHI,8,5,39,7.8,4.9,0,23,0.0,1.0,3.9
2012.0,2,Jerome Simpson,5,TEN,MIN,3,0,0,0.0,0.0,0,17,1.0,0.0,0.0
2012.0,2,Jerrel Jernigan,5,CLE,NYG,1,1,6,6.0,6.0,0,16,1.0,0.0,0.6
2012.0,4,Jerricho Cotchery,5,PHI,PIT,1,1,7,7.0,7.0,0,32,1.0,1.0,0.7
2012.0,5,Jonathan Baldwin,5,BAL,KC,3,1,26,26.0,8.7,0,30,1.0,1.0,2.6
2012.0,2,Jordan Norwood,5,NYG,CLE,9,9,81,9.0,9.0,0,11,0.0,0.0,8.2
2012.0,5,Jordy Nelson,5,IND,GB,5,2,29,14.5,5.8,0,2,0.0,0.0,2.9
2012.0,4,Joseph Morgan,5,LAC,NO,1,0,0,0.0,0.0,0,13,1.0,0.0,0.0
2012.0,5,Josh Gordon,5,NYG,CLE,8,2,82,41.0,10.2,2,11,0.0,0.0,20.2
2012.0,5,Josh Morgan,5,ATL,WAS,1,1,4,4.0,4.0,0,26,1.0,1.0,0.4
2012.0,5,Joshua Cribbs,5,NYG,CLE,0,0,0,0.0,0.0,0,11,0.0,0.0,-2.0
2012.0,5,Julio Jones,5,WAS,ATL,15,10,94,9.4,6.3,1,28,0.0,1.0,15.5
2012.0,5,Justin Blackmon,5,CHI,JAX,8,3,40,13.3,5.0,0,24,1.0,1.0,4.0
2012.0,5,Kealoha Pilares,5,SEA,CAR,0,0,0,0.0,0.0,0,1,1.0,1.0,1.2
2012.0,5,Kendall Wright,5,MIN,TEN,11,9,66,7.3,6.0,0,9,0.0,0.0,6.6
2012.0,3,Kenny Britt,5,MIN,TEN,5,2,23,11.5,4.6,0,9,0.0,0.0,2.3
2012.0,5,Keshawn Martin,5,NYJ,HOU,0,0,0,0.0,0.0,0,21,0.0,0.0,1.4
2012.0,5,Kevin Cone,5,WAS,ATL,0,0,0,0.0,0.0,0,28,0.0,1.0,0.0
2012.0,5,Kevin Elliott,5,CHI,JAX,3,2,17,8.5,5.7,0,24,1.0,1.0,1.7
2012.0,5,Kevin Walter,5,NYJ,HOU,6,4,46,11.5,7.7,0,21,0.0,0.0,4.6
2012.0,5,Kyle Williams,5,BUF,SF,2,2,50,25.0,25.0,1,10,1.0,1.0,11.6
2012.0,1,LaQuan Williams,5,KC,BAL,0,0,0,0.0,0.0,0,14,0.0,1.0,0.0
2012.0,3,LaVon Brazill,5,GB,IND,0,0,0,0.0,0.0,0,18,1.0,0.0,0.0
2012.0,5,Larry Fitzgerald,5,LAR,ARI,15,8,92,11.5,6.1,0,27,0.0,1.0,9.2
2012.0,5,Leonard Hankerson,5,ATL,WAS,1,1,3,3.0,3.0,0,26,1.0,1.0,0.5
