Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
74,12109,Ted Ginn,NO,WR,2,CLE,18,22,4800,11.27
75,18187,Robby Anderson,NYJ,WR,2,MIA,6,4,5400,11.11
76,17961,Sterling Shepard,NYG,WR,1,JAX,2,1,4500,11.1
77,14865,Marquise Goodwin,SF,WR,1,MIN,1,8,4600,11.01
78,18977,Kenny Golladay,DET,WR,2,SF,17,17,4800,10.93
79,6767,Pierre Garcon,SF,WR,1,MIN,1,8,4900,10.88
80,19514,Keelan Cole,JAX,WR,1,NYG,32,25,3800,10.6
81,16640,John Brown,BAL,WR,2,CIN,21,16,4400,10.57
82,4556,Jordy Nelson,OAK,WR,1,LAR,14,10,5300,10.47
83,13878,Mohamed Sanu,ATL,WR,2,CAR,2,9,4000,10.37
84,19514,Keelan Cole,JAX,WR,2,NE,14,12,5300,10.29
85,13878,Mohamed Sanu,ATL,WR,1,PHI,5,21,3800,10.23
86,14587,Josh Gordon,CLE,WR,1,PIT,6,12,5800,10.1
87,16550,Kelvin Benjamin,BUF,WR,1,BAL,4,2,5000,10.09
88,9906,Danny Amendola,MIA,WR,1,TEN,19,19,4200,10.06
89,12109,Ted Ginn,NO,WR,1,TB,27,30,4300,10.03
90,17916,Will Fuller,HOU,WR,2,TEN,16,27,5300,9.96
91,16003,Sammy Watkins,KC,WR,1,LAC,3,9,5100,9.87
92,16063,Quincy Enunwa,NYJ,WR,1,DET,18,14,4500,9.78
93,19854,Dante Pettis,SF,WR,2,DET,25,23,4000,9.74
94,3943,DeSean Jackson,TB,WR,1,NO,13,19,4600,9.66
95,18977,Kenny Golladay,DET,WR,1,NYJ,26,22,4900,9.62
96,17048,Tyrell Williams,LAC,WR,1,KC,21,32,4200,9.5
97,14141,Cole Beasley,DAL,WR,2,NYG,4,3,4600,9.48
98,18992,Dede Westbrook,JAX,WR,2,NE,14,12,4900,9.42
99,4556,Jordy Nelson,OAK,WR,2,DEN,20,19,5400,9.39
100,16411,Ryan Grant,IND,WR,2,WAS,1,5,4300,9.36
101,18914,Mike Williams,LAC,WR,2,BUF,29,25,3700,9.29
102,16003,Sammy Watkins,KC,WR,2,PIT,15,15,4600,9.18
103,9906,Danny Amendola,MIA,WR,2,NYJ,4,24,4600,9.16
104,16830,Tyler Lockett,SEA,WR,1,DEN,9,4,4300,9.15
105,17048,Tyrell Williams,LAC,WR,2,BUF,29,25,4400,9.11
105,18269,Geronimo Allison,GB,WR,2,MIN,11,13,3800,9.11
107,18880,Chris Godwin,TB,WR,2,PHI,10,14,4600,9.08
108,16694,Paul Richardson,WAS,WR,2,IND,19,15,4200,9.01
109,16253,Allen Hurns,DAL,WR,1,CAR,15,27,4700,8.97
110,3943,DeSean Jackson,TB,WR,2,PHI,10,14,4900,8.9
111,16550,Kelvin Benjamin,BUF,WR,2,LAC,27,29,4600,8.86
112,16790,Phillip Dorsett,NE,WR,2,JAX,8,11,4900,8.76
113,18992,Dede Westbrook,JAX,WR,1,NYG,32,25,3900,8.74
114,17939,Josh Doctson,WAS,WR,1,ARI,11,16,4500,8.64
115,16640,John Brown,BAL,WR,1,BUF,16,6,3700,8.59
116,8529,Mike Wallace,PHI,WR,2,TB,31,30,3900,8.57
117,16141,Willie Snead,BAL,WR,2,CIN,21,16,3900,8.36
118,16694,Paul Richardson,WAS,WR,1,ARI,11,16,3900,8.22
119,16308,Albert Wilson,MIA,WR,1,TEN,19,19,3700,8.21
120,19800,Courtland Sutton,DEN,WR,2,OAK,21,21,3800,8.19
121,18881,John Ross,CIN,WR,1,IND,29,28,3900,8.16
122,16664,Bruce Ellington,HOU,WR,2,TEN,16,27,3800,8.14
123,16129,Taylor Gabriel,CHI,WR,2,SEA,31,30,4200,8.02
124,8529,Mike Wallace,PHI,WR,1,ATL,10,11,4200,7.98
125,17939,Josh Doctson,WAS,WR,2,IND,19,15,4000,7.97
126,16232,Donte Moncrief,JAX,WR,1,NYG,32,25,4000,7.96
127,13788,Rishard Matthews,TEN,WR,1,MIA,22,5,4800,7.89
127,16308,Albert Wilson,MIA,WR,2,NYJ,4,24,3700,7.89
129,16411,Ryan Grant,IND,WR,1,CIN,17,3,3900,7.87
130,19867,Michael Gallup,DAL,WR,1,CAR,15,27,4000,7.81
131,18880,Chris Godwin,TB,WR,1,NO,13,19,4100,7.79
132,19802,Calvin Ridley,ATL,WR,1,PHI,5,21,4000,7.77
133,19864,Anthony Miller,CHI,WR,1,GB,30,31,4600,7.76
134,16664,Bruce Ellington,HOU,WR,1,NE,20,29,3400,7.72
135,18881,John Ross,CIN,WR,2,BAL,1,2,3800,7.63
136,16232,Donte Moncrief,JAX,WR,2,NE,14,12,4000,7.61
137,18914,Mike Williams,LAC,WR,1,KC,21,32,3900,7.48
138,16790,Phillip Dorsett,NE,WR,1,HOU,31,26,3700,7.44
139,19864,Anthony Miller,CHI,WR,2,SEA,31,30,3700,7.4
140,15088,Terrance Williams,DAL,WR,1,CAR,15,27,3800,7.36
141,19064,Trent Taylor,SF,WR,2,DET,25,23,3900,7.32
142,18269,Geronimo Allison,GB,WR,1,CHI,7,13,3900,7.26
143,19800,Courtland Sutton,DEN,WR,1,SEA,8,18,3600,7.22
144,13788,Rishard Matthews,TEN,WR,2,HOU,24,9,4200,7.2
144,19844,D.J. Moore,CAR,WR,1,DAL,12,24,4100,7.2
146,16146,Martavis Bryant,OAK,WR,2,DEN,20,19,3700,7.19
147,18971,Taywan Taylor,TEN,WR,1,MIA,22,5,3600,7.17
148,17986,Tyler Boyd,CIN,WR,2,BAL,1,2,3200,7.09
149,18089,Rashard Higgins,CLE,WR,2,NO,32,32,3000,7
150,19802,Calvin Ridley,ATL,WR,2,CAR,2,9,3700,6.94
151,13693,Terrelle Pryor,NYJ,WR,1,DET,18,14,3500,6.77
152,19815,Christian Kirk,ARI,WR,1,WAS,23,7,3700,6.71
153,19865,James Washington,PIT,WR,1,CLE,24,15,4000,6.7
154,19276,Austin Carr,NO,WR,1,TB,27,30,3000,6.67
155,16253,Allen Hurns,DAL,WR,2,NYG,4,3,3800,6.63
156,18926,Zay Jones,BUF,WR,2,LAC,27,29,3800,6.52
157,17290,Adam Humphries,TB,WR,2,PHI,10,14,3400,6.45
158,19867,Michael Gallup,DAL,WR,2,NYG,4,3,3700,6.36
159,13887,Travis Benjamin,LAC,WR,1,KC,21,32,3600,6.33
160,19815,Christian Kirk,ARI,WR,2,LAR,12,1,3600,6.31
161,19917,Antonio Callaway,CLE,WR,1,PIT,6,12,3100,6.3
162,17290,Adam Humphries,TB,WR,1,NO,13,19,3200,6.23
163,15150,Cordarrelle Patterson,NE,WR,2,JAX,8,11,3700,6.2
164,19917,Antonio Callaway,CLE,WR,2,NO,32,32,3000,6.17
165,14141,Cole Beasley,DAL,WR,1,CAR,15,27,3600,6.16
166,18974,Chad Williams,ARI,WR,1,WAS,23,7,3200,6.14
167,18361,Chester Rogers,IND,WR,2,WAS,1,5,3300,6.09
168,17986,Tyler Boyd,CIN,WR,1,IND,29,28,3100,5.9
169,16141,Willie Snead,BAL,WR,1,BUF,16,6,3700,5.89
170,14749,Jermaine Kearse,NYJ,WR,2,MIA,6,4,4000,5.87
171,16129,Taylor Gabriel,CHI,WR,1,GB,30,31,4100,5.85
172,19064,Trent Taylor,SF,WR,1,MIN,1,8,3600,5.83
173,19276,Austin Carr,NO,WR,2,CLE,18,22,3200,5.82
174,15509,Jaron Brown,SEA,WR,2,CHI,25,32,3900,5.81
175,18361,Chester Rogers,IND,WR,1,CIN,17,3,3500,5.77
176,11667,Brandon Marshall,SEA,WR,1,DEN,9,4,3700,5.72
177,16326,Seth Roberts,OAK,WR,1,LAR,14,10,3200,5.67
178,16919,JJ Nelson,ARI,WR,1,WAS,23,7,3400,5.45
179,12830,Torrey Smith,CAR,WR,2,ATL,3,2,3500,5.33
179,12830,Torrey Smith,CAR,WR,1,DAL,12,24,3500,5.33
181,18926,Zay Jones,BUF,WR,1,BAL,4,2,3700,5.22
182,15088,Terrance Williams,DAL,WR,2,NYG,4,3,3400,5.19
183,18103,Jakeem Grant,MIA,WR,2,NYJ,4,24,3900,5.16
184,15150,Cordarrelle Patterson,NE,WR,1,HOU,31,26,3500,5.13
185,19865,James Washington,PIT,WR,2,KC,30,25,3800,5.01
186,13693,Terrelle Pryor,NYJ,WR,2,MIA,6,4,3700,5
187,18058,Tajae Sharpe,TEN,WR,2,HOU,24,9,3300,4.88
187,17914,Laquon Treadwell,MIN,WR,2,GB,7,7,3300,4.88
189,16278,Cody Latimer,NYG,WR,2,DAL,3,2,3100,4.87
190,17914,Laquon Treadwell,MIN,WR,1,SF,28,23,3400,4.86
191,12794,Jeremy Kerley,BUF,WR,1,BAL,4,2,3700,4.81
192,16837,Chris Conley,KC,WR,1,LAC,3,9,3400,4.68
193,19897,Tre'Quan Smith,NO,WR,1,TB,27,30,3500,4.64
194,16278,Cody Latimer,NYG,WR,1,JAX,2,1,3200,4.58
195,16768,Kevin White,CHI,WR,1,GB,30,31,3400,4.52
196,16456,TJ Jones,DET,WR,2,SF,17,17,3200,4.48
197,15509,Jaron Brown,SEA,WR,1,DEN,9,4,3300,4.44
198,19897,Tre'Quan Smith,NO,WR,2,CLE,18,22,3400,4.37
199,16326,Seth Roberts,OAK,WR,2,DEN,20,19,3200,4.26
200,14465,Jarius Wright,CAR,WR,2,ATL,3,2,3800,4.18
201,19816,D.J. Chark,JAX,WR,1,NYG,32,25,3000,4.15
202,16919,JJ Nelson,ARI,WR,2,LAR,12,1,3300,4.14
203,13856,Deonte Thompson,DAL,WR,2,NYG,4,3,3600,4.12
204,18974,Chad Williams,ARI,WR,2,LAR,12,1,3200,4.09
205,19844,D.J. Moore,CAR,WR,2,ATL,3,2,4000,4.04
206,18103,Jakeem Grant,MIA,WR,1,TEN,19,19,3400,3.92
206,17218,Deandre Carter,PHI,WR,1,ATL,10,11,3000,3.92
208,19854,Dante Pettis,SF,WR,1,MIN,1,8,3600,3.88
209,16456,TJ Jones,DET,WR,1,NYJ,26,22,3400,3.87
209,16837,Chris Conley,KC,WR,2,PIT,15,15,3300,3.87
211,19060,Shelton Gibson,PHI,WR,1,ATL,10,11,3000,3.56
212,13264,Andre Holmes,BUF,WR,1,BAL,4,2,3100,3.43
213,16848,Sammie Coates,HOU,WR,1,NE,20,29,3000,3.39
213,11463,Brandon LaFell,OAK,WR,2,DEN,20,19,4100,3.39
215,19816,D.J. Chark,JAX,WR,2,NE,14,12,3200,3.31
216,18030,Chris Moore,BAL,WR,1,BUF,16,6,3000,3.2
217,18971,Taywan Taylor,TEN,WR,2,HOU,24,9,3600,3.18
218,16868,Justin Hardy,ATL,WR,1,PHI,5,21,3000,3.15
219,17218,Deandre Carter,PHI,WR,2,TB,31,30,3000,3.11
220,18030,Chris Moore,BAL,WR,2,CIN,21,16,3000,3.02
221,16768,Kevin White,CHI,WR,2,SEA,31,30,3000,2.96
222,16868,Justin Hardy,ATL,WR,2,CAR,2,9,3000,2.9
223,19504,Riley McCarron,NE,WR,1,HOU,31,26,3000,2.8
224,14978,Justin Hunter,PIT,WR,1,CLE,24,15,3000,2.67
225,19060,Shelton Gibson,PHI,WR,2,TB,31,30,3000,2.58
226,19916,Daesean Hamilton,DEN,WR,1,SEA,8,18,3300,2.55
227,15215,Tavon Austin,DAL,WR,1,CAR,15,27,3800,2.5
228,13264,Andre Holmes,BUF,WR,2,LAC,27,29,3200,2.46
229,18157,Charone Peake,NYJ,WR,1,DET,18,14,3100,2.37
230,19017,Josh Reynolds,LAR,WR,2,ARI,23,2,3000,2.27
231,18089,Rashard Higgins,CLE,WR,1,PIT,6,12,3000,2.26
232,20250,Robert Foster,BUF,WR,2,LAC,27,29,3000,2.19
232,16305,De'Anthony Thomas,KC,WR,2,PIT,15,15,3300,2.19
232,14465,Jarius Wright,CAR,WR,1,DAL,12,24,3300,2.19
235,15215,Tavon Austin,DAL,WR,2,NYG,4,3,3500,1.97
236,18058,Tajae Sharpe,TEN,WR,1,MIA,22,5,3200,1.94
237,19017,Josh Reynolds,LAR,WR,1,OAK,25,17,3100,1.92
238,11565,Andre Roberts,NYJ,WR,1,DET,18,14,3100,1.7
239,14973,Markus Wheaton,PHI,WR,1,ATL,10,11,3000,1.69
240,14795,Josh Bellamy,CHI,WR,2,SEA,31,30,3000,1.6
241,14795,Josh Bellamy,CHI,WR,1,GB,30,31,3500,1.57
242,18047,Demarcus Robinson,KC,WR,1,LAC,3,9,3400,1.56
243,19207,Tim Patrick,DEN,WR,2,OAK,21,21,3200,1.41
244,19916,Daesean Hamilton,DEN,WR,2,OAK,21,21,3200,1.34
245,19318,Kendrick Bourne,SF,WR,2,DET,25,23,3000,1.2
246,13856,Deonte Thompson,DAL,WR,1,CAR,15,27,3000,1.19
247,18047,Demarcus Robinson,KC,WR,2,PIT,15,15,3100,1.17
248,18673,Jaydon Mickens,JAX,WR,2,NE,14,12,3200,1.13
249,19006,Josh Malone,CIN,WR,1,IND,29,28,3000,1.12
250,19976,Marquez Valdes-Scantling,GB,WR,1,CHI,7,13,3000,1.09
250,18039,Pharoh Cooper,LAR,WR,1,OAK,25,17,3100,1.09
252,19318,Kendrick Bourne,SF,WR,1,MIN,1,8,3000,1.07
253,8771,Darrius Heyward-Bey,PIT,WR,1,CLE,24,15,3100,1.03
254,20079,Trey Quinn,WAS,WR,1,ARI,11,16,3000,1.02
255,14850,Russell Shepard,NYG,WR,1,JAX,2,1,3000,1.01
256,19976,Marquez Valdes-Scantling,GB,WR,2,MIN,11,13,3000,0.96
257,8771,Darrius Heyward-Bey,PIT,WR,2,KC,30,25,3100,0.92
258,20398,Equanimeous St. Brown,GB,WR,1,CHI,7,13,3000,0.86
259,14850,Russell Shepard,NYG,WR,2,DAL,3,2,3000,0.85
260,19008,Ryan Switzer,PIT,WR,1,CLE,24,15,3000,0.83
260,19120,David Moore,SEA,WR,1,DEN,9,4,3000,0.83
262,18197,Alex Erickson,CIN,WR,2,BAL,1,2,3000,0.82
263,20081,Trent Sherfield,ARI,WR,1,WAS,23,7,3000,0.8
264,18197,Alex Erickson,CIN,WR,1,IND,29,28,3000,0.78
265,17141,Damiere Byrd,CAR,WR,1,DAL,12,24,3000,0.76
266,19361,Marcus Kemp,KC,WR,2,PIT,15,15,3000,0.74
266,14424,Brian Quick,WAS,WR,2,IND,19,15,3000,0.74
266,20077,Richie James,SF,WR,2,DET,25,23,3000,0.74
269,18157,Charone Peake,NYJ,WR,2,MIA,6,4,3000,0.72
270,19779,Brandon Zylstra,MIN,WR,1,SF,28,23,3000,0.71
271,20006,Russell Gage,ATL,WR,1,PHI,5,21,3000,0.7
272,19120,David Moore,SEA,WR,2,CHI,25,32,3000,0.69
273,17153,Jordan Taylor,DEN,WR,1,SEA,8,18,3000,0.68
274,20477,Derrick Willies,CLE,WR,2,NO,32,32,3000,0.67
275,16305,De'Anthony Thomas,KC,WR,1,LAC,3,9,3000,0.66
276,20295,Vyncint Smith,HOU,WR,2,TEN,16,27,3000,0.65
277,18508,Andy Jones,DET,WR,1,NYJ,26,22,3100,0.64
277,12722,Kamar Aiken,PHI,WR,2,TB,31,30,null,0.64
279,15479,Marlon Brown,CHI,WR,1,GB,30,31,3000,0.63
280,16529,Freddie Martino,TB,WR,1,NO,13,19,3000,0.62
280,18445,Mike Thomas,LAR,WR,1,OAK,25,17,3100,0.62
282,18508,Andy Jones,DET,WR,2,SF,17,17,null,0.6
283,16529,Freddie Martino,TB,WR,2,PHI,10,14,3000,0.59
283,19172,Zach Pascal,IND,WR,2,WAS,1,5,3000,0.59
283,17153,Jordan Taylor,DEN,WR,2,OAK,21,21,3200,0.59
286,17271,Bradley Marquez,DET,WR,1,NYJ,26,22,3100,0.58
287,18673,Jaydon Mickens,JAX,WR,1,NYG,32,25,3000,0.56
288,16946,Geremy Davis,LAC,WR,2,BUF,29,25,3000,0.55
288,19008,Ryan Switzer,PIT,WR,2,KC,30,25,3000,0.55
288,17964,Braxton Miller,PHI,WR,2,TB,31,30,null,0.55
291,20310,JJ Jones,LAC,WR,2,BUF,29,25,3000,0.49
292,19006,Josh Malone,CIN,WR,2,BAL,1,2,3000,0.48
292,18209,Marcus Johnson,IND,WR,2,WAS,1,5,3000,0.48
294,19080,Noah Brown,DAL,WR,1,CAR,15,27,3000,0.46
294,13117,Dwayne Harris,OAK,WR,1,LAR,14,10,3100,0.46
294,11565,Andre Roberts,NYJ,WR,2,MIA,6,4,3000,0.46
297,20585,Janarion Grant,BAL,WR,2,CIN,21,16,3000,0.43
297,19080,Noah Brown,DAL,WR,2,NYG,4,3,3000,0.43
297,18401,Tommylee Lewis,NO,WR,2,CLE,18,22,3000,0.43
300,19100,Stacy Coley,MIN,WR,1,SF,28,23,3000,0.42
