Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,18882,Cooper Kupp,LAR,WR,4,MIN,11,9,81.8,162,2,70,14.7,18,0,0,0,0,0,0,40.2,40.2
2,11611,Golden Tate,DET,WR,4,DAL,8,8,100,132,2,45,16.5,16.5,0,0,0,0,0,0,36.2,36.2
3,14986,DeAndre Hopkins,HOU,WR,4,IND,12,10,83.3,169,1,30,14.1,16.9,0,0,0,0,0,0,35.9,35.9
4,18879,Corey Davis,TEN,WR,4,PHI,15,9,60,161,1,51,10.7,17.9,0,0,0,0,0,0,34.1,34.1
5,16129,Taylor Gabriel,CHI,WR,4,TB,7,7,100,104,2,33,14.9,14.9,1,10,10,0,0,0,33.4,33.4
6,15534,Adam Thielen,MIN,WR,4,LAR,12,8,66.7,135,1,45,11.2,16.9,0,0,0,0,0,0,30.5,30.5
7,16765,Amari Cooper,OAK,WR,4,CLE,12,8,66.7,128,1,36,10.7,16,0,0,0,0,0,0,29.8,29.8
8,13291,Julio Jones,ATL,WR,4,CIN,12,9,75,173,0,49,14.4,19.2,0,0,0,0,0,0,29.3,29.3
9,16568,Brandin Cooks,LAR,WR,4,MIN,8,7,87.5,116,1,47,14.5,16.6,1,10,10,0,1,0,28.6,28.6
10,14187,Alshon Jeffery,PHI,WR,4,TEN,9,8,88.9,105,1,31,11.7,13.1,0,0,0,0,1,0,27.5,27.5
11,16906,Stefon Diggs,MIN,WR,4,LAR,15,11,73.3,123,0,34,8.2,11.2,0,0,0,0,0,0,26.3,26.3
12,17961,Sterling Shepard,NYG,WR,4,NO,10,10,100,77,1,23,7.7,7.7,0,0,0,0,0,0,25.7,25.7
13,18992,Dede Westbrook,JAX,WR,4,NYJ,13,9,69.2,130,0,27,10,14.4,1,11,11,0,1,1,25.1,25.1
14,16232,Donte Moncrief,JAX,WR,4,NYJ,5,5,100,109,1,67,21.8,21.8,0,0,0,0,0,0,24.9,24.9
15,19937,Keke Coutee,HOU,WR,4,IND,15,11,73.3,109,0,19,7.3,9.9,2,-2,-1,0,0,0,24.7,24.7
16,14871,Robert Woods,LAR,WR,4,MIN,5,5,100,101,1,36,20.2,20.2,0,0,0,0,0,0,24.1,24.1
17,17986,Tyler Boyd,CIN,WR,4,ATL,15,11,73.3,100,0,13,6.7,9.1,0,0,0,0,0,0,24,24
18,16640,John Brown,BAL,WR,4,PIT,7,3,42.9,116,1,71,16.6,38.7,1,3,3,0,0,0,23.9,23.9
19,19802,Calvin Ridley,ATL,WR,4,CIN,6,4,66.7,54,2,30,9,13.5,1,1,1,0,0,0,21.5,21.5
20,13878,Mohamed Sanu,ATL,WR,4,CIN,9,6,66.7,111,0,36,12.3,18.5,0,0,0,0,0,0,20.1,20.1
21,3943,DeSean Jackson,TB,WR,4,CHI,8,5,62.5,112,0,48,14,22.4,0,0,0,0,0,0,19.2,19.2
22,14005,T.Y. Hilton,IND,WR,4,HOU,6,4,66.7,115,0,42,19.2,28.8,0,0,0,0,0,0,18.5,18.5
