PlayerID,Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,year,salary,def_rk,h/a,surface
15534,Adam Thielen,MIN,3,LAC,4,2,50.0,16,0,11,4.0,8.0,0,0,0.0,0,0,0,3.6,2015,3000,14,home,turf
15659,Rashad Ross,WAS,3,NYG,2,2,100.0,27,0,20,13.5,13.5,0,0,0.0,0,0,0,10.7,2015,3400,31,home,grass
15714,Brenton Bersin,CAR,3,NO,2,1,50.0,13,0,13,6.5,13.0,0,0,0.0,0,0,0,2.3,2015,3700,32,home,grass
15725,Brittan Golden,ARI,3,SF,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,25,home,grass
15974,Jordan Matthews,PHI,3,NYJ,8,6,75.0,49,0,17,6.1,8.2,0,0,0.0,0,0,0,10.9,2015,3000,6,home,grass
16003,Sammy Watkins,BUF,3,MIA,2,1,50.0,39,0,39,19.5,39.0,0,0,0.0,0,0,0,4.9,2015,3000,26,home,turf
16020,Jarvis Landry,MIA,3,BUF,13,8,61.5,67,0,13,5.2,8.4,1,-1,-1.0,0,0,0,16.6,2015,3000,18,home,grass
16063,Quincy Enunwa,NYJ,3,PHI,10,5,50.0,50,0,26,5.0,10.0,0,0,0.0,0,0,0,10.0,2015,3000,30,away,grass
16081,Michael Campanaro,BAL,3,CIN,2,2,100.0,11,0,11,5.5,5.5,1,8,8.0,0,0,0,3.9,2015,3000,9,home,grass
16129,Taylor Gabriel,CLE,3,OAK,5,3,60.0,28,0,11,5.6,9.3,0,0,0.0,0,0,0,5.8,2015,3000,22,home,grass
16141,Willie Snead,NO,3,CAR,7,5,71.4,44,0,15,6.3,8.8,0,0,0.0,0,0,0,9.4,2015,3000,10,away,grass
16232,Donte Moncrief,IND,3,TEN,7,4,57.1,32,1,11,4.6,8.0,0,0,0.0,0,0,0,13.2,2015,3000,19,home,turf
16242,Tony Washington,JAX,3,NE,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,6900,13,away,turf
16253,Allen Hurns,JAX,3,NE,4,2,50.0,70,1,59,17.5,35.0,0,0,0.0,0,0,0,15.0,2015,6100,13,away,turf
16258,Marqise Lee,JAX,3,NE,2,1,50.0,13,0,13,6.5,13.0,0,0,0.0,0,0,0,2.3,2015,6400,13,away,turf
16263,Allen Robinson,JAX,3,NE,9,4,44.4,68,0,37,7.6,17.0,0,0,0.0,0,0,0,10.8,2015,3000,13,away,turf
16276,Bennie Fowler,DEN,3,DET,4,4,100.0,50,0,13,12.5,12.5,0,0,0.0,0,0,0,9.0,2015,3000,20,home,grass
16278,Cody Latimer,DEN,3,DET,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,20,home,grass
16305,De'Anthony Thomas,KC,3,GB,2,2,100.0,12,0,9,6.0,6.0,1,-7,-7.0,0,0,0,2.5,2015,3000,5,away,grass
16308,Albert Wilson,KC,3,GB,3,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,4800,5,away,grass
16326,Seth Roberts,OAK,3,CLE,5,3,60.0,56,1,36,11.2,18.7,0,0,0.0,0,0,0,14.6,2015,3700,24,home,grass
16381,Devin Street,DAL,3,ATL,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3400,12,home,turf
16389,Odell Beckham Jr,NYG,3,WAS,9,7,77.8,79,1,30,8.8,11.3,0,0,0.0,0,0,0,20.9,2015,5200,27,away,grass
16411,Ryan Grant,WAS,3,NYG,5,2,40.0,9,0,6,1.8,4.5,0,0,0.0,0,0,0,2.9,2015,3000,31,home,grass
16456,TJ Jones,DET,3,DEN,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,2,home,turf
16470,Davante Adams,GB,3,KC,2,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,7,away,grass
16480,Jeff Janis,GB,3,KC,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2015,3000,7,away,grass
16553,Corey Brown,CAR,3,NO,0,0,0.0,0,0,0,0.0,0.0,1,12,12.0,0,0,0,1.2,2015,3000,32,home,grass
