Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
95,17916,Will Fuller,HOU,WR,5,DAL,3,2,66.7,15,0,10,5,7.5,0,0,0,0,0,0,3.5,3.5
96,18030,Chris Moore,BAL,WR,5,CLE,2,1,50,20,0,20,10,20,0,0,0,0,0,0,3,3
97,14749,Jermaine Kearse,NYJ,WR,5,DEN,4,1,25,14,0,14,3.5,14,0,0,0,0,0,0,2.4,2.4
97,20679,Khadarel Hodge,LAR,WR,5,SEA,1,1,100,14,0,14,14,14,0,0,0,0,0,0,2.4,2.4
99,16305,De'Anthony Thomas,KC,WR,5,JAX,1,1,100,13,0,13,13,13,0,0,0,0,0,0,2.3,2.3
100,19172,Zach Pascal,IND,WR,5,NE,7,1,14.3,12,0,12,1.7,12,0,0,0,0,0,0,2.2,2.2
101,16550,Kelvin Benjamin,BUF,WR,5,TEN,5,1,20,11,0,11,2.2,11,0,0,0,0,0,0,2.1,2.1
102,16765,Amari Cooper,OAK,WR,5,LAC,1,1,100,10,0,10,10,10,0,0,0,0,0,0,2,2
102,19317,Victor Bolden Jr.,SF,WR,5,ARI,4,1,25,10,0,10,2.5,10,0,0,0,0,0,0,2,2
104,14141,Cole Beasley,DAL,WR,5,HOU,3,1,33.3,8,0,8,2.7,8,0,0,0,0,0,0,1.8,1.8
105,20077,Richie James,SF,WR,5,ARI,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
106,17070,Darius Jennings,TEN,WR,5,BUF,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
106,19207,Tim Patrick,DEN,WR,5,NYJ,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
106,19867,Michael Gallup,DAL,WR,5,HOU,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.6,1.6
106,14424,Brian Quick,WAS,WR,5,NO,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
110,19008,Ryan Switzer,PIT,WR,5,ATL,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
111,19961,Ray-Ray McCloud,BUF,WR,5,TEN,1,1,100,7,0,7,7,7,1,-3,-3,0,0,0,1.4,1.4
111,11565,Andre Roberts,NYJ,WR,5,DEN,2,1,50,4,0,4,2,4,0,0,0,0,0,0,1.4,1.4
111,15974,Jordan Matthews,PHI,WR,5,MIN,1,1,100,4,0,4,4,4,0,0,0,0,0,0,1.4,1.4
114,13460,Doug Baldwin,SEA,WR,5,LAR,1,1,100,1,0,1,1,1,0,0,0,0,0,0,1.1,1.1
115,7651,Matthew Slater,NE,WR,5,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,13264,Andre Holmes,BUF,WR,5,TEN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,15268,Nick Williams,TEN,WR,5,BUF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,20250,Robert Foster,BUF,WR,5,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,18116,Cody Core,CIN,WR,5,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,19006,Josh Malone,CIN,WR,5,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,19212,Tim White,BAL,WR,5,CLE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115,16456,TJ Jones,DET,WR,5,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,19491,Robert Tonyan Jr.,GB,WR,5,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,19935,J'mon Moore,GB,WR,5,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,18047,Demarcus Robinson,KC,WR,5,JAX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,18673,Jaydon Mickens,JAX,WR,5,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,19361,Marcus Kemp,KC,WR,5,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,16063,Quincy Enunwa,NYJ,WR,5,DEN,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,14978,Justin Hunter,PIT,WR,5,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,16868,Justin Hardy,ATL,WR,5,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,19865,James Washington,PIT,WR,5,ATL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,20006,Russell Gage,ATL,WR,5,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,12830,Torrey Smith,CAR,WR,5,NYG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
