Name,Team,year,Week,home,away,Opponent
Jordan Taylor,DEN,2018,9,DEN,HOU,HOU
Tim Patrick,DEN,2018,9,DEN,HOU,HOU
DaeSean Hamilton,DEN,2018,9,DEN,HOU,HOU
Isaiah McKenzie,DEN,2018,9,DEN,HOU,HOU
Geremy Davis,LAC,2018,9,SEA,LAC,SEA
Artavis Scott,LAC,2018,9,SEA,LAC,SEA
JoJo Natson Jr.,LAR,2018,9,NO,LAR,NO
Nick Williams,LAR,2018,9,NO,LAR,NO
KhaDarel Hodge,LAR,2018,9,NO,LAR,NO
Austin Carr,NO,2018,9,NO,LAR,LAR
Ted Ginn Jr.,NO,2018,9,NO,LAR,LAR
