Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
194,16326,Seth Roberts,OAK,WR,1,LAR,2,1,50,11,0,11,5.5,11,0,0,0,0,0,0,2.1,2.1
197,17218,Deandre Carter,PHI,WR,1,ATL,1,1,100,10,0,10,10,10,0,0,0,0,0,0,2,2
197,16550,Kelvin Benjamin,BUF,WR,1,BAL,7,1,14.3,10,0,10,1.4,10,0,0,0,0,0,0,2,2
199,19867,Michael Gallup,DAL,WR,1,CAR,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1.9,1.9
199,19800,Courtland Sutton,DEN,WR,2,OAK,6,1,16.7,9,0,9,1.5,9,0,0,0,0,0,0,1.9,1.9
199,16253,Allen Hurns,DAL,WR,2,NYG,2,1,50,9,0,9,4.5,9,0,0,0,0,0,0,1.9,1.9
202,17290,Adam Humphries,TB,WR,2,PHI,2,1,50,8,0,8,4,8,0,0,0,0,0,0,1.8,1.8
203,15509,Jaron Brown,SEA,WR,1,DEN,3,1,33.3,7,0,7,2.3,7,0,0,0,0,0,0,1.7,1.7
204,14978,Justin Hunter,PIT,WR,1,CLE,5,1,20,6,0,6,1.2,6,0,0,0,0,0,0,1.6,1.6
204,15088,Terrance Williams,DAL,WR,1,CAR,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
204,16456,TJ Jones,DET,WR,1,NYJ,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.6,1.6
204,14795,Josh Bellamy,CHI,WR,2,SEA,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
208,18030,Chris Moore,BAL,WR,1,BUF,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
208,18881,John Ross,CIN,WR,2,BAL,4,1,25,8,0,8,2,8,1,-3,-3,0,0,0,1.5,1.5
208,19867,Michael Gallup,DAL,WR,2,NYG,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,1.5,1.5
211,19815,Christian Kirk,ARI,WR,1,WAS,2,1,50,4,0,4,2,4,0,0,0,0,0,0,1.4,1.4
212,19976,Marquez Valdes-Scantling,GB,WR,2,MIN,1,1,100,3,0,3,3,3,0,0,0,0,0,0,1.3,1.3
212,19816,D.J. Chark,JAX,WR,2,NE,4,1,25,13,0,13,3.2,13,0,0,0,0,1,1,1.3,1.3
214,14749,Jermaine Kearse,NYJ,WR,2,MIA,2,1,50,-1,0,-1,-0.5,-1,0,0,0,0,0,0,0.9,0.9
215,19008,Ryan Switzer,PIT,WR,1,CLE,1,0,0,0,0,0,0,0,1,8,8,0,0,0,0.8,0.8
216,19844,D.J. Moore,CAR,WR,1,DAL,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0.3,0.3
217,15215,Tavon Austin,DAL,WR,1,CAR,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.1,0.1
218,8529,Mike Wallace,PHI,WR,1,ATL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,14973,Markus Wheaton,PHI,WR,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,16868,Justin Hardy,ATL,WR,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18717,Marvin Hall,ATL,WR,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19060,Shelton Gibson,PHI,WR,1,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19140,Deante Burton,ATL,WR,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19802,Calvin Ridley,ATL,WR,1,PHI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20006,Russell Gage,ATL,WR,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,8771,Darrius Heyward-Bey,PIT,WR,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19865,James Washington,PIT,WR,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19917,Antonio Callaway,CLE,WR,1,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20477,Derrick Willies,CLE,WR,1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18197,Alex Erickson,CIN,WR,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19006,Josh Malone,CIN,WR,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,13788,Rishard Matthews,TEN,WR,1,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18602,Tanner McEvoy,MIA,WR,1,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18971,Taywan Taylor,TEN,WR,1,MIA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,14865,Marquise Goodwin,SF,WR,1,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19100,Stacy Coley,MIN,WR,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19318,Kendrick Bourne,SF,WR,1,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19779,Brandon Zylstra,MIN,WR,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,7651,Matthew Slater,NE,WR,1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,16848,Sammie Coates,HOU,WR,1,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20295,Vyncint Smith,HOU,WR,1,NE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,16529,Freddie Martino,TB,WR,1,NO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18401,Tommylee Lewis,NO,WR,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19897,Tre'Quan Smith,NO,WR,1,TB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19501,Justin Hardee,NO,WR,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,14850,Russell Shepard,NYG,WR,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,16278,Cody Latimer,NYG,WR,1,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,18673,Jaydon Mickens,JAX,WR,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19816,D.J. Chark,JAX,WR,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20250,Robert Foster,BUF,WR,1,BAL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,20585,Janarion Grant,BAL,WR,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218,18047,Demarcus Robinson,KC,WR,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19361,Marcus Kemp,KC,WR,1,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,13460,Doug Baldwin,SEA,WR,1,DEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19120,David Moore,SEA,WR,1,DEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,19207,Tim Patrick,DEN,WR,1,SEA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
