Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,19802,Calvin Ridley,ATL,WR,3,NO,8,7,87.5,146,3,75,18.2,20.9,1,9,9,0,0,0,43.5,43.5
2,18882,Cooper Kupp,LAR,WR,4,MIN,11,9,81.8,162,2,70,14.7,18,0,0,0,0,0,0,40.2,40.2
3,14871,Robert Woods,LAR,WR,3,LAC,11,10,90.9,104,2,22,9.5,10.4,3,13,4.3,0,0,0,36.7,36.7
4,4556,Jordy Nelson,OAK,WR,3,MIA,8,6,75,173,1,66,21.6,28.8,0,0,0,0,1,0,32.3,32.3
5,15534,Adam Thielen,MIN,WR,4,LAR,12,8,66.7,135,1,45,11.2,16.9,0,0,0,0,0,0,30.5,30.5
6,17986,Tyler Boyd,CIN,WR,3,CAR,7,6,85.7,132,1,49,18.9,22,1,5,5,0,0,0,28.7,28.7
6,16597,Mike Evans,TB,WR,3,PIT,11,6,54.5,137,1,51,12.5,22.8,0,0,0,0,0,0,28.7,28.7
8,16568,Brandin Cooks,LAR,WR,4,MIN,8,7,87.5,116,1,47,14.5,16.6,1,10,10,0,1,0,28.6,28.6
9,15534,Adam Thielen,MIN,WR,3,BUF,19,14,73.7,105,0,19,5.5,7.5,0,0,0,0,0,0,27.5,27.5
10,16906,Stefon Diggs,MIN,WR,4,LAR,15,11,73.3,123,0,34,8.2,11.2,0,0,0,0,0,0,26.3,26.3
11,17960,Michael Thomas,NO,WR,3,ATL,10,10,100,129,0,35,12.9,12.9,0,0,0,0,0,0,25.9,25.9
12,18914,Mike Williams,LAC,WR,3,LAR,7,4,57.1,81,2,42,11.6,20.2,0,0,0,0,0,0,24.1,24.1
12,17916,Will Fuller,HOU,WR,3,NYG,11,5,45.5,101,1,37,9.2,20.2,0,0,0,0,0,0,24.1,24.1
12,14871,Robert Woods,LAR,WR,4,MIN,5,5,100,101,1,36,20.2,20.2,0,0,0,0,0,0,24.1,24.1
15,18883,Juju Smith-Schuster,PIT,WR,3,TB,11,9,81.8,116,0,43,10.5,12.9,0,0,0,0,0,0,23.6,23.6
16,16020,Jarvis Landry,CLE,WR,3,NYJ,15,8,53.3,103,0,29,6.9,12.9,0,0,0,0,0,0,23.3,23.3
17,16389,Odell Beckham Jr,NYG,WR,3,HOU,10,9,90,109,0,30,10.9,12.1,1,0,0,0,0,0,22.9,22.9
