PassingAttempts,PassingRating,PlayerID,comp,comp%,def_rk,int,points,ru_att,ru_td,ru_yds,ru_yds/att,salary,td,yds,yds/att,h/a_encoded,surface_encoded,passingattempts_car,passingrating_car,playerid_car,comp_car,comp%_car,def_rk_car,int_car,points_car,ru_att_car,ru_td_car,ru_yds_car,ru_yds/att_car,salary_car,td_car,yds_car,yds/att_car,h/a_encoded_car,surface_encoded_car,year
27,107.79,2428,18,66.7,7,1,17.6,0,0,0,0.0,5100,2,265,9.8,1,0,35.07,118.82,2589.87,22.73,70.57,18.6,0.67,23.96,1.73,0.07,1.53,0.37,6546.67,2.47,313.53,9.82,0.47,0.2,2015
25,60.25,2428,12,48.0,2,1,8.16,0,0,0,0.0,5500,1,129,5.2,1,0,34.44,115.16,2579.75,22.06,69.16,17.56,0.69,22.97,1.62,0.06,1.44,0.34,6481.25,2.38,302.0,9.53,0.5,0.19,2015
0,0.0,15694,0,0.0,25,0,0.0,0,0,0,0.0,5300,0,0,0.0,0,0,0.0,0.0,15694.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5300.0,0.0,0.0,0.0,0.0,0.0,2015
26,75.16,15694,12,46.2,19,0,7.44,2,0,0,0.0,5900,1,136,5.2,0,0,13.0,37.58,15694.0,6.0,23.1,22.0,0.0,3.72,1.0,0.0,0.0,0.0,5600.0,0.5,68.0,2.6,0.0,0.0,2015
22,59.66,15694,14,63.6,23,1,4.16,2,0,2,1.0,6300,0,124,5.6,0,1,16.0,44.94,15694.0,8.67,36.6,22.33,0.33,3.87,1.33,0.0,0.67,0.33,5833.33,0.33,86.67,3.6,0.0,0.33,2015
17,157.97,15694,14,82.4,22,0,17.06,3,0,-3,-1.0,5000,2,234,13.8,0,0,16.25,73.2,15694.0,10.0,48.05,22.25,0.25,7.16,1.75,0.0,-0.25,0.0,5625.0,0.75,123.5,6.15,0.0,0.25,2015
23,85.96,15694,14,60.9,2,0,8.52,4,0,4,1.0,7200,1,103,4.5,0,1,17.6,75.75,15694.0,10.8,50.62,18.2,0.2,7.44,2.2,0.0,0.6,0.2,5940.0,0.8,119.4,5.82,0.0,0.4,2015
37,77.65,15694,22,59.5,16,0,9.44,1,0,2,2.0,5100,0,231,6.2,0,0,20.83,76.07,15694.0,12.67,52.1,17.83,0.17,7.77,2.0,0.0,0.83,0.5,5800.0,0.67,138.0,5.88,0.0,0.33,2015
8,70.31,12137,4,50.0,24,0,2.04,0,0,0,0.0,5100,0,51,6.4,0,0,8.0,70.31,12137.0,4.0,50.0,24.0,0.0,2.04,0.0,0.0,0.0,0.0,5100.0,0.0,51.0,6.4,0.0,0.0,2015
2,70.83,12137,1,50.0,4,0,0.52,0,0,0,0.0,5100,0,13,6.5,1,1,5.0,70.57,12137.0,2.5,50.0,14.0,0.0,1.28,0.0,0.0,0.0,0.0,5100.0,0.0,32.0,6.45,0.5,0.5,2015
14,78.87,12137,9,64.3,18,0,3.02,1,0,-1,-1.0,5000,0,78,5.6,0,0,8.0,73.34,12137.0,4.67,54.77,15.33,0.0,1.86,0.33,0.0,-0.33,-0.33,5066.67,0.0,47.33,6.17,0.33,0.33,2015
2,79.17,9902,2,100.0,23,0,0.16,0,0,0,0.0,5000,0,4,2.0,1,0,2.0,79.17,9902.0,2.0,100.0,23.0,0.0,0.16,0.0,0.0,0.0,0.0,5000.0,0.0,4.0,2.0,1.0,0.0,2015
26,83.01,13443,17,65.4,11,0,10.7,7,0,41,5.9,7400,0,165,6.3,0,1,26.0,83.01,13443.0,17.0,65.4,11.0,0.0,10.7,7.0,0.0,41.0,5.9,7400.0,0.0,165.0,6.3,0.0,1.0,2015
