,Name,Week,Opponent,tar_car,rec_car,yds_car,td_car,fum_car,def_rk_car
65,Antonio Gates,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,Antonio Gates,5.0,PIT,11.0,9.0,92.0,2.0,0.0,25.0
67,Antonio Gates,6.0,GB,13.5,9.0,93.5,1.0,0.0,19.5
68,Antonio Gates,8.0,BAL,10.67,7.33,81.0,0.67,0.0,14.33
69,Antonio Gates,9.0,CHI,10.75,7.0,78.0,0.5,0.0,14.0
70,Antonio Gates,11.0,KC,9.2,5.8,63.6,0.4,0.0,11.6
71,Antonio Gates,12.0,JAX,8.67,5.5,61.83,0.67,0.0,14.33
72,Antonio Gates,13.0,DEN,8.71,5.57,60.14,0.57,0.0,15.0
73,Antonio Gates,14.0,KC,8.62,5.62,62.12,0.5,0.0,13.38
74,Antonio Gates,15.0,MIA,8.67,5.67,65.0,0.44,0.0,12.67
75,Antonio Gates,16.0,OAK,8.0,5.3,59.6,0.4,0.0,14.4
76,Antonio Gates,17.0,DEN,7.73,5.09,57.27,0.45,0.0,14.82
77,Antonio Gates,1.0,KC,4.5,3.0,27.0,0.5,0.0,12.0
78,Antonio Gates,2.0,JAX,4.67,3.0,23.0,0.67,0.0,13.33
79,Antonio Gates,5.0,OAK,4.75,3.25,24.75,0.75,0.25,16.0
80,Antonio Gates,6.0,DEN,5.0,3.0,23.0,0.6,0.2,16.6
81,Antonio Gates,7.0,ATL,5.83,3.33,25.5,0.5,0.17,18.17
82,Antonio Gates,8.0,DEN,6.29,3.43,26.57,0.57,0.14,18.29
83,Antonio Gates,9.0,TEN,6.62,3.62,32.62,0.62,0.12,17.88
84,Antonio Gates,10.0,MIA,6.89,3.67,36.0,0.67,0.11,18.67
85,Antonio Gates,13.0,TB,6.6,3.7,36.1,0.6,0.1,18.2
86,Antonio Gates,14.0,CAR,6.82,3.82,38.36,0.55,0.09,19.09
87,Antonio Gates,15.0,OAK,6.42,3.58,36.08,0.5,0.08,19.5
88,Antonio Gates,16.0,CLE,6.92,3.92,40.54,0.54,0.08,20.38
89,Antonio Gates,17.0,KC,7.0,4.0,41.57,0.57,0.07,19.29
90,Antonio Gates,1.0,DEN,5.5,3.5,36.0,0.5,0.0,17.0
91,Antonio Gates,2.0,MIA,5.0,3.0,27.67,0.67,0.0,22.0
92,Antonio Gates,3.0,KC,5.0,2.75,28.25,0.5,0.0,18.25
93,Antonio Gates,4.0,PHI,5.0,2.8,26.2,0.4,0.0,17.4
94,Antonio Gates,5.0,NYG,4.67,2.67,25.67,0.33,0.0,19.67
95,Antonio Gates,6.0,OAK,4.14,2.43,24.29,0.29,0.0,20.57
96,Antonio Gates,7.0,DEN,3.75,2.25,21.75,0.25,0.0,21.62
97,Antonio Gates,8.0,NE,3.56,2.22,22.11,0.22,0.0,20.33
98,Antonio Gates,10.0,JAX,3.4,2.1,20.2,0.2,0.0,19.4
99,Antonio Gates,11.0,BUF,3.27,1.91,18.36,0.18,0.0,19.91
100,Antonio Gates,12.0,DAL,3.17,1.75,16.83,0.17,0.0,20.0
101,Antonio Gates,13.0,CLE,3.23,1.85,18.0,0.15,0.0,20.77
102,Antonio Gates,14.0,WAS,3.07,1.71,16.71,0.14,0.0,21.29
103,Antonio Gates,15.0,KC,3.07,1.67,16.27,0.2,0.0,20.33
104,Antonio Gates,16.0,NYJ,3.38,1.94,20.31,0.25,0.0,20.44
105,Antonio Gates,17.0,OAK,3.53,2.06,21.82,0.24,0.0,20.76
106,Antonio Gates,1.0,KC,4.5,3.0,31.0,0.0,0.0,28.0
107,Antonio Gates,2.0,BUF,3.33,2.0,20.67,0.0,0.0,26.0
108,Antonio Gates,3.0,LAR,3.75,2.25,26.75,0.0,0.0,25.25
109,Antony Auclair,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
110,Antony Auclair,13.0,GB,1.0,1.0,11.0,0.0,0.0,5.0
111,Antony Auclair,15.0,ATL,1.0,1.0,12.5,0.0,0.0,9.0
112,Asante Cleveland,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
113,Austin Hooper,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
114,Austin Hooper,1.0,TB,1.0,1.0,14.0,0.0,0.0,14.0
115,Austin Hooper,2.0,OAK,2.0,2.0,49.0,0.0,0.0,19.0
116,Austin Hooper,4.0,CAR,1.67,1.67,46.67,0.33,0.0,22.0
117,Austin Hooper,5.0,DEN,1.5,1.5,38.5,0.25,0.0,21.25
118,Austin Hooper,8.0,GB,2.2,2.2,39.0,0.2,0.0,21.2
119,Austin Hooper,9.0,TB,2.83,2.33,40.17,0.33,0.0,20.0
120,Austin Hooper,10.0,PHI,2.86,2.14,35.57,0.29,0.0,17.43
121,Austin Hooper,12.0,ARI,2.75,2.12,32.12,0.25,0.0,15.38
122,Austin Hooper,13.0,KC,2.56,1.89,28.56,0.22,0.0,14.22
123,Austin Hooper,14.0,LAR,2.6,1.8,26.2,0.2,0.0,13.5
124,Austin Hooper,15.0,SF,2.45,1.73,24.64,0.27,0.0,13.91
125,Austin Hooper,1.0,CHI,1.5,1.5,68.5,1.0,0.0,15.0
126,Austin Hooper,2.0,GB,1.67,1.67,48.0,0.67,0.0,11.67
127,Austin Hooper,3.0,DET,1.75,1.5,38.25,0.5,0.0,12.75
128,Austin Hooper,4.0,BUF,2.8,2.2,40.6,0.4,0.0,15.2
129,Austin Hooper,6.0,MIA,3.83,3.0,41.83,0.33,0.0,18.0
130,Austin Hooper,7.0,NE,3.43,2.71,36.71,0.29,0.0,16.86
131,Austin Hooper,8.0,NYJ,3.75,2.88,38.0,0.38,0.0,17.5
132,Austin Hooper,9.0,CAR,4.0,2.89,37.78,0.33,0.0,16.22
133,Austin Hooper,10.0,DAL,4.2,3.2,38.9,0.4,0.0,16.7
134,Austin Hooper,11.0,SEA,4.0,3.09,35.27,0.36,0.0,16.0
135,Austin Hooper,12.0,TB,4.08,3.08,35.5,0.33,0.0,14.92
136,Austin Hooper,13.0,MIN,4.08,3.08,34.38,0.31,0.0,13.85
137,Austin Hooper,14.0,NO,4.07,3.0,33.57,0.29,0.0,13.0
138,Austin Hooper,15.0,TB,3.93,2.93,32.13,0.27,0.0,12.33
139,Austin Hooper,16.0,NO,3.94,2.94,31.25,0.25,0.0,11.69
140,Austin Hooper,17.0,CAR,3.88,2.94,31.47,0.24,0.0,11.35
141,Austin Hooper,1.0,PHI,3.5,3.0,29.5,0.0,0.0,11.0
142,Austin Hooper,2.0,CAR,4.0,3.67,39.33,0.33,0.0,16.0
143,Austin Hooper,3.0,NO,4.0,3.5,35.25,0.25,0.0,14.25
144,Austin Seferian-Jenkins,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
145,Austin Seferian-Jenkins,1.0,TEN,7.0,5.0,110.0,2.0,0.0,24.0
146,Austin Seferian-Jenkins,2.0,NO,5.0,3.5,69.5,1.0,0.0,28.0
147,Austin Seferian-Jenkins,13.0,ATL,5.33,3.33,56.67,0.67,0.0,28.33
148,Austin Seferian-Jenkins,14.0,NO,5.5,3.25,50.25,0.5,0.0,29.25
149,Austin Seferian-Jenkins,15.0,LAR,5.6,3.2,46.0,0.6,0.0,28.6
150,Austin Seferian-Jenkins,16.0,CHI,5.33,3.0,48.33,0.67,0.0,26.0
151,Austin Seferian-Jenkins,17.0,CAR,5.57,3.0,48.29,0.57,0.0,24.0
152,Austin Seferian-Jenkins,1.0,ATL,4.0,2.0,39.0,0.5,0.0,19.0
153,Austin Seferian-Jenkins,2.0,ARI,3.33,2.0,30.67,0.33,0.0,13.0
154,Austin Seferian-Jenkins,5.0,PIT,3.0,2.0,27.25,0.25,0.0,14.0
155,Austin Seferian-Jenkins,9.0,MIA,2.6,1.6,21.8,0.2,0.0,16.2
156,Austin Seferian-Jenkins,12.0,NE,2.5,1.5,19.67,0.17,0.0,14.83
157,Austin Seferian-Jenkins,13.0,IND,2.86,1.57,21.0,0.14,0.0,16.0
158,Austin Seferian-Jenkins,14.0,SF,2.88,1.75,22.75,0.12,0.0,16.25
159,Austin Seferian-Jenkins,15.0,MIA,2.78,1.67,20.56,0.11,0.0,17.22
160,Austin Seferian-Jenkins,16.0,NE,2.7,1.6,20.2,0.1,0.0,16.3
161,Austin Seferian-Jenkins,3.0,MIA,4.0,3.0,24.0,0.0,0.0,20.0
162,Austin Seferian-Jenkins,4.0,JAX,4.0,3.33,31.33,0.0,0.0,17.0
163,Austin Seferian-Jenkins,5.0,CLE,5.0,4.0,30.75,0.25,0.0,20.25
164,Austin Seferian-Jenkins,6.0,NE,6.2,4.8,33.8,0.4,0.2,18.2
165,Austin Seferian-Jenkins,7.0,MIA,6.0,4.5,31.67,0.5,0.17,20.5
166,Austin Seferian-Jenkins,8.0,ATL,5.86,4.57,31.14,0.43,0.14,19.43
167,Austin Seferian-Jenkins,9.0,BUF,5.38,4.25,29.75,0.38,0.12,20.12
168,Austin Seferian-Jenkins,10.0,TB,5.78,4.44,33.89,0.33,0.11,18.22
169,Austin Seferian-Jenkins,12.0,CAR,5.9,4.2,33.2,0.3,0.1,17.0
170,Austin Seferian-Jenkins,13.0,KC,5.64,4.0,30.82,0.27,0.09,16.09
171,Austin Seferian-Jenkins,14.0,DEN,5.5,3.75,28.33,0.25,0.08,17.17
172,Austin Seferian-Jenkins,15.0,NO,5.23,3.62,27.15,0.23,0.08,16.0
173,Austin Seferian-Jenkins,16.0,LAC,5.43,3.64,26.71,0.21,0.07,15.43
174,Austin Seferian-Jenkins,1.0,NYG,6.5,3.5,23.0,0.0,0.0,7.5
175,Austin Seferian-Jenkins,2.0,NE,6.0,3.33,23.0,0.33,0.0,8.33
176,Austin Seferian-Jenkins,3.0,TEN,5.75,3.25,21.75,0.25,0.0,6.5
177,Austin Traylor,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
178,Austin Traylor,11.0,CIN,5.0,4.0,36.0,0.0,0.0,23.0
179,Austin Traylor,12.0,OAK,4.5,2.5,35.0,0.0,0.0,24.5
180,Austin Traylor,13.0,MIA,3.67,2.33,28.67,0.0,0.0,27.0
181,Ben Braunecker,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
182,Ben Braunecker,8.0,MIN,1.0,1.0,8.0,0.0,0.0,11.0
183,Ben Braunecker,12.0,TEN,1.5,1.0,11.0,0.0,0.0,13.0
184,Ben Koyack,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
185,Ben Koyack,8.0,TEN,5.0,5.0,41.0,0.0,0.0,15.0
186,Ben Koyack,10.0,HOU,4.0,4.0,38.0,0.0,0.0,9.0
187,Ben Koyack,11.0,DET,3.0,2.67,25.33,0.0,0.0,15.0
188,Ben Koyack,12.0,BUF,2.75,2.5,24.75,0.0,0.0,12.75
189,Ben Koyack,13.0,DEN,2.8,2.2,20.6,0.0,0.0,14.0
190,Ben Koyack,14.0,MIN,2.67,2.17,20.33,0.0,0.0,13.5
191,Ben Koyack,15.0,HOU,2.57,2.0,17.71,0.0,0.0,12.0
192,Ben Koyack,16.0,TEN,2.5,2.0,17.0,0.0,0.0,12.38
193,Ben Koyack,17.0,IND,2.67,2.11,17.89,0.11,0.0,13.56
194,Ben Koyack,2.0,TEN,2.5,1.5,12.5,0.5,0.0,21.0
195,Ben Koyack,6.0,LAR,2.0,1.33,15.33,0.33,0.0,20.67
196,Ben Koyack,7.0,IND,1.75,1.25,13.25,0.25,0.0,20.0
197,Ben Koyack,10.0,LAC,1.6,1.0,10.6,0.2,0.0,17.6
198,Ben Koyack,15.0,HOU,1.5,1.0,8.83,0.17,0.0,19.17
199,Benjamin Watson,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
200,Benjamin Watson,1.0,ARI,5.0,3.0,19.0,0.0,0.0,20.0
201,Benjamin Watson,2.0,TB,4.5,2.5,15.5,0.0,0.0,20.5
202,Benjamin Watson,3.0,CAR,4.33,3.0,24.33,0.0,0.33,17.67
203,Benjamin Watson,4.0,DAL,4.0,3.0,25.75,0.0,0.25,13.5
204,Benjamin Watson,5.0,PHI,4.2,3.0,27.8,0.2,0.2,13.0
205,Benjamin Watson,6.0,ATL,5.5,4.17,44.33,0.33,0.17,15.67
206,Benjamin Watson,7.0,IND,5.43,4.14,46.43,0.29,0.14,16.71
207,Benjamin Watson,8.0,NYG,6.0,4.75,59.0,0.38,0.12,18.5
208,Benjamin Watson,9.0,TEN,5.89,4.78,59.11,0.33,0.11,19.11
209,Benjamin Watson,10.0,WAS,5.8,4.6,55.1,0.3,0.1,18.8
210,Benjamin Watson,12.0,HOU,6.09,4.55,54.91,0.27,0.09,18.0
211,Benjamin Watson,13.0,CAR,6.25,4.5,53.5,0.33,0.08,17.5
212,Benjamin Watson,14.0,TB,6.62,4.69,54.77,0.31,0.08,17.77
213,Benjamin Watson,15.0,DET,7.0,4.79,54.36,0.36,0.07,18.43
214,Benjamin Watson,16.0,JAX,6.67,4.53,51.07,0.33,0.07,19.07
215,Benjamin Watson,17.0,ATL,6.88,4.62,51.56,0.38,0.06,19.69
216,Benjamin Watson,1.0,CIN,1.0,0.0,0.0,0.0,0.0,23.0
217,Benjamin Watson,2.0,CLE,4.5,4.0,45.5,0.0,0.0,26.5
218,Benjamin Watson,3.0,JAX,4.0,3.67,34.33,0.33,0.0,21.33
219,Benjamin Watson,4.0,PIT,4.5,4.0,36.5,0.25,0.0,17.0
220,Benjamin Watson,5.0,OAK,4.4,3.6,29.6,0.2,0.0,18.8
221,Benjamin Watson,6.0,CHI,5.0,4.0,29.33,0.17,0.0,17.67
222,Benjamin Watson,7.0,MIN,5.0,4.14,30.57,0.14,0.0,15.29
223,Benjamin Watson,8.0,MIA,4.88,3.88,27.5,0.25,0.0,17.38
224,Benjamin Watson,9.0,TEN,5.44,4.22,29.0,0.22,0.0,17.56
225,Benjamin Watson,11.0,GB,5.0,3.9,29.4,0.2,0.0,16.3
226,Benjamin Watson,12.0,HOU,4.82,3.82,29.36,0.18,0.0,17.27
227,Benjamin Watson,13.0,DET,4.83,3.75,28.92,0.25,0.0,17.17
228,Benjamin Watson,14.0,PIT,4.54,3.46,26.69,0.23,0.0,16.15
229,Benjamin Watson,15.0,CLE,4.5,3.5,30.07,0.29,0.0,17.14
230,Benjamin Watson,16.0,IND,4.6,3.6,30.73,0.27,0.0,17.2
231,Benjamin Watson,17.0,CIN,4.94,3.81,32.62,0.25,0.0,17.56
232,Benjamin Watson,1.0,TB,7.0,5.5,52.5,0.0,0.0,27.5
233,Benjamin Watson,2.0,CLE,6.33,4.67,41.33,0.0,0.0,19.67
234,Benjamin Watson,3.0,ATL,6.25,4.75,48.75,0.0,0.0,17.75
235,Blake Bell,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
236,Blake Bell,2.0,PIT,3.0,1.0,11.0,0.0,0.0,25.0
237,Blake Bell,3.0,ARI,2.0,1.0,5.5,0.0,0.0,22.5
238,Blake Bell,5.0,NYG,1.67,1.0,5.67,0.0,0.0,25.33
239,Blake Bell,12.0,ARI,2.0,1.5,21.0,0.0,0.0,24.0
240,Blake Bell,13.0,CHI,2.2,1.4,17.8,0.0,0.0,21.8
241,Blake Bell,14.0,CLE,2.33,1.67,23.0,0.0,0.0,19.17
242,Blake Bell,15.0,CIN,3.14,2.0,25.86,0.0,0.0,18.86
243,Blake Bell,16.0,DET,2.88,1.75,22.62,0.0,0.0,19.88
244,Blake Bell,17.0,LAR,2.78,1.67,20.67,0.0,0.0,20.56
245,Blake Bell,2.0,CAR,2.0,1.0,5.5,0.0,0.0,27.0
246,Blake Bell,3.0,SEA,1.67,0.67,3.67,0.0,0.0,19.33
247,Blake Bell,5.0,ARI,1.75,0.75,3.75,0.0,0.0,14.75
248,Blake Bell,12.0,MIA,1.6,0.6,3.0,0.0,0.0,16.8
249,Blake Bell,14.0,NYJ,1.67,0.67,7.5,0.0,0.0,17.67
250,Blake Bell,15.0,ATL,1.57,0.71,12.86,0.0,0.0,18.86
251,Blake Bell,2.0,PIT,1.0,0.5,22.5,0.0,0.0,15.0
252,Blake Bell,4.0,DET,1.0,0.67,19.0,0.0,0.0,15.33
253,Blake Jarwin,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
254,Blake Jarwin,1.0,CAR,1.0,0.0,0.0,0.0,0.0,26.0
255,Braedon Bowman,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
256,Brandon Bostick,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
257,Brandon Bostick,2.0,BUF,1.0,0.0,0.0,0.0,0.0,6.0
258,Brandon Bostick,5.0,PIT,1.0,0.5,4.5,0.0,0.0,11.5
259,Brandon Bostick,7.0,BAL,1.0,0.33,3.0,0.0,0.0,11.0
260,Brandon Bostick,8.0,CLE,1.0,0.5,3.25,0.0,0.0,16.0
261,Brandon Bostick,12.0,NE,1.2,0.8,5.4,0.0,0.0,14.4
262,Brandon Bostick,13.0,IND,1.17,0.83,6.5,0.0,0.0,15.83
263,Brandon Bostick,14.0,SF,1.29,1.0,8.0,0.0,0.0,16.14
264,Brandon Bostick,16.0,NE,1.25,0.88,7.0,0.0,0.0,15.12
265,Brandon Myers,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
266,Brandon Myers,3.0,HOU,4.0,3.0,18.0,0.0,0.0,10.0
267,Brandon Myers,4.0,CAR,3.5,2.0,13.0,0.0,0.0,11.0
268,Brandon Myers,5.0,JAX,3.0,2.0,20.0,0.0,0.0,16.67
269,Brandon Myers,7.0,WAS,2.5,1.5,15.0,0.0,0.0,16.5
270,Brandon Myers,8.0,ATL,2.6,1.8,18.4,0.0,0.0,19.0
271,Brandon Myers,10.0,DAL,2.83,2.0,21.17,0.0,0.0,16.0
272,Brandon Myers,1.0,ATL,2.5,2.0,19.5,0.5,0.0,13.5
273,Brandon Myers,3.0,LAR,2.67,1.67,15.33,0.33,0.0,11.33
274,Brandon Myers,5.0,CAR,2.25,1.5,14.5,0.25,0.0,15.5
275,Brandon Myers,10.0,CHI,2.0,1.4,12.8,0.2,0.0,14.2
276,Brandon Myers,13.0,LAC,1.83,1.17,10.67,0.17,0.0,13.83
277,Brandon Myers,14.0,NO,1.71,1.14,10.43,0.14,0.0,13.71
278,Brandon Pettigrew,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
279,Brandon Pettigrew,1.0,LAC,1.0,0.0,0.0,0.0,0.0,18.0
280,Brandon Pettigrew,5.0,ARI,3.0,1.5,14.5,0.0,0.0,19.0
281,Brandon Pettigrew,8.0,KC,2.33,1.0,9.67,0.0,0.0,13.33
282,Brandon Pettigrew,10.0,GB,2.75,1.0,7.75,0.25,0.0,13.5
283,Brandon Pettigrew,11.0,OAK,2.4,1.0,7.8,0.2,0.0,16.8
284,Brandon Pettigrew,12.0,PHI,2.33,1.0,10.0,0.17,0.0,15.83
