Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
265,Tyler Ervin,HOU,RB,1,0,0,0,0,0,1,12,0,0,0,0,0,2.2,2.2
265,Jonnu Smith,TEN,TE,1,0,0,0,0,0,1,12,0,0,0,0,0,2.2,2.2
268,Nick Chubb,CLE,RB,1,0,0,0,21,0,0,0,0,0,0,0,0,2.1,2.1
268,Chris Hogan,NE,WR,1,0,0,0,0,0,1,11,0,0,0,0,0,2.1,2.1
268,Josh Doctson,WAS,WR,1,0,0,0,0,0,1,11,0,0,0,0,0,2.1,2.1
268,Nick Vannett,SEA,TE,1,0,0,0,0,0,1,11,0,0,0,0,0,2.1,2.1
268,Mike Gesicki,MIA,TE,1,0,0,0,0,0,1,11,0,0,0,0,0,2.1,2.1
268,Seth Roberts,OAK,WR,1,0,0,0,0,0,1,11,0,0,0,0,0,2.1,2.1
274,Deandre Carter,PHI,WR,1,0,0,0,0,0,1,10,0,0,0,0,0,2,2
274,Kelvin Benjamin,BUF,WR,1,0,0,0,0,0,1,10,0,0,0,0,0,2,2
276,Vernon Davis,WAS,TE,1,0,0,0,0,0,1,9,0,0,0,0,0,1.9,1.9
276,Giovani Bernard,CIN,RB,1,0,0,0,-2,0,1,11,0,0,0,0,0,1.9,1.9
276,Tyler Kroft,CIN,TE,1,0,0,0,0,0,1,9,0,0,0,0,0,1.9,1.9
276,David Morgan,MIN,TE,1,0,0,0,0,0,1,9,0,0,0,0,0,1.9,1.9
276,Michael Gallup,DAL,WR,1,0,0,0,0,0,1,9,0,0,0,0,0,1.9,1.9
281,Jaron Brown,SEA,WR,1,0,0,0,0,0,1,7,0,0,0,0,0,1.7,1.7
281,Tre Madden,SEA,RB,1,0,0,0,0,0,1,7,0,0,0,0,0,1.7,1.7
281,Levine Toilolo,DET,TE,1,0,0,0,0,0,1,7,0,0,0,0,0,1.7,1.7
281,Eric Tomlinson,NYJ,TE,1,0,0,0,0,0,1,7,0,0,0,0,0,1.7,1.7
285,Justin Hunter,PIT,WR,1,0,0,0,0,0,1,6,0,0,0,0,0,1.6,1.6
285,Travis Kelce,KC,TE,1,0,0,0,0,0,1,6,0,0,0,0,0,1.6,1.6
285,Terrance Williams,DAL,WR,1,0,0,0,0,0,1,6,0,0,0,0,0,1.6,1.6
285,Tyler Conklin,MIN,TE,1,0,0,0,0,0,1,6,0,0,0,0,0,1.6,1.6
285,Michael Burton,CHI,FB,1,0,0,0,0,0,1,6,0,0,0,0,0,1.6,1.6
285,TJ Jones,DET,WR,1,0,0,0,0,0,1,6,0,0,0,0,0,1.6,1.6
291,Chris Moore,BAL,WR,1,0,0,0,0,0,1,5,0,0,0,0,0,1.5,1.5
291,Hakeem Valles,DET,TE,1,0,0,0,0,0,1,5,0,0,0,0,0,1.5,1.5
293,Dallas Goedert,PHI,TE,1,0,0,0,0,0,1,4,0,0,0,0,0,1.4,1.4
293,CJ Uzomah,CIN,TE,1,0,0,0,0,0,1,4,0,0,0,0,0,1.4,1.4
293,Christian Kirk,ARI,WR,1,0,0,0,0,0,1,4,0,0,0,0,0,1.4,1.4
296,Jacquizz Rodgers,TB,RB,1,0,0,0,1,0,1,2,0,0,0,0,0,1.3,1.3
297,Oakland Raiders,OAK,DST,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1
298,Christine Michael,IND,RB,1,0,0,0,9,0,0,0,0,0,0,0,0,0.9,0.9
299,Jonathan Stewart,NYG,RB,1,0,0,0,8,0,0,0,0,0,0,0,0,0.8,0.8
299,Ryan Switzer,PIT,WR,1,0,0,0,8,0,0,0,0,0,0,0,0,0.8,0.8
