PlayerID,Name,Team,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,def_rk,h/a,surface,year
16008,Orleans Darkwa,NYG,1,DAL,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,8,away,turf,2015
16031,Damien Williams,MIA,1,WAS,1,0,0.0,0,1,1,3,0,0,0,1.3,3000,27,away,grass,2015
16056,James White,NE,1,PIT,0,0,0.0,0,0,0,0,0,0,0,0.0,3500,23,away,grass,2015
16112,Jeremy Hill,CIN,1,OAK,19,63,3.3,2,0,0,0,0,0,0,18.3,3000,22,away,grass,2015
16120,Nikita Whitlock,NYG,1,DAL,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,8,away,turf,2015
16127,Isaiah Crowell,CLE,1,NYJ,12,20,1.7,0,2,2,13,0,0,0,5.3,3000,6,away,turf,2015
16142,Terrance West,TEN,1,TB,13,41,3.2,0,0,0,0,0,1,1,3.1,3500,21,away,grass,2015
16144,Dri Archer,PIT,1,NE,0,0,0.0,0,0,0,0,0,0,0,0.0,3800,13,away,turf,2015
16178,Bishop Sankey,TEN,1,TB,12,74,6.2,1,3,2,12,1,1,0,22.6,7100,21,away,grass,2015
16189,Alfred Blue,HOU,1,KC,9,42,4.7,0,2,1,7,0,0,0,5.9,3000,7,away,grass,2015
16210,Jay Prosch,HOU,1,KC,0,0,0.0,0,0,0,0,0,0,0,0.0,4600,7,away,grass,2015
16287,Juwan Thompson,DEN,1,BAL,0,0,0.0,0,0,0,0,0,0,0,0.0,3600,17,away,grass,2015
16307,Charcandrick West,KC,1,HOU,0,0,0.0,0,0,0,0,0,0,0,0.0,3300,3,away,turf,2015
16345,Branden Oliver,LAC,1,DET,2,4,2.0,0,1,1,17,0,0,0,3.1,3000,20,away,turf,2015
16378,Keith Smith,DAL,1,NYG,0,0,0.0,0,0,0,0,0,0,0,0.0,4300,31,away,turf,2015
16402,Andre Williams,NYG,1,DAL,6,14,2.3,0,0,0,0,0,0,0,1.4,3600,8,away,turf,2015
16510,Jerick McKinnon,MIN,1,SF,3,20,6.7,0,2,2,8,0,0,0,4.8,3000,25,away,grass,2015
16524,Devonta Freeman,ATL,1,PHI,10,18,1.8,0,4,3,29,0,0,0,7.7,3000,30,away,grass,2015
16534,Roosevelt Nix,PIT,1,NE,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,13,away,turf,2015
16609,Charles Sims,TB,1,TEN,5,12,2.4,0,5,2,23,0,0,0,5.5,3500,19,away,grass,2015
16668,Carlos Hyde,SF,1,MIN,26,168,6.5,2,2,2,14,0,0,0,35.2,3000,11,away,turf,2015
16776,Melvin Gordon,LAC,1,DET,14,51,3.6,0,3,3,16,0,1,1,8.7,3000,20,away,turf,2015
16797,TJ Yeldon,JAX,1,CAR,12,51,4.2,0,4,3,16,0,0,0,9.7,3300,10,away,grass,2015
16815,Ameer Abdullah,DET,1,LAC,7,50,7.1,1,4,4,44,0,1,0,19.4,4300,14,away,grass,2015
16834,Tevin Coleman,ATL,1,PHI,20,80,4.0,0,2,0,0,0,0,0,8.0,3800,30,away,grass,2015
16838,Duke Johnson,CLE,1,NYJ,7,22,3.1,0,0,0,0,0,0,0,2.2,5300,6,away,turf,2015
16847,David Johnson,ARI,1,NO,0,0,0.0,0,2,1,55,1,0,0,12.5,3000,32,away,turf,2015
16855,Ty Montgomery,GB,1,CHI,0,0,0.0,0,0,0,0,0,0,0,0.0,5500,15,away,grass,2015
16856,Matt Jones,WAS,1,MIA,6,28,4.7,0,0,0,0,0,0,0,2.8,5500,26,away,grass,2015
16867,Jeremy Langford,CHI,1,GB,1,1,1.0,0,0,0,0,0,0,0,0.1,4000,5,away,grass,2015
16869,Jalston Fowler,TEN,1,TB,0,0,0.0,0,0,0,0,0,0,0,0.0,4800,21,away,grass,2015
16886,Javorius Allen,BAL,1,DEN,9,30,3.3,0,1,1,4,0,0,0,4.4,3000,2,away,grass,2015
16915,Karlos Williams,BUF,1,IND,6,55,9.2,1,0,0,0,0,0,0,11.5,3800,28,away,turf,2015
16928,Michael Burton,DET,1,LAC,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,14,away,grass,2015
16934,Cameron Artis-Payne,CAR,1,JAX,0,0,0.0,0,0,0,0,0,0,0,0.0,3700,29,away,grass,2015
16955,Malcolm Johnson,CLE,1,NYJ,0,0,0.0,0,2,2,14,0,0,0,3.4,3000,6,away,turf,2015
16965,Josh Robinson,IND,1,BUF,4,11,2.8,0,1,0,0,0,0,0,1.1,3000,18,away,turf,2015
16966,Aaron Ripkowski,GB,1,CHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3500,15,away,grass,2015
16989,Marcus Murphy,NO,1,ARI,0,0,0.0,0,0,0,0,0,0,0,0.0,3200,4,away,grass,2015
17016,Terrence Magee,BAL,1,DEN,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,2,away,grass,2015
17023,Zach Zenner,DET,1,LAC,2,6,3.0,0,0,0,0,0,0,0,0.6,3000,14,away,grass,2015
17030,Tyler Varga,IND,1,BUF,1,2,2.0,0,1,1,18,0,0,0,3.0,3500,18,away,turf,2015
17050,Thomas Rawls,SEA,1,LAR,2,5,2.5,0,0,0,0,0,0,0,0.5,3000,16,away,grass,2015
17089,Terron Ward,ATL,1,PHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,30,away,grass,2015
17197,Corey Grant,JAX,1,CAR,0,0,0.0,0,1,1,5,0,0,0,1.5,3000,10,away,grass,2015
17254,Jarryd Hayne,SF,1,MIN,4,13,3.2,0,1,1,7,0,1,1,2.0,3000,11,away,turf,2015
733,Jerome Felton,BUF,2,NE,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,13,away,turf,2015
1589,John Kuhn,GB,2,SEA,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,1,away,turf,2015
2699,Matt Forte,CHI,2,ARI,15,61,4.1,0,5,4,44,0,0,0,14.5,3000,4,away,grass,2015
3382,Marcel Reece,OAK,2,BAL,0,0,0.0,0,2,1,16,0,0,0,2.6,3000,17,away,grass,2015
4738,Mike Tolbert,CAR,2,HOU,5,31,6.2,0,3,2,4,0,0,0,5.5,3000,3,away,turf,2015
4807,Adrian Peterson,MIN,2,DET,29,134,4.6,0,2,2,58,0,2,1,23.2,3000,20,away,turf,2015
5451,Jonathan Stewart,CAR,2,HOU,17,62,3.6,0,1,1,-3,0,0,0,6.9,null,3,away,turf,2015
5701,Fred Jackson,SEA,2,GB,0,0,0.0,0,2,2,16,1,1,1,8.6,7700,5,away,grass,2015
5820,Frank Gore,IND,2,NYJ,15,57,3.8,0,1,1,4,0,1,1,6.1,3400,6,away,turf,2015
6198,Darren Sproles,PHI,2,DAL,1,-4,-4.0,0,4,4,23,0,0,0,5.9,3800,8,away,turf,2015
6828,Chris Johnson,ARI,2,CHI,20,72,3.6,0,1,0,0,0,0,0,7.2,3000,15,away,grass,2015
7580,DeAngelo Williams,PIT,2,SF,20,77,3.8,3,5,4,15,0,0,0,31.2,7700,25,away,grass,2015
7969,Jamaal Charles,KC,2,DEN,21,125,6.0,1,5,4,2,0,2,2,23.7,5500,2,away,grass,2015
8066,Darren McFadden,DAL,2,PHI,10,31,3.1,0,2,2,21,0,0,0,7.2,3300,30,away,grass,2015
8649,Rashad Jennings,NYG,2,ATL,9,12,1.3,0,2,2,12,0,0,0,4.4,4800,12,away,turf,2015
9369,Justin Forsett,BAL,2,OAK,15,68,4.5,0,4,4,12,0,0,0,12.0,3500,22,away,grass,2015
10949,CJ Spiller,NO,2,TB,3,7,2.3,0,1,1,19,0,0,0,3.6,3800,21,away,grass,2015
11220,Dexter McCluster,TEN,2,CLE,10,98,9.8,0,4,4,26,0,0,0,16.4,5300,24,away,grass,2015
11256,Ryan Mathews,PHI,2,DAL,1,0,0.0,0,0,0,0,0,0,0,0.0,7600,8,away,turf,2015
11737,Cedric Peerman,CIN,2,LAC,0,0,0.0,0,0,0,0,0,0,0,0.0,4200,14,away,grass,2015
11932,LeSean McCoy,BUF,2,NE,15,89,5.9,0,4,3,27,0,0,0,14.6,3000,13,away,turf,2015
11969,Darrel Young,WAS,2,LAR,0,0,0.0,0,0,0,0,0,0,0,0.0,5000,16,away,grass,2015
12239,Chris Ivory,NYJ,2,IND,14,57,4.1,0,2,2,3,0,0,0,8.0,6200,28,away,turf,2015
12285,Anthony Dixon,BUF,2,NE,0,0,0.0,0,0,0,0,0,0,0,0.0,5000,13,away,turf,2015
12296,LeGarrette Blount,NE,2,BUF,2,4,2.0,0,0,0,0,0,0,0,0.4,3000,18,away,turf,2015
12317,Danny Woodhead,LAC,2,CIN,7,36,5.1,0,6,6,68,0,0,0,16.4,3600,9,away,turf,2015
12323,Joique Bell,DET,2,MIN,4,2,0.5,0,2,2,16,0,0,0,3.8,3000,11,away,turf,2015
12386,Marshawn Lynch,SEA,2,GB,15,41,2.7,0,6,3,21,0,0,0,9.2,3000,5,away,grass,2015
12506,James Starks,GB,2,SEA,20,95,4.8,0,4,4,11,0,1,1,13.6,7400,1,away,turf,2015
12708,Dion Lewis,NE,2,BUF,7,40,5.7,1,9,6,98,0,1,1,24.8,6600,18,away,turf,2015
12780,Shane Vereen,NYG,2,ATL,6,19,3.2,0,8,8,76,0,0,0,17.5,3000,12,away,turf,2015
12787,Nick Bellore,SF,2,PIT,0,0,0.0,0,0,0,0,0,0,0,0.0,4700,23,away,grass,2015
12800,Bilal Powell,NYJ,2,IND,12,38,3.2,0,5,4,16,0,1,0,9.4,null,28,away,turf,2015
13063,Taiwan Jones,OAK,2,BAL,2,9,4.5,0,1,1,6,0,0,0,2.5,5000,17,away,grass,2015
13102,Jordan Todman,PIT,2,SF,1,11,11.0,0,0,0,0,0,0,0,1.1,4000,25,away,grass,2015
13124,DeMarco Murray,PHI,2,DAL,13,2,0.2,0,5,5,53,0,0,0,10.5,4600,8,away,turf,2015
13158,Shaun Draughn,CLE,2,TEN,0,0,0.0,0,0,0,0,0,0,0,0.0,7200,19,away,grass,2015
13163,Roy Helu,OAK,2,BAL,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,17,away,grass,2015
13255,Matt Asiata,MIN,2,DET,2,8,4.0,0,0,0,0,0,0,0,0.8,3000,20,away,turf,2015
13299,Jacquizz Rodgers,CHI,2,ARI,2,8,4.0,0,0,0,0,0,0,0,0.8,3400,4,away,grass,2015
13337,Mark Ingram,NO,2,TB,16,53,3.3,1,3,3,5,0,1,1,13.8,null,21,away,grass,2015
13418,Anthony Sherman,KC,2,DEN,0,0,0.0,0,0,0,0,0,0,0,0.0,4200,2,away,grass,2015
13446,Bruce Miller,SF,2,PIT,0,0,0.0,0,2,1,7,0,0,0,1.7,3000,23,away,grass,2015
13527,Tyler Clutts,DAL,2,PHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,30,away,grass,2015
13735,Chris Polk,HOU,2,CAR,14,38,2.7,0,8,2,9,0,0,0,6.7,3000,10,away,grass,2015
13741,Brandon Bolden,NE,2,BUF,1,1,1.0,0,1,1,2,0,0,0,1.3,7000,18,away,turf,2015
13791,Lamar Miller,MIA,2,JAX,10,14,1.4,0,6,5,28,0,0,0,9.2,3000,29,away,grass,2015
13800,Marcus Thigpen,BUF,2,NE,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,13,away,turf,2015
13852,Bobby Rainey,TB,2,NO,0,0,0.0,0,1,1,8,0,0,0,1.8,3000,32,away,turf,2015
14046,Ronnie Hillman,DEN,2,KC,9,34,3.8,0,1,0,0,0,0,0,3.4,3000,7,away,grass,2015
14269,Alfred Morris,WAS,2,LAR,18,59,3.3,0,2,2,13,0,0,0,9.2,5900,16,away,grass,2015
14352,Travaris Cadet,NE,2,BUF,0,0,0.0,0,1,1,2,0,0,0,1.2,3000,18,away,turf,2015
14385,Doug Martin,TB,2,NO,21,78,3.7,0,2,2,20,0,1,1,10.8,3000,32,away,turf,2015
14421,Isaiah Pead,LAR,2,WAS,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,27,away,grass,2015
14538,Jorvorskie Lane,TB,2,NO,0,0,0.0,0,0,0,0,0,0,0,0.0,2500,32,away,turf,2015
14620,Will Johnson,PIT,2,SF,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,25,away,grass,2015
14687,Bernard Pierce,JAX,2,MIA,3,4,1.3,0,0,0,0,0,0,0,0.4,3000,26,away,grass,2015
14719,Jonathan Grimes,HOU,2,CAR,2,7,3.5,0,7,6,40,0,0,0,10.7,3000,10,away,grass,2015
14731,Lance Dunbar,DAL,2,PHI,1,8,8.0,0,5,3,45,0,0,0,8.3,5500,30,away,grass,2015
14786,Patrick DiMarco,ATL,2,NYG,0,0,0.0,0,1,1,19,0,0,0,2.9,3000,31,away,turf,2015
14891,Tommy Bohanon,NYJ,2,IND,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,28,away,turf,2015
14901,Kyle Juszczyk,BAL,2,OAK,0,0,0.0,0,1,1,11,0,0,0,2.1,3000,22,away,grass,2015
14916,Giovani Bernard,CIN,2,LAC,20,123,6.2,0,3,3,16,0,0,0,19.9,5600,14,away,grass,2015
14917,Rex Burkhead,CIN,2,LAC,0,0,0.0,0,2,1,8,0,0,0,1.8,5000,14,away,grass,2015
15010,Kerwynn Williams,ARI,2,CHI,1,3,3.0,0,0,0,0,0,0,0,0.3,3000,15,away,grass,2015
15018,Denard Robinson,JAX,2,MIA,1,9,9.0,0,0,0,0,0,0,0,0.9,5600,26,away,grass,2015
15020,CJ Anderson,DEN,2,KC,12,27,2.2,0,1,1,2,0,0,0,3.9,3000,7,away,grass,2015
15045,Knile Davis,KC,2,DEN,3,9,3.0,1,1,0,0,0,0,0,6.9,3000,2,away,grass,2015
15071,Latavius Murray,OAK,2,BAL,15,65,4.3,1,3,3,22,0,0,0,17.7,3000,17,away,grass,2015
15085,Joseph Randle,DAL,2,PHI,18,51,2.8,0,1,1,14,0,0,0,7.5,3100,30,away,grass,2015
15102,Chris Thompson,WAS,2,LAR,0,0,0.0,0,1,1,10,0,0,0,2.0,3000,16,away,grass,2015
15126,Theo Riddick,DET,2,MIN,1,5,5.0,0,6,5,41,0,1,1,8.6,3000,11,away,turf,2015
15138,Eddie Lacy,GB,2,SEA,3,9,3.0,0,0,0,0,0,0,0,0.9,3000,1,away,turf,2015
15191,Austin Johnson,NO,2,TB,1,1,1.0,1,1,0,0,0,0,0,6.1,3000,21,away,grass,2015
15207,Benjamin Cunningham,LAR,2,WAS,1,0,0.0,0,6,4,27,0,0,0,6.7,3000,27,away,grass,2015
15221,Zac Stacy,NYJ,2,IND,0,0,0.0,0,0,0,0,0,0,0,0.0,null,28,away,turf,2015
15230,Stepfan Taylor,ARI,2,CHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,15,away,grass,2015
15555,Zach Line,MIN,2,DET,1,1,1.0,1,0,0,0,0,0,0,6.1,3100,20,away,turf,2015
15616,Fozzy Whittaker,CAR,2,HOU,1,3,3.0,0,0,0,0,0,0,0,0.3,4500,3,away,turf,2015
15631,Derrick Coleman,SEA,2,GB,0,0,0.0,0,1,1,0,0,0,0,1.0,3000,5,away,grass,2015
15645,Khiry Robinson,NO,2,TB,5,48,9.6,0,1,1,9,0,0,0,6.7,3000,21,away,grass,2015
16008,Orleans Darkwa,NYG,2,ATL,0,0,0.0,0,0,0,0,0,0,0,0.0,6700,12,away,turf,2015
16031,Damien Williams,MIA,2,JAX,2,5,2.5,0,4,3,15,1,0,0,11.0,3000,29,away,grass,2015
16099,Lorenzo Taliaferro,BAL,2,OAK,7,34,4.9,1,3,3,12,0,0,0,13.6,5800,22,away,grass,2015
16112,Jeremy Hill,CIN,2,LAC,10,39,3.9,0,1,1,2,0,2,2,3.1,5600,14,away,grass,2015
16120,Nikita Whitlock,NYG,2,ATL,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,12,away,turf,2015
