Rank,Name,Team,Position,Played,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Minnesota Vikings,MIN,DST,16,13.08,17.87,29.31,8.94,0,69.2
2,Jacksonville Jaguars,JAX,DST,16,12.4,23.24,23.69,10.29,0,69.63
3,Los Angeles Chargers,LAC,DST,16,13.88,25.79,28.81,10.1,0,78.59
4,Baltimore Ravens,BAL,DST,16,12.92,25.02,27.82,13.11,0,78.88
5,Denver Broncos,DEN,DST,16,16.02,21.62,26.36,14.89,0,78.89
6,Pittsburgh Steelers,PIT,DST,16,15.47,24.51,29.52,9.58,0,79.09
7,Chicago Bears,CHI,DST,16,14.13,23.35,31.74,10.86,0,80.08
8,Seattle Seahawks,SEA,DST,16,14.81,22.77,33.24,10.16,0,80.98
9,Philadelphia Eagles,PHI,DST,16,16.92,19.82,34.59,11.12,0,82.45
10,Arizona Cardinals,ARI,DST,16,18.02,21.73,31.62,11.43,0,82.8
11,Atlanta Falcons,ATL,DST,16,17.7,23.74,30.64,10.87,0,82.95
12,Cincinnati Bengals,CIN,DST,16,16.36,27.61,27.22,12.78,0,83.98
13,Los Angeles Rams,LAR,DST,16,15.28,26.69,30.28,11.98,0,84.22
14,Carolina Panthers,CAR,DST,16,17.42,20.47,37.06,9.72,0,84.66
15,New Orleans Saints,NO,DST,16,18.13,24.31,33.96,9.08,0,85.47
16,Washington Redskins,WAS,DST,16,17.08,26.88,27.95,14.3,0,86.21
17,Buffalo Bills,BUF,DST,16,14.72,28.36,30.25,13.39,0,86.72
18,Miami Dolphins,MIA,DST,16,17.96,26.46,26.31,16.28,0,87
19,Tennessee Titans,TEN,DST,16,17.97,23.39,34.02,11.89,0,87.27
20,Dallas Cowboys,DAL,DST,16,17.69,22.65,35.04,11.98,0,87.36
21,Detroit Lions,DET,DST,16,17.2,27.68,33.13,11.32,0,89.33
22,Kansas City Chiefs,KC,DST,16,18.56,21.96,39.18,9.88,0,89.57
23,Oakland Raiders,OAK,DST,16,18.62,24.84,32.36,13.89,0,89.71
24,Cleveland Browns,CLE,DST,16,19.01,23.7,32.42,15.08,0,90.2
24,New York Jets,NYJ,DST,16,19.41,25.13,33.68,11.98,0,90.2
26,Indianapolis Colts,IND,DST,16,19.05,24.2,35.19,11.76,0,90.21
27,New England Patriots,NE,DST,16,19.31,24.26,37.53,10.2,0,91.3
28,San Francisco 49ers,SF,DST,16,19.84,26.67,34.24,11.19,0,91.94
29,Houston Texans,HOU,DST,16,20.69,22.58,35.5,14.2,0,92.96
30,Green Bay Packers,GB,DST,16,19.69,26.12,37.48,9.69,0,92.99
31,Tampa Bay Buccaneers,TB,DST,16,18.46,27.01,39.77,9.42,0.02,94.68
32,New York Giants,NYG,DST,16,20.4,25.24,34.01,16.11,0,95.77
