Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,8649,Rashad Jennings,NYG,RB,17,PHI,27,170,6.3,1,5,2,6,0,0,0,28.6,28.6
2,14046,Ronnie Hillman,DEN,RB,17,LAC,15,117,7.8,1,3,2,10,0,0,0,23.7,23.7
3,12985,DuJuan Harris,SF,RB,17,LAR,16,67,4.2,0,12,8,86,0,0,0,23.3,23.3
4,2262,Tim Hightower,NO,RB,17,ATL,16,66,4.1,1,5,5,41,0,0,0,21.7,21.7
5,14719,Jonathan Grimes,HOU,RB,17,JAX,4,26,6.5,1,5,4,28,1,0,0,21.4,21.4
6,2699,Matt Forte,CHI,RB,17,DET,17,76,4.5,0,3,3,34,1,0,0,20,20
7,16112,Jeremy Hill,CIN,RB,17,BAL,16,96,6,1,3,2,19,0,0,0,19.5,19.5
8,8066,Darren McFadden,DAL,RB,17,WAS,12,92,7.7,0,8,5,53,0,1,1,18.5,18.5
9,16609,Charles Sims,TB,RB,17,CAR,4,15,3.8,0,11,9,74,0,0,0,17.9,17.9
10,14385,Doug Martin,TB,RB,17,CAR,15,48,3.2,0,7,7,60,0,0,0,17.8,17.8
11,16524,Devonta Freeman,ATL,RB,17,NO,25,76,3,0,4,2,18,1,1,1,16.4,16.4
12,15020,CJ Anderson,DEN,RB,17,LAC,15,95,6.3,1,3,1,-5,0,1,1,15,15
13,16189,Alfred Blue,HOU,RB,17,JAX,21,102,4.9,0,1,1,2,0,0,0,14.4,14.4
13,12780,Shane Vereen,NYG,RB,17,PHI,4,12,3,0,8,6,72,0,0,0,14.4,14.4
15,12317,Danny Woodhead,LAC,RB,17,DEN,5,11,2.2,0,10,8,51,0,0,0,14.2,14.2
16,16934,Cameron Artis-Payne,CAR,RB,17,TB,14,44,3.1,1,2,2,17,0,0,0,14.1,14.1
17,4807,Adrian Peterson,MIN,RB,17,GB,19,67,3.5,1,1,1,1,0,0,0,13.8,13.8
18,15261,Spencer Ware,KC,RB,17,OAK,16,76,4.8,1,0,0,0,0,0,0,13.6,13.6
19,6198,Darren Sproles,PHI,RB,17,NYG,3,24,8,1,3,3,20,0,0,0,13.4,13.4
20,16898,David Cobb,TEN,RB,17,IND,19,73,3.8,1,0,0,0,0,0,0,13.3,13.3
20,14352,Travaris Cadet,NO,RB,17,ATL,3,6,2,0,6,6,77,0,1,1,13.3,13.3
22,15256,Christine Michael,SEA,RB,17,ARI,17,102,6,0,1,0,0,0,0,0,13.2,13.2
23,14269,Alfred Morris,WAS,RB,17,DAL,19,100,5.3,0,0,0,0,0,0,0,13,13
23,16886,Javorius Allen,BAL,RB,17,CIN,15,38,2.5,0,10,6,32,0,0,0,13,13
25,1652,Steven Jackson,NE,RB,17,MIA,14,35,2.5,1,1,1,20,0,0,0,12.5,12.5
26,13124,DeMarco Murray,PHI,RB,17,NYG,12,69,5.8,1,1,0,0,0,1,1,11.9,11.9
27,16915,Karlos Williams,BUF,RB,17,NYJ,6,24,4,1,3,3,3,0,0,0,11.7,11.7
28,8604,Donald Brown,LAC,RB,17,DEN,21,81,3.9,0,3,2,10,0,0,0,11.1,11.1
29,16626,Tre Mason,LAR,RB,17,SF,18,44,2.4,1,0,0,0,0,1,0,10.4,10.4
30,15207,Benjamin Cunningham,LAR,RB,17,SF,4,38,9.5,0,3,3,34,0,0,0,10.2,10.2
31,14901,Kyle Juszczyk,BAL,FB,17,CIN,0,0,0,0,2,2,18,1,0,0,9.8,9.8
32,15071,Latavius Murray,OAK,RB,17,KC,11,31,2.8,0,6,4,25,0,0,0,9.6,9.6
33,16847,David Johnson,ARI,RB,17,SEA,11,25,2.3,0,8,3,34,0,0,0,8.9,8.9
33,15185,Kenjon Barner,PHI,RB,17,NYG,5,18,3.6,0,5,5,21,0,0,0,8.9,8.9
35,16056,James White,NE,RB,17,MIA,3,5,1.7,0,3,2,63,0,0,0,8.8,8.8
36,16838,Duke Johnson,CLE,RB,17,PIT,4,11,2.8,0,6,4,34,0,0,0,8.5,8.5
37,12239,Chris Ivory,NYJ,RB,17,BUF,6,81,13.5,0,0,0,0,0,0,0,8.1,8.1
38,13719,Bryce Brown,SEA,RB,17,ARI,10,20,2,1,0,0,0,0,0,0,8,8
39,16031,Damien Williams,MIA,RB,17,NE,3,11,3.7,0,3,3,38,0,0,0,7.9,7.9
40,12323,Joique Bell,DET,RB,17,CHI,3,9,3,0,2,2,49,0,0,0,7.8,7.8
40,16510,Jerick McKinnon,MIN,RB,17,GB,4,15,3.8,0,4,3,33,0,0,0,7.8,7.8
42,12649,Will Tukuafu,SEA,FB,17,ARI,0,0,0,0,1,1,7,1,0,0,7.7,7.7
43,5820,Frank Gore,IND,RB,17,TEN,19,76,4,0,4,0,0,0,0,0,7.6,7.6
44,4738,Mike Tolbert,CAR,FB,17,TB,10,59,5.9,0,1,1,5,0,0,0,7.4,7.4
45,13791,Lamar Miller,MIA,RB,17,NE,19,60,3.2,0,2,1,3,0,0,0,7.3,7.3
45,15126,Theo Riddick,DET,RB,17,CHI,2,4,2,0,5,4,29,0,0,0,7.3,7.3
47,12506,James Starks,GB,RB,17,MIN,8,24,3,0,3,3,18,0,0,0,7.2,7.2
48,16887,Mike Davis,SF,RB,17,LAR,10,34,3.4,0,3,2,15,0,0,0,6.9,6.9
49,17199,Akeem Hunt,HOU,RB,17,JAX,3,28,9.3,0,3,1,27,0,0,0,6.5,6.5
50,16815,Ameer Abdullah,DET,RB,17,CHI,10,44,4.4,0,1,1,7,0,0,0,6.1,6.1
50,15138,Eddie Lacy,GB,RB,17,MIN,13,34,2.6,0,2,2,7,0,0,0,6.1,6.1
52,14916,Giovani Bernard,CIN,RB,17,BAL,6,36,6,0,3,1,12,0,0,0,5.8,5.8
53,13741,Brandon Bolden,NE,RB,17,MIA,9,31,3.4,0,2,2,5,0,0,0,5.6,5.6
54,16127,Isaiah Crowell,CLE,RB,17,PIT,15,53,3.5,0,0,0,0,0,0,0,5.3,5.3
55,12774,Stevan Ridley,NYJ,RB,17,BUF,9,29,3.2,0,2,2,0,0,0,0,4.9,4.9
56,13163,Roy Helu,OAK,RB,17,KC,3,5,1.7,0,4,2,23,0,0,0,4.8,4.8
