Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,7580,DeAngelo Williams,PIT,RB,9,OAK,27,170,6.3,2,4,2,55,0,0,0,41.5,41.5
2,16867,Jeremy Langford,CHI,RB,10,LAR,20,73,3.6,1,9,7,109,1,0,0,40.2,40.2
3,13791,Lamar Miller,MIA,RB,9,BUF,12,44,3.7,2,7,7,97,0,0,0,33.1,33.1
4,4807,Adrian Peterson,MIN,RB,10,OAK,26,203,7.8,1,3,2,13,0,0,0,32.6,32.6
5,16307,Charcandrick West,KC,RB,10,DEN,24,69,2.9,1,5,3,92,1,0,0,31.1,31.1
6,16856,Matt Jones,WAS,RB,10,NO,11,56,5.1,0,3,3,131,1,0,0,30.7,30.7
7,13124,DeMarco Murray,PHI,RB,9,DAL,18,83,4.6,1,7,6,78,0,0,0,28.1,28.1
8,16915,Karlos Williams,BUF,RB,9,MIA,9,110,12.2,2,0,0,0,0,0,0,26,26
9,4807,Adrian Peterson,MIN,RB,9,LAR,29,125,4.3,1,2,2,18,0,2,0,25.3,25.3
10,16867,Jeremy Langford,CHI,RB,9,LAC,18,72,4,1,4,3,70,0,0,0,25.2,25.2
11,12506,James Starks,GB,RB,9,CAR,10,39,3.9,0,8,6,83,1,0,0,24.2,24.2
12,11932,LeSean McCoy,BUF,RB,10,NYJ,19,112,5.9,0,5,5,47,0,0,0,23.9,23.9
13,12317,Danny Woodhead,LAC,RB,9,CHI,6,33,5.5,0,10,6,78,1,0,0,23.1,23.1
14,11932,LeSean McCoy,BUF,RB,9,MIA,16,112,7,1,2,2,7,0,0,0,22.9,22.9
15,12296,LeGarrette Blount,NE,RB,9,WAS,29,129,4.4,1,0,0,0,0,1,0,21.9,21.9
15,16524,Devonta Freeman,ATL,RB,9,SF,12,12,1,0,10,8,67,1,0,0,21.9,21.9
17,13791,Lamar Miller,MIA,RB,10,PHI,16,43,2.7,0,8,6,50,1,0,0,21.3,21.3
18,16771,Todd Gurley,LAR,RB,9,MIN,24,89,3.7,1,5,3,20,0,0,0,19.9,19.9
19,12239,Chris Ivory,NYJ,RB,9,JAX,23,26,1.1,2,3,3,22,0,1,0,19.8,19.8
20,16771,Todd Gurley,LAR,RB,10,CHI,12,45,3.8,1,3,3,44,0,0,0,17.9,17.9
20,13124,DeMarco Murray,PHI,RB,10,MIA,22,61,2.8,0,8,6,58,0,0,0,17.9,17.9
22,15224,Andre Ellington,ARI,RB,10,SEA,5,61,12.2,1,4,3,27,0,0,0,17.8,17.8
23,5820,Frank Gore,IND,RB,9,DEN,28,83,3,1,3,1,19,0,0,0,17.2,17.2
24,8066,Darren McFadden,DAL,RB,9,PHI,27,117,4.3,0,2,1,5,0,0,0,16.2,16.2
25,12296,LeGarrette Blount,NE,RB,10,NYG,19,66,3.5,1,2,2,11,0,0,0,15.7,15.7
26,12506,James Starks,GB,RB,10,DET,15,42,2.8,0,7,6,54,0,1,0,15.6,15.6
27,5451,Jonathan Stewart,CAR,RB,10,TEN,22,91,4.1,1,0,0,0,0,0,0,15.1,15.1
28,12239,Chris Ivory,NYJ,RB,10,BUF,18,99,5.5,0,3,2,36,0,1,1,14.5,14.5
29,12780,Shane Vereen,NYG,RB,9,TB,6,14,2.3,0,4,4,29,1,0,0,14.3,14.3
29,14385,Doug Martin,TB,RB,10,DAL,18,63,3.5,0,4,4,40,0,0,0,14.3,14.3
31,11220,Dexter McCluster,TEN,RB,10,CAR,3,25,8.3,1,5,4,27,0,1,1,14.2,14.2
32,14269,Alfred Morris,WAS,RB,10,NO,15,92,6.1,0,3,3,14,0,0,0,13.6,13.6
32,13337,Mark Ingram,NO,RB,9,TEN,22,54,2.5,0,5,4,42,0,0,0,13.6,13.6
32,13158,Shaun Draughn,SF,RB,9,ATL,16,58,3.6,0,5,4,38,0,0,0,13.6,13.6
35,14046,Ronnie Hillman,DEN,RB,10,KC,11,42,3.8,1,4,2,9,0,0,0,13.1,13.1
35,16797,TJ Yeldon,JAX,RB,9,NYJ,14,64,4.6,0,3,3,37,0,0,0,13.1,13.1
37,13741,Brandon Bolden,NE,RB,9,WAS,1,12,12,0,4,3,27,1,0,0,12.9,12.9
37,14916,Giovani Bernard,CIN,RB,10,HOU,8,36,4.5,0,8,5,43,0,0,0,12.9,12.9
39,13337,Mark Ingram,NO,RB,10,WAS,5,77,15.4,0,4,3,21,0,0,0,12.8,12.8
40,11256,Ryan Mathews,PHI,RB,9,DAL,11,67,6.1,1,1,0,0,0,1,0,12.7,12.7
40,15071,Latavius Murray,OAK,RB,10,MIN,12,48,4,0,5,5,29,0,0,0,12.7,12.7
42,16163,Antonio Andrews,TEN,RB,9,NO,19,88,4.6,0,2,1,23,0,0,0,12.1,12.1
43,16915,Karlos Williams,BUF,RB,10,NYJ,7,24,3.4,0,1,1,26,1,0,0,12,12
43,12386,Marshawn Lynch,SEA,RB,10,ARI,8,42,5.2,1,2,1,8,0,0,0,12,12
43,11256,Ryan Mathews,PHI,RB,10,MIA,7,18,2.6,1,3,2,22,0,0,0,12,12
46,16838,Duke Johnson,CLE,RB,9,CIN,3,0,0,0,4,2,38,1,0,0,11.8,11.8
47,16797,TJ Yeldon,JAX,RB,10,BAL,18,61,3.4,0,6,5,6,0,0,0,11.7,11.7
48,15071,Latavius Murray,OAK,RB,9,PIT,17,96,5.6,0,2,2,-1,0,2,1,10.5,10.5
49,9369,Justin Forsett,BAL,RB,10,JAX,14,53,3.8,0,4,4,11,0,0,0,10.4,10.4
50,14901,Kyle Juszczyk,BAL,FB,10,JAX,0,0,0,0,5,5,47,0,0,0,9.7,9.7
51,14916,Giovani Bernard,CIN,RB,9,CLE,13,72,5.5,0,1,1,14,0,0,0,9.6,9.6
52,16127,Isaiah Crowell,CLE,RB,9,CIN,10,38,3.8,0,4,3,26,0,0,0,9.4,9.4
53,12708,Dion Lewis,NE,RB,9,WAS,4,14,3.5,0,5,4,39,0,0,0,9.3,9.3
54,14789,Jamize Olawale,OAK,FB,10,MIN,5,24,4.8,0,3,3,35,0,0,0,8.9,8.9
55,8066,Darren McFadden,DAL,RB,10,TB,17,32,1.9,0,4,3,26,0,0,0,8.8,8.8
56,15102,Chris Thompson,WAS,RB,10,NO,2,54,27,0,1,1,23,0,0,0,8.7,8.7
57,16776,Melvin Gordon,LAC,RB,9,CHI,11,31,2.8,0,3,3,25,0,0,0,8.6,8.6
58,6198,Darren Sproles,PHI,RB,10,MIA,3,0,0,0,6,5,34,0,0,0,8.4,8.4
59,16609,Charles Sims,TB,RB,9,NYG,8,78,9.8,0,2,1,4,0,1,1,8.2,8.2
60,2220,Ahmad Bradshaw,IND,RB,9,DEN,6,3,0.5,0,2,1,8,1,0,0,8.1,8.1
61,14789,Jamize Olawale,OAK,FB,9,PIT,1,19,19,1,0,0,0,0,0,0,7.9,7.9
61,7580,DeAngelo Williams,PIT,RB,10,CLE,17,54,3.2,0,2,1,15,0,1,0,7.9,7.9
63,5451,Jonathan Stewart,CAR,RB,9,GB,20,66,3.3,0,2,1,2,0,0,0,7.8,7.8
64,8649,Rashad Jennings,NYG,RB,10,NE,11,39,3.5,0,3,2,12,0,1,0,7.1,7.1
65,16838,Duke Johnson,CLE,RB,10,PIT,4,10,2.5,0,4,4,18,0,0,0,6.8,6.8
66,12649,Will Tukuafu,SEA,FB,10,ARI,2,2,1,1,0,0,0,0,0,0,6.2,6.2
66,16112,Jeremy Hill,CIN,RB,9,CLE,15,52,3.5,0,1,1,0,0,0,0,6.2,6.2
68,6828,Chris Johnson,ARI,RB,10,SEA,25,58,2.3,0,2,0,0,0,0,0,5.8,5.8
69,8649,Rashad Jennings,NYG,RB,9,TB,13,48,3.7,0,1,1,-1,0,0,0,5.7,5.7
69,11220,Dexter McCluster,TEN,RB,9,NO,8,19,2.4,0,4,2,28,0,1,1,5.7,5.7
71,15126,Theo Riddick,DET,RB,10,GB,3,1,0.3,0,3,3,25,0,0,0,5.6,5.6
72,14719,Jonathan Grimes,HOU,RB,10,CIN,6,33,5.5,0,1,1,12,0,0,0,5.5,5.5
72,12323,Joique Bell,DET,RB,10,GB,14,17,1.2,0,3,2,18,0,0,0,5.5,5.5
74,10949,CJ Spiller,NO,RB,10,WAS,8,24,3,0,2,2,10,0,1,0,5.4,5.4
74,16856,Matt Jones,WAS,RB,9,NE,11,27,2.5,0,3,2,17,0,1,1,5.4,5.4
76,14385,Doug Martin,TB,RB,9,NYG,11,31,2.8,0,4,2,12,0,1,1,5.3,5.3
77,16609,Charles Sims,TB,RB,10,DAL,5,18,3.6,0,5,2,13,0,0,0,5.1,5.1
78,16112,Jeremy Hill,CIN,RB,10,HOU,7,15,2.1,0,3,3,5,0,0,0,5,5
79,16909,Jay Ajayi,MIA,RB,10,PHI,6,48,8,0,0,0,0,0,0,0,4.8,4.8
79,15020,CJ Anderson,DEN,RB,9,IND,7,34,4.9,0,2,1,4,0,0,0,4.8,4.8
81,16402,Andre Williams,NYG,RB,9,TB,7,30,4.3,0,1,1,7,0,0,0,4.7,4.7
81,16626,Tre Mason,LAR,RB,10,CHI,6,31,5.2,0,1,1,16,0,1,1,4.7,4.7
83,2262,Tim Hightower,NO,RB,10,WAS,11,46,4.2,0,0,0,0,0,0,0,4.6,4.6
83,16427,Ka'Deem Carey,CHI,RB,10,LAR,14,56,4,0,0,0,0,0,1,1,4.6,4.6
83,6198,Darren Sproles,PHI,RB,9,DAL,5,23,4.6,0,3,2,3,0,0,0,4.6,4.6
83,12780,Shane Vereen,NYG,RB,10,NE,4,14,3.5,0,4,2,12,0,0,0,4.6,4.6
87,13255,Matt Asiata,MIN,RB,10,OAK,2,7,3.5,0,2,2,18,0,0,0,4.5,4.5
88,16909,Jay Ajayi,MIA,RB,9,BUF,5,41,8.2,0,0,0,0,0,0,0,4.1,4.1
88,16189,Alfred Blue,HOU,RB,10,CIN,12,22,1.8,0,1,1,9,0,0,0,4.1,4.1
88,15102,Chris Thompson,WAS,RB,9,NE,0,0,0,0,4,2,21,0,0,0,4.1,4.1
91,16886,Javorius Allen,BAL,RB,10,JAX,5,19,3.8,0,2,1,4,0,0,0,3.3,3.3
