Name,Opponent,PlayerID,Team,Week,att,def_rk,fum,h/a_1,points,rec,rec_td,rec_yds,ru_att,ru_td,ru_yds,ru_yds/att,salary,surface_0,tar,td,yds,yds/att,year
Brandon Bolden,PIT,13741,NE,1,,2,0,1.0,2.3,1,,,5.0,0.0,1.0,0.2,3000,0.0,2,0,12,,2015
Lamar Miller,WAS,13791,MIA,1,,20,0,0.0,8.5,1,,,13.0,0.0,53.0,4.1,3000,1.0,1,0,22,,2015
Marcus Thigpen,IND,13800,BUF,1,,18,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
Bobby Rainey,TEN,13852,TB,1,,4,0,1.0,2.4,1,,,3.0,0.0,10.0,3.3,3000,1.0,1,0,4,,2015
Ronnie Hillman,BAL,14046,DEN,1,,6,0,1.0,4.1,0,,,12.0,0.0,41.0,3.4,5500,1.0,0,0,0,,2015
Alfred Morris,MIA,14269,WAS,1,,31,0,1.0,15.1,0,,,25.0,0.0,121.0,4.8,3000,1.0,0,0,0,,2015
Doug Martin,TEN,14385,TB,1,,4,0,1.0,6.4,1,,,11.0,0.0,52.0,4.7,3000,1.0,1,0,2,,2015
Isaiah Pead,SEA,14421,LAR,1,,1,1,0.0,-0.7,0,,,2.0,0.0,3.0,1.5,5500,0.0,0,0,0,,2015
LaMichael James,WAS,14501,MIA,1,,20,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,4500,1.0,0,0,0,,2015
Jorvorskie Lane,TEN,14538,TB,1,,4,0,1.0,0.0,0,,,1.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Will Johnson,NE,14620,PIT,1,,12,0,0.0,6.7,0,,,4.0,1.0,7.0,1.8,3000,0.0,0,0,0,,2015
Bernard Pierce,CAR,14687,JAX,1,,19,0,1.0,1.4,1,,,0.0,0.0,0.0,0.0,3000,1.0,2,0,4,,2015
Jonathan Grimes,KC,14719,HOU,1,,3,0,1.0,4.0,1,,,6.0,0.0,28.0,4.7,3100,0.0,2,0,2,,2015
Lance Dunbar,NYG,14731,DAL,1,,24,0,1.0,15.0,8,,,0.0,0.0,0.0,0.0,3000,0.0,8,0,70,,2015
Patrick DiMarco,PHI,14786,ATL,1,,28,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
Jamize Olawale,CIN,14789,OAK,1,,15,0,1.0,5.5,3,,,1.0,0.0,6.0,6.0,3000,1.0,3,0,19,,2015
Tommy Bohanon,CLE,14891,NYJ,1,,16,0,1.0,0.2,0,,,2.0,0.0,2.0,1.0,3000,0.0,0,0,0,,2015
Kyle Juszczyk,DEN,14901,BAL,1,,14,0,0.0,5.7,4,,,0.0,0.0,0.0,0.0,3000,1.0,4,0,17,,2015
Giovani Bernard,OAK,14916,CIN,1,,21,0,0.0,14.8,6,,,8.0,0.0,63.0,7.9,3000,1.0,6,0,25,,2015
Rex Burkhead,OAK,14917,CIN,1,,21,0,0.0,3.4,1,,,0.0,0.0,0.0,0.0,3000,1.0,1,0,24,,2015
Denard Robinson,CAR,15018,JAX,1,,19,0,1.0,6.5,2,,,5.0,0.0,19.0,3.8,3000,1.0,2,0,26,,2015
CJ Anderson,BAL,15020,DEN,1,,6,0,1.0,8.8,4,,,12.0,0.0,29.0,2.4,4700,1.0,8,0,19,,2015
Knile Davis,HOU,15045,KC,1,,7,0,0.0,3.8,1,,,6.0,0.0,16.0,2.7,3000,0.0,1,0,12,,2015
Latavius Murray,CIN,15071,OAK,1,,15,0,1.0,15.0,7,,,11.0,0.0,44.0,4.0,3000,1.0,7,0,36,,2015
Joseph Randle,NYG,15085,DAL,1,,24,0,1.0,13.7,3,,,16.0,0.0,65.0,4.1,7000,0.0,3,0,42,,2015
Chris Thompson,MIA,15102,WAS,1,,31,0,1.0,1.1,0,,,3.0,0.0,11.0,3.7,3600,1.0,1,0,0,,2015
Theo Riddick,LAC,15126,DET,1,,26,0,0.0,11.7,2,,,0.0,0.0,0.0,0.0,5700,1.0,2,1,37,,2015
Eddie Lacy,CHI,15138,GB,1,,22,0,0.0,17.9,2,,,19.0,1.0,85.0,4.5,5900,1.0,3,0,14,,2015
Austin Johnson,ARI,15191,NO,1,,8,0,0.0,2.9,2,,,1.0,0.0,4.0,4.0,3000,1.0,3,0,5,,2015
Benjamin Cunningham,SEA,15207,LAR,1,,1,0,0.0,16.2,4,,,16.0,0.0,45.0,2.8,3300,0.0,7,0,77,,2015
Andre Ellington,NO,15224,ARI,1,,29,1,1.0,13.6,1,,,12.0,1.0,69.0,5.8,7500,1.0,3,0,7,,2015
Stepfan Taylor,NO,15230,ARI,1,,29,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Zach Line,SF,15555,MIN,1,,32,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Chase Reynolds,SEA,15596,LAR,1,,1,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
