Name,Opponent,PlayerID,Team,Week,att,def_rk,fum,h/a_1,points,rec,rec_td,rec_yds,ru_att,ru_td,ru_yds,ru_yds/att,salary,surface_0,tar,td,yds,yds/att,year
Jay Ajayi,DAL,16909,MIA,11,,25,0,1.0,5.6,2,,,4.0,0.0,13.0,3.2,3600,1.0,2,0,23,,2015
Karlos Williams,NE,16915,BUF,11,,12,0,0.0,1.1,0,,,6.0,0.0,11.0,1.8,4600,0.0,0,0,0,,2015
Michael Burton,OAK,16928,DET,11,,21,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,6500,0.0,0,0,0,,2015
Aaron Ripkowski,MIN,16966,GB,11,,9,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,4900,0.0,0,0,0,,2015
Thomas Rawls,SF,17050,SEA,11,,32,0,1.0,43.5,3,,,30.0,1.0,209.0,7.0,3800,0.0,3,1,46,,2015
Terron Ward,IND,17089,ATL,11,,18,0,1.0,4.8,3,,,2.0,0.0,2.0,1.0,6000,0.0,4,0,16,,2015
Akeem Hunt,NYJ,17199,HOU,11,,5,0,1.0,0.4,0,,,2.0,0.0,4.0,2.0,3000,0.0,1,0,0,,2015
Raheem Mostert,LAR,17217,BAL,11,,23,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3300,1.0,0,0,0,,2015
Rod Smith,MIA,17360,DAL,11,,31,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3500,1.0,0,0,0,,2015
Jerome Felton,KC,733,BUF,12,,3,0,0.0,2.2,1,,,0.0,0.0,0.0,0.0,3000,1.0,1,0,12,,2015
John Kuhn,CHI,1589,GB,12,,22,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Ahmad Bradshaw,TB,2220,IND,12,,11,0,1.0,5.6,3,,,4.0,0.0,6.0,1.5,3000,0.0,4,0,20,,2015
Tim Hightower,HOU,2262,NO,12,,7,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,5500,0.0,0,0,0,,2015
Matt Forte,GB,2699,CHI,12,,13,0,0.0,6.3,1,,,15.0,0.0,44.0,2.9,3000,1.0,1,0,9,,2015
Marcel Reece,TEN,3382,OAK,12,,4,0,0.0,1.7,1,,,0.0,0.0,0.0,0.0,5900,1.0,1,0,7,,2015
Mike Tolbert,DAL,4738,CAR,12,,25,0,0.0,1.6,0,,,4.0,0.0,16.0,4.0,0,0.0,1,0,0,,2015
Adrian Peterson,ATL,4807,MIN,12,,30,0,0.0,35.7,2,,,29.0,2.0,158.0,5.4,4900,0.0,4,0,29,,2015
Jonathan Stewart,DAL,5451,CAR,12,,25,0,0.0,10.7,3,,,21.0,0.0,68.0,3.2,3200,0.0,4,0,9,,2015
Fred Jackson,PIT,5701,SEA,12,,2,0,1.0,3.1,2,,,1.0,0.0,4.0,4.0,6700,0.0,2,0,7,,2015
Frank Gore,TB,5820,IND,12,,11,0,1.0,5.7,2,,,19.0,0.0,24.0,1.3,4900,0.0,3,0,13,,2015
Darren Sproles,DET,6198,PHI,12,,17,0,0.0,6.5,4,,,2.0,0.0,4.0,2.0,3000,0.0,6,0,21,,2015
Chris Johnson,SF,6828,ARI,12,,32,0,0.0,1.7,0,,,12.0,0.0,17.0,1.4,3000,1.0,0,0,0,,2015
DeAngelo Williams,SEA,7580,PIT,12,,1,0,0.0,24.7,7,,,8.0,1.0,29.0,3.6,4300,0.0,7,0,88,,2015
Darren McFadden,CAR,8066,DAL,12,,19,0,1.0,11.6,4,,,10.0,0.0,11.0,1.1,3000,0.0,6,0,45,,2015
Donald Brown,JAX,8604,LAC,12,,27,0,0.0,0.2,0,,,3.0,0.0,2.0,0.7,3500,1.0,2,0,0,,2015
Rashad Jennings,WAS,8649,NYG,12,,20,0,0.0,4.8,2,,,6.0,0.0,14.0,2.3,3000,1.0,3,0,14,,2015
CJ Spiller,HOU,10949,NO,12,,7,0,0.0,2.6,2,,,1.0,0.0,-2.0,-2.0,6200,0.0,3,0,8,,2015
Antone Smith,GB,11439,CHI,12,,13,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Cedric Peerman,LAR,11737,CIN,12,,23,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
LeSean McCoy,KC,11932,BUF,12,,3,1,0.0,18.1,3,,,19.0,0.0,70.0,3.7,6400,1.0,5,1,31,,2015
Chris Ivory,MIA,12239,NYJ,12,,31,0,1.0,18.2,2,,,21.0,1.0,87.0,4.1,3000,0.0,2,0,15,,2015
Anthony Dixon,KC,12285,BUF,12,,3,0,0.0,0.8,0,,,2.0,0.0,8.0,4.0,3000,1.0,0,0,0,,2015
LeGarrette Blount,DEN,12296,NE,12,,14,0,0.0,2.7,0,,,9.0,0.0,27.0,3.0,3000,1.0,0,0,0,,2015
Danny Woodhead,JAX,12317,LAC,12,,27,0,0.0,10.7,6,,,4.0,0.0,8.0,2.0,3200,1.0,6,0,39,,2015
Joique Bell,PHI,12323,DET,12,,28,0,1.0,16.2,2,,,7.0,1.0,25.0,3.6,3000,0.0,3,0,57,,2015
James Starks,CHI,12506,GB,12,,22,0,1.0,12.0,4,,,7.0,0.0,39.0,5.6,5400,1.0,5,0,41,,2015
Stevan Ridley,MIA,12774,NYJ,12,,31,0,1.0,0.1,0,,,2.0,0.0,1.0,0.5,3000,0.0,0,0,0,,2015
Shane Vereen,WAS,12780,NYG,12,,20,0,0.0,7.6,4,,,2.0,0.0,15.0,7.5,3000,1.0,5,0,21,,2015
Bilal Powell,MIA,12800,NYJ,12,,31,0,1.0,5.5,2,,,6.0,0.0,28.0,4.7,4000,0.0,5,0,7,,2015
DeMarco Murray,DET,13124,PHI,12,,17,0,0.0,3.0,0,,,14.0,0.0,30.0,2.1,3300,0.0,0,0,0,,2015
Shaun Draughn,ARI,13158,SF,12,,8,0,1.0,13.6,5,,,15.0,0.0,51.0,3.4,0,1.0,5,0,35,,2015
Roy Helu,TEN,13163,OAK,12,,4,0,0.0,0.3,0,,,2.0,0.0,3.0,1.5,5600,1.0,0,0,0,,2015
Matt Asiata,ATL,13255,MIN,12,,30,0,0.0,5.0,3,,,1.0,0.0,3.0,3.0,3000,0.0,3,0,17,,2015
Mark Ingram,HOU,13337,NO,12,,7,0,0.0,15.7,6,,,9.0,0.0,52.0,5.8,0,0.0,8,0,45,,2015
Anthony Sherman,BUF,13418,KC,12,,10,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Tyler Clutts,CAR,13527,DAL,12,,19,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
Chris Polk,NO,13735,HOU,12,,29,0,1.0,3.7,1,,,6.0,0.0,21.0,3.5,3000,0.0,1,0,6,,2015
Brandon Bolden,DEN,13741,NE,12,,14,0,0.0,19.5,4,,,4.0,0.0,11.0,2.8,3000,1.0,4,1,84,,2015
Lamar Miller,NYJ,13791,MIA,12,,5,0,0.0,4.3,3,,,5.0,0.0,2.0,0.4,3000,0.0,4,0,11,,2015
Marcus Thigpen,KC,13800,BUF,12,,3,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Bobby Rainey,IND,13852,TB,12,,18,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,0,0.0,0,0,0,,2015
Ronnie Hillman,NE,14046,DEN,12,,12,0,1.0,12.9,1,,,14.0,1.0,59.0,4.2,3000,1.0,1,0,0,,2015
Alfred Morris,NYG,14269,WAS,12,,24,0,1.0,10.0,1,,,23.0,0.0,78.0,3.4,3400,1.0,1,0,12,,2015
Doug Martin,IND,14385,TB,12,,18,0,0.0,10.8,1,,,14.0,0.0,97.0,6.9,0,0.0,3,0,1,,2015
Robert Turbin,CAR,14533,DAL,12,,19,0,1.0,2.2,1,,,2.0,0.0,11.0,5.5,3000,0.0,1,0,1,,2015
Will Johnson,SEA,14620,PIT,12,,1,0,0.0,3.6,2,,,0.0,0.0,0.0,0.0,3000,0.0,2,0,16,,2015
Jonathan Grimes,NO,14719,HOU,12,,29,0,1.0,4.3,1,,,7.0,0.0,25.0,3.6,4700,0.0,1,0,8,,2015
Patrick DiMarco,MIN,14786,ATL,12,,9,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
Jamize Olawale,TEN,14789,OAK,12,,4,0,0.0,1.7,0,,,2.0,0.0,17.0,8.5,3000,1.0,1,0,0,,2015
Tommy Bohanon,MIA,14891,NYJ,12,,31,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3800,0.0,1,0,0,,2015
Kyle Juszczyk,CLE,14901,BAL,12,,16,0,0.0,3.8,2,,,0.0,0.0,0.0,0.0,3200,1.0,4,0,18,,2015
Giovani Bernard,LAR,14916,CIN,12,,23,0,1.0,8.7,2,,,10.0,0.0,16.0,1.6,5700,0.0,3,0,51,,2015
Rex Burkhead,LAR,14917,CIN,12,,23,0,1.0,2.8,2,,,2.0,0.0,4.0,2.0,3200,0.0,2,0,4,,2015
Denard Robinson,LAC,15018,JAX,12,,26,0,1.0,4.2,1,,,3.0,0.0,23.0,7.7,3300,1.0,1,0,9,,2015
CJ Anderson,NE,15020,DEN,12,,12,0,1.0,34.3,4,,,15.0,2.0,113.0,7.5,5500,1.0,4,0,40,,2015
Knile Davis,BUF,15045,KC,12,,10,0,1.0,0.1,0,,,1.0,0.0,1.0,1.0,3000,1.0,0,0,0,,2015
Latavius Murray,TEN,15071,OAK,12,,4,0,0.0,9.2,1,,,22.0,0.0,59.0,2.7,0,1.0,3,0,23,,2015
Chris Thompson,NYG,15102,WAS,12,,24,0,1.0,2.6,1,,,2.0,0.0,7.0,3.5,3000,1.0,1,0,9,,2015
Theo Riddick,PHI,15126,DET,12,,28,0,1.0,17.8,5,,,2.0,0.0,6.0,3.0,3000,0.0,5,1,62,,2015
Eddie Lacy,CHI,15138,GB,12,,22,1,1.0,25.9,4,,,17.0,0.0,105.0,6.2,3700,1.0,5,1,34,,2015
Kenjon Barner,DET,15185,PHI,12,,17,0,0.0,4.1,1,,,7.0,0.0,30.0,4.3,3000,0.0,1,0,1,,2015
Benjamin Cunningham,CIN,15207,LAR,12,,15,0,0.0,2.7,1,,,2.0,0.0,12.0,6.0,3000,0.0,3,0,5,,2015
Andre Ellington,SF,15224,ARI,12,,32,0,0.0,7.6,3,,,5.0,0.0,24.0,4.8,3000,1.0,5,0,22,,2015
Stepfan Taylor,SF,15230,ARI,12,,32,0,0.0,0.2,0,,,1.0,0.0,2.0,2.0,3000,1.0,0,0,0,,2015
Spencer Ware,BUF,15261,KC,12,,10,0,1.0,23.5,3,,,19.0,1.0,114.0,6.0,3000,1.0,3,0,1,,2015
George Winn,PHI,15497,DET,12,,28,0,1.0,0.1,0,,,3.0,0.0,1.0,0.3,3000,0.0,0,0,0,,2015
Zach Line,ATL,15555,MIN,12,,30,0,0.0,1.8,1,,,0.0,0.0,0.0,0.0,3000,0.0,2,0,8,,2015
Chase Reynolds,CIN,15596,LAR,12,,15,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
Fozzy Whittaker,DAL,15616,CAR,12,,25,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3200,0.0,0,0,0,,2015
Derrick Coleman,PIT,15631,SEA,12,,2,0,1.0,0.1,0,,,1.0,0.0,1.0,1.0,3000,0.0,0,0,0,,2015
Orleans Darkwa,WAS,16008,NYG,12,,20,0,0.0,0.2,0,,,2.0,0.0,2.0,1.0,3000,1.0,1,0,0,,2015
Damien Williams,NYJ,16031,MIA,12,,5,0,0.0,3.0,2,,,0.0,0.0,0.0,0.0,5300,0.0,4,0,10,,2015
James White,DEN,16056,NE,12,,14,0,0.0,2.6,2,,,3.0,0.0,1.0,0.3,3000,1.0,5,0,5,,2015
Jeremy Hill,LAR,16112,CIN,12,,23,0,1.0,11.0,1,,,16.0,0.0,86.0,5.4,3400,0.0,1,0,14,,2015
Nikita Whitlock,WAS,16120,NYG,12,,20,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,0,1.0,0,0,0,,2015
Isaiah Crowell,BAL,16127,CLE,12,,6,0,1.0,0.7,0,,,7.0,0.0,7.0,1.0,3700,1.0,0,0,0,,2015
Terrance West,CLE,16142,BAL,12,,16,0,0.0,3.7,0,,,7.0,0.0,37.0,5.3,3000,1.0,0,0,0,,2015
Antonio Andrews,OAK,16163,TEN,12,,21,0,1.0,5.6,1,,,11.0,0.0,32.0,2.9,4000,1.0,2,0,14,,2015
Bishop Sankey,OAK,16178,TEN,12,,21,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Alfred Blue,NO,16189,HOU,12,,29,0,1.0,15.1,1,,,16.0,1.0,77.0,4.8,3000,0.0,1,0,4,,2015
Jay Prosch,NO,16210,HOU,12,,29,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,4800,0.0,0,0,0,,2015
Juwan Thompson,NE,16287,DEN,12,,12,0,1.0,0.3,0,,,1.0,0.0,3.0,3.0,3000,1.0,0,0,0,,2015
Andre Williams,WAS,16402,NYG,12,,20,0,0.0,0.1,0,,,2.0,0.0,1.0,0.5,3000,1.0,0,0,0,,2015
Jerick McKinnon,ATL,16510,MIN,12,,30,0,0.0,3.3,0,,,5.0,0.0,33.0,6.6,3000,0.0,0,0,0,,2015
Roosevelt Nix,SEA,16534,PIT,12,,1,0,0.0,1.6,1,,,0.0,0.0,0.0,0.0,3500,0.0,1,0,6,,2015
Charles Sims,IND,16609,TB,12,,18,0,0.0,6.9,3,,,4.0,0.0,8.0,2.0,3000,0.0,3,0,31,,2015
Tre Mason,CIN,16626,LAR,12,,15,0,0.0,10.5,7,,,1.0,0.0,-2.0,-2.0,0,0.0,7,0,37,,2015
Todd Gurley,CIN,16771,LAR,12,,15,0,0.0,4.0,1,,,9.0,0.0,19.0,2.1,0,0.0,2,0,11,,2015
Melvin Gordon,JAX,16776,LAC,12,,27,0,0.0,13.0,5,,,14.0,0.0,60.0,4.3,0,1.0,5,0,20,,2015
TJ Yeldon,LAC,16797,JAX,12,,26,0,1.0,12.2,4,,,9.0,0.0,36.0,4.0,7300,1.0,5,0,46,,2015
Ameer Abdullah,PHI,16815,DET,12,,28,0,1.0,8.5,1,,,16.0,0.0,63.0,3.9,4800,0.0,2,0,12,,2015
Tevin Coleman,MIN,16834,ATL,12,,9,1,1.0,13.0,0,,,18.0,0.0,110.0,6.1,3400,0.0,2,0,0,,2015
Duke Johnson,BAL,16838,CLE,12,,6,0,1.0,10.0,5,,,7.0,0.0,27.0,3.9,4000,1.0,6,0,23,,2015
David Johnson,SF,16847,ARI,12,,32,0,0.0,10.9,2,,,8.0,1.0,21.0,2.6,3400,1.0,4,0,8,,2015
Matt Jones,NYG,16856,WAS,12,,24,0,1.0,7.4,1,,,8.0,0.0,19.0,2.4,3000,1.0,1,0,45,,2015
Jeremy Langford,GB,16867,CHI,12,,13,0,0.0,12.3,1,,,12.0,1.0,48.0,4.0,3300,1.0,3,0,5,,2015
Jalston Fowler,OAK,16869,TEN,12,,21,0,1.0,7.2,1,,,1.0,0.0,1.0,1.0,4800,1.0,1,1,1,,2015
Javorius Allen,CLE,16886,BAL,12,,16,0,0.0,18.4,4,,,12.0,0.0,55.0,4.6,3000,1.0,5,1,29,,2015
David Cobb,OAK,16898,TEN,12,,21,0,1.0,0.8,0,,,3.0,0.0,8.0,2.7,3300,1.0,1,0,0,,2015
Jay Ajayi,NYJ,16909,MIA,12,,5,0,0.0,9.8,4,,,3.0,0.0,6.0,2.0,0,0.0,6,0,52,,2015
Karlos Williams,KC,16915,BUF,12,,3,0,0.0,0.5,0,,,2.0,0.0,5.0,2.5,3000,1.0,0,0,0,,2015
Michael Burton,PHI,16928,DET,12,,28,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3800,0.0,0,0,0,,2015
Malcolm Johnson,BAL,16955,CLE,12,,6,0,1.0,1.1,1,,,0.0,0.0,0.0,0.0,3000,1.0,1,0,1,,2015
Aaron Ripkowski,CHI,16966,GB,12,,22,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Marcus Murphy,HOU,16989,NO,12,,7,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
Thomas Rawls,PIT,17050,SEA,12,,2,0,1.0,14.1,0,,,21.0,1.0,81.0,3.9,3000,0.0,1,0,0,,2015
Terron Ward,MIN,17089,ATL,12,,9,0,1.0,2.5,1,,,5.0,0.0,7.0,1.4,3000,0.0,2,0,8,,2015
Akeem Hunt,NO,17199,HOU,12,,29,0,1.0,3.5,1,,,3.0,0.0,27.0,9.0,0,0.0,1,0,-2,,2015
Rod Smith,CAR,17360,DAL,12,,19,0,1.0,1.6,1,,,0.0,0.0,0.0,0.0,3500,0.0,1,0,6,,2015
Matt Forte,SF,2699,CHI,13,,32,0,1.0,23.3,5,,,21.0,1.0,84.0,4.0,3000,1.0,5,0,39,,2015
Marcel Reece,KC,3382,OAK,13,,3,0,1.0,5.3,3,,,1.0,0.0,4.0,4.0,3000,1.0,3,0,19,,2015
Mike Tolbert,NO,4738,CAR,13,,29,0,0.0,13.1,2,,,2.0,0.0,33.0,16.5,3000,0.0,3,1,18,,2015
Adrian Peterson,SEA,4807,MIN,13,,1,0,1.0,6.4,4,,,8.0,0.0,18.0,2.2,3400,0.0,4,0,6,,2015
Jonathan Stewart,NO,5451,CAR,13,,29,1,0.0,19.3,3,,,21.0,1.0,82.0,3.9,3000,0.0,3,0,31,,2015
Fred Jackson,MIN,5701,SEA,13,,9,0,0.0,9.8,2,,,1.0,0.0,5.0,5.0,6800,0.0,2,1,13,,2015
Frank Gore,PIT,5820,IND,13,,2,0,0.0,18.4,3,,,13.0,0.0,45.0,3.5,4400,1.0,5,1,49,,2015
Darren Sproles,NE,6198,PHI,13,,12,0,0.0,20.0,4,,,15.0,0.0,66.0,4.4,3000,0.0,6,0,34,,2015
DeAngelo Williams,IND,7580,PIT,13,,18,1,1.0,23.5,5,,,26.0,0.0,134.0,5.2,4700,1.0,6,0,31,,2015
Darren McFadden,WAS,8066,DAL,13,,20,2,0.0,10.9,1,,,14.0,1.0,53.0,3.8,3400,1.0,1,0,6,,2015
Donald Brown,DEN,8604,LAC,13,,14,0,0.0,6.7,1,,,7.0,0.0,26.0,3.7,4700,1.0,1,0,31,,2015
Rashad Jennings,NYJ,8649,NYG,13,,5,0,1.0,4.3,1,,,5.0,0.0,14.0,2.8,5000,0.0,2,0,19,,2015
LeSean McCoy,HOU,11932,BUF,13,,7,0,1.0,14.2,0,,,21.0,0.0,112.0,5.3,3000,0.0,1,0,0,,2015
Chris Ivory,NYG,12239,NYJ,13,,24,1,0.0,10.9,5,,,10.0,0.0,47.0,4.7,5800,0.0,5,0,22,,2015
LeGarrette Blount,PHI,12296,NE,13,,28,0,1.0,5.4,0,,,13.0,0.0,54.0,4.2,3300,0.0,0,0,0,,2015
Danny Woodhead,DEN,12317,LAC,13,,14,0,0.0,6.4,3,,,3.0,0.0,10.0,3.3,5500,1.0,7,0,24,,2015
Joique Bell,GB,12323,DET,13,,13,0,1.0,5.0,2,,,8.0,0.0,5.0,0.6,6100,0.0,2,0,25,,2015
James Starks,DET,12506,GB,13,,17,0,0.0,11.0,5,,,9.0,0.0,15.0,1.7,5000,0.0,7,0,45,,2015
Shane Vereen,NYJ,12780,NYG,13,,5,0,1.0,4.0,2,,,4.0,0.0,13.0,3.2,5300,0.0,3,0,7,,2015
Bilal Powell,NYG,12800,NYJ,13,,24,0,0.0,24.8,8,,,6.0,0.0,17.0,2.8,3300,0.0,13,1,91,,2015
Shaun Draughn,CHI,13158,SF,13,,22,0,0.0,19.6,5,,,13.0,1.0,36.0,2.8,5300,1.0,6,0,50,,2015
Mark Ingram,CAR,13337,NO,13,,19,0,1.0,19.9,4,,,12.0,1.0,56.0,4.7,3000,0.0,6,0,23,,2015
Chris Polk,BUF,13735,HOU,13,,10,0,0.0,14.2,1,,,12.0,0.0,61.0,5.1,3000,0.0,1,1,11,,2015
Lamar Miller,BAL,13791,MIA,13,,6,1,1.0,14.8,1,,,20.0,0.0,113.0,5.6,6000,1.0,2,0,5,,2015
Ronnie Hillman,LAC,14046,DEN,13,,26,0,0.0,5.6,0,,,19.0,0.0,56.0,2.9,3800,1.0,1,0,0,,2015
Doug Martin,ATL,14385,TB,13,,30,1,1.0,16.0,1,,,25.0,1.0,95.0,3.8,3000,1.0,2,0,5,,2015
Robert Turbin,WAS,14533,DAL,13,,20,0,0.0,4.4,2,,,6.0,0.0,12.0,2.0,6200,1.0,2,0,12,,2015
Jonathan Grimes,BUF,14719,HOU,13,,10,0,0.0,8.3,2,,,5.0,0.0,28.0,5.6,3900,0.0,2,0,15,,2015
Dan Herron,PIT,14788,IND,13,,2,0,0.0,5.4,3,,,2.0,0.0,8.0,4.0,3900,1.0,3,0,16,,2015
Mike Gillislee,HOU,14872,BUF,13,,7,0,1.0,5.6,1,,,7.0,0.0,41.0,5.9,5300,0.0,1,0,5,,2015
Giovani Bernard,CLE,14916,CIN,13,,16,0,0.0,4.5,1,,,5.0,0.0,26.0,5.2,3000,1.0,1,0,9,,2015
Kerwynn Williams,LAR,15010,ARI,13,,23,0,0.0,11.9,0,,,6.0,1.0,59.0,9.8,3000,1.0,0,0,0,,2015
CJ Anderson,LAC,15020,DEN,13,,26,0,0.0,6.4,1,,,7.0,0.0,42.0,6.0,4500,1.0,1,0,12,,2015
Latavius Murray,KC,15071,OAK,13,,3,0,1.0,19.7,4,,,20.0,1.0,86.0,4.3,3000,1.0,6,0,11,,2015
Chris Thompson,DAL,15102,WAS,13,,25,0,1.0,6.4,4,,,1.0,0.0,6.0,6.0,3700,1.0,4,0,18,,2015
Theo Riddick,GB,15126,DET,13,,13,0,1.0,8.1,5,,,1.0,0.0,4.0,4.0,5600,0.0,6,0,27,,2015
Kenjon Barner,NE,15185,PHI,13,,12,1,0.0,5.6,2,,,9.0,0.0,39.0,4.3,3200,0.0,2,0,7,,2015
Spencer Ware,OAK,15261,KC,13,,21,0,0.0,10.5,2,,,7.0,1.0,26.0,3.7,3300,1.0,2,0,-1,,2015
Orleans Darkwa,NYJ,16008,NYG,13,,5,0,1.0,4.3,1,,,8.0,0.0,23.0,2.9,4800,0.0,2,0,10,,2015
James White,PHI,16056,NE,13,,28,0,1.0,30.9,10,,,2.0,0.0,4.0,2.0,3000,0.0,13,1,115,,2015
Jeremy Hill,CLE,16112,CIN,13,,16,0,0.0,15.8,0,,,22.0,1.0,98.0,4.5,3700,1.0,1,0,0,,2015
Isaiah Crowell,CIN,16127,CLE,13,,15,0,1.0,7.4,1,,,11.0,0.0,62.0,5.6,3000,1.0,1,0,2,,2015
Terrance West,MIA,16142,BAL,13,,31,0,0.0,4.6,1,,,8.0,0.0,31.0,3.9,3000,1.0,1,0,5,,2015
Antonio Andrews,JAX,16163,TEN,13,,27,0,1.0,13.8,1,,,13.0,1.0,58.0,4.5,5000,1.0,1,0,10,,2015
Juwan Thompson,LAC,16287,DEN,13,,26,0,0.0,5.1,1,,,8.0,0.0,27.0,3.4,3700,1.0,1,0,14,,2015
Charcandrick West,OAK,16307,KC,13,,21,0,0.0,6.4,2,,,9.0,0.0,35.0,3.9,3800,1.0,3,0,9,,2015
Ka'Deem Carey,SF,16427,CHI,13,,32,0,1.0,7.7,0,,,5.0,1.0,17.0,3.4,4500,1.0,0,0,0,,2015
Jerick McKinnon,SEA,16510,MIN,13,,1,0,1.0,5.4,3,,,4.0,0.0,18.0,4.5,8400,0.0,6,0,6,,2015
Devonta Freeman,TB,16524,ATL,13,,11,0,0.0,20.3,10,,,14.0,0.0,47.0,3.4,3300,1.0,11,0,56,,2015
Charles Sims,ATL,16609,TB,13,,30,0,1.0,9.7,2,,,7.0,0.0,56.0,8.0,7600,1.0,3,0,21,,2015
Tre Mason,ARI,16626,LAR,13,,8,0,0.0,4.3,2,,,2.0,0.0,13.0,6.5,3900,1.0,2,0,10,,2015
Todd Gurley,ARI,16771,LAR,13,,8,0,0.0,4.1,0,,,9.0,0.0,41.0,4.6,4800,1.0,0,0,0,,2015
Melvin Gordon,DEN,16776,LAC,13,,14,1,0.0,6.3,1,,,12.0,0.0,55.0,4.6,3400,1.0,1,0,8,,2015
TJ Yeldon,TEN,16797,JAX,13,,4,0,0.0,23.6,4,,,15.0,1.0,57.0,3.8,3400,1.0,4,0,79,,2015
Ameer Abdullah,GB,16815,DET,13,,13,0,1.0,6.7,0,,,13.0,0.0,67.0,5.2,4000,0.0,1,0,0,,2015
Duke Johnson,CIN,16838,CLE,13,,15,0,1.0,7.2,4,,,5.0,0.0,2.0,0.4,5600,1.0,4,0,30,,2015
David Johnson,LAR,16847,ARI,13,,23,0,0.0,20.0,2,,,22.0,0.0,99.0,4.5,3300,1.0,3,1,21,,2015
Matt Jones,DAL,16856,WAS,13,,25,0,1.0,6.4,1,,,18.0,0.0,49.0,2.7,3000,1.0,1,0,5,,2015
Jeremy Langford,SF,16867,CHI,13,,32,0,1.0,8.8,2,,,12.0,0.0,59.0,4.9,3200,1.0,3,0,9,,2015
Javorius Allen,MIA,16886,BAL,13,,31,0,0.0,38.0,12,,,17.0,0.0,63.0,3.7,4200,1.0,13,1,107,,2015
David Cobb,JAX,16898,TEN,13,,27,0,1.0,4.0,0,,,13.0,0.0,40.0,3.1,3800,1.0,0,0,0,,2015
Thomas Rawls,MIN,17050,SEA,13,,9,1,0.0,23.3,3,,,19.0,1.0,101.0,5.3,3600,0.0,3,0,22,,2015
Tim Hightower,TB,2262,NO,14,,11,0,0.0,16.5,1,,,28.0,1.0,85.0,3.0,6800,1.0,1,0,10,,2015
Matt Forte,WAS,2699,CHI,14,,20,0,1.0,12.3,1,,,10.0,1.0,45.0,4.5,3300,1.0,2,0,8,,2015
Mike Tolbert,ATL,4738,CAR,14,,30,0,1.0,5.0,2,,,6.0,0.0,17.0,2.8,3000,1.0,2,0,13,,2015
Adrian Peterson,ARI,4807,MIN,14,,8,1,0.0,14.6,1,,,23.0,1.0,69.0,3.0,7300,1.0,1,0,17,,2015
Jonathan Stewart,ATL,5451,CAR,14,,30,0,1.0,15.9,1,,,10.0,1.0,75.0,7.5,5200,1.0,1,0,14,,2015
Frank Gore,JAX,5820,IND,14,,27,0,0.0,6.9,1,,,16.0,0.0,60.0,3.8,3000,1.0,5,0,-1,,2015
Darren Sproles,BUF,6198,PHI,14,,10,0,1.0,12.5,2,,,7.0,1.0,41.0,5.9,4600,1.0,3,0,4,,2015
DeAngelo Williams,CIN,7580,PIT,14,,15,0,0.0,23.1,2,,,23.0,2.0,76.0,3.3,3600,0.0,2,0,15,,2015
Darren McFadden,GB,8066,DAL,14,,13,0,0.0,14.1,0,,,9.0,0.0,111.0,12.3,4600,1.0,2,0,0,,2015
Rashad Jennings,MIA,8649,NYG,14,,31,0,0.0,12.2,2,,,22.0,0.0,81.0,3.7,5700,1.0,2,0,21,,2015
CJ Spiller,TB,10949,NO,14,,11,0,0.0,3.9,3,,,3.0,0.0,2.0,0.7,5500,1.0,3,0,7,,2015
Dexter McCluster,NYJ,11220,TEN,14,,5,0,0.0,11.0,4,,,4.0,0.0,12.0,3.0,3700,0.0,5,0,38,,2015
Ryan Mathews,BUF,11256,PHI,14,,10,0,1.0,6.2,2,,,13.0,0.0,38.0,2.9,3000,1.0,2,0,4,,2015
LeSean McCoy,PHI,11932,BUF,14,,28,0,0.0,14.9,4,,,20.0,0.0,74.0,3.7,5300,1.0,7,0,35,,2015
