Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,4807,Adrian Peterson,MIN,RB,15,CHI,15,17,7100,22.5
2,16524,Devonta Freeman,ATL,RB,16,CAR,3,11,7400,20.5
3,11932,LeSean McCoy,BUF,RB,15,WAS,17,15,6300,19.9
4,16847,David Johnson,ARI,RB,16,GB,10,10,5800,19.5
5,16524,Devonta Freeman,ATL,RB,15,JAX,25,17,7500,19.4
6,16847,David Johnson,ARI,RB,15,PHI,27,20,5700,19.3
7,7580,DeAngelo Williams,PIT,RB,16,BAL,21,4,6500,19.1
8,2699,Matt Forte,CHI,RB,16,TB,17,8,6500,18.4
9,15018,Denard Robinson,JAX,RB,16,NO,32,32,5400,17.9
10,7580,DeAngelo Williams,PIT,RB,15,DEN,1,14,6600,17.6
11,14385,Doug Martin,TB,RB,16,CHI,15,20,6600,17.3
11,4807,Adrian Peterson,MIN,RB,16,NYG,31,22,7300,17.3
13,13791,Lamar Miller,MIA,RB,15,LAC,20,28,6300,16.9
14,15071,Latavius Murray,OAK,RB,16,LAC,16,28,5000,16.7
15,14385,Doug Martin,TB,RB,15,LAR,9,22,6600,16.6
16,15138,Eddie Lacy,GB,RB,15,OAK,24,16,5200,16.5
17,5820,Frank Gore,IND,RB,16,MIA,30,31,4000,16.2
18,13791,Lamar Miller,MIA,RB,16,IND,27,22,6400,16.1
19,2699,Matt Forte,CHI,RB,15,MIN,12,6,6500,16
19,15018,Denard Robinson,JAX,RB,15,ATL,11,31,4600,16
19,16307,Charcandrick West,KC,RB,16,CLE,28,25,5700,16
22,15071,Latavius Murray,OAK,RB,15,GB,9,13,4500,15.8
23,12239,Chris Ivory,NYJ,RB,15,DAL,10,27,5200,15.7
23,16307,Charcandrick West,KC,RB,15,BAL,23,4,4800,15.7
25,2262,Tim Hightower,NO,RB,15,DET,23,24,3900,15.6
25,2262,Tim Hightower,NO,RB,16,JAX,25,17,4500,15.6
27,16771,Todd Gurley,LAR,RB,15,TB,18,9,6700,15.3
27,16771,Todd Gurley,LAR,RB,16,SEA,2,1,6200,15.3
29,16915,Karlos Williams,BUF,RB,16,DAL,12,27,4500,14.5
30,16112,Jeremy Hill,CIN,RB,15,SF,26,32,5000,14.4
31,13741,Brandon Bolden,NE,RB,15,TEN,21,8,3200,13.3
32,16112,Jeremy Hill,CIN,RB,16,DEN,2,13,4900,12.5
33,16886,Javorius Allen,BAL,RB,15,KC,8,5,4500,12.1
34,15261,Spencer Ware,KC,RB,16,CLE,28,25,4000,11.2
35,16056,James White,NE,RB,16,NYJ,6,3,4700,11
36,8066,Darren McFadden,DAL,RB,16,BUF,22,19,4900,10.9
37,16886,Javorius Allen,BAL,RB,16,PIT,18,2,4200,10.8
38,12317,Danny Woodhead,LAC,RB,16,OAK,23,15,4400,10.6
39,13158,Shaun Draughn,SF,RB,15,CIN,4,12,4600,10.2
39,15126,Theo Riddick,DET,RB,15,NO,32,30,4000,10.2
