PlayerID,Name,Team,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,h/a,surface,year,def_rk
14501,LaMichael James,MIA,1,WAS,0,0,0.0,0,0,0,0,0,1,0,0.0,4500,away,grass,2015,20
14538,Jorvorskie Lane,TB,1,TEN,1,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,grass,2015,4
14620,Will Johnson,PIT,1,NE,4,7,1.8,1,0,0,0,0,0,0,6.7,3000,away,turf,2015,12
14687,Bernard Pierce,JAX,1,CAR,0,0,0.0,0,2,1,4,0,0,0,1.4,3000,home,grass,2015,19
14719,Jonathan Grimes,HOU,1,KC,6,28,4.7,0,2,1,2,0,0,0,4.0,3100,home,turf,2015,3
14731,Lance Dunbar,DAL,1,NYG,0,0,0.0,0,8,8,70,0,0,0,15.0,3000,home,turf,2015,24
14786,Patrick DiMarco,ATL,1,PHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,turf,2015,28
14789,Jamize Olawale,OAK,1,CIN,1,6,6.0,0,3,3,19,0,0,0,5.5,3000,home,grass,2015,15
14891,Tommy Bohanon,NYJ,1,CLE,2,2,1.0,0,0,0,0,0,0,0,0.2,3000,home,turf,2015,16
14901,Kyle Juszczyk,BAL,1,DEN,0,0,0.0,0,4,4,17,0,0,0,5.7,3000,away,grass,2015,14
14916,Giovani Bernard,CIN,1,OAK,8,63,7.9,0,6,6,25,0,0,0,14.8,3000,away,grass,2015,21
14917,Rex Burkhead,CIN,1,OAK,0,0,0.0,0,1,1,24,0,0,0,3.4,3000,away,grass,2015,21
15018,Denard Robinson,JAX,1,CAR,5,19,3.8,0,2,2,26,0,0,0,6.5,3000,home,grass,2015,19
15020,CJ Anderson,DEN,1,BAL,12,29,2.4,0,8,4,19,0,0,0,8.8,4700,home,grass,2015,6
15045,Knile Davis,KC,1,HOU,6,16,2.7,0,1,1,12,0,0,0,3.8,3000,away,turf,2015,7
15071,Latavius Murray,OAK,1,CIN,11,44,4.0,0,7,7,36,0,0,0,15.0,3000,home,grass,2015,15
15085,Joseph Randle,DAL,1,NYG,16,65,4.1,0,3,3,42,0,1,0,13.7,7000,home,turf,2015,24
15102,Chris Thompson,WAS,1,MIA,3,11,3.7,0,1,0,0,0,0,0,1.1,3600,home,grass,2015,31
15126,Theo Riddick,DET,1,LAC,0,0,0.0,0,2,2,37,1,0,0,11.7,5700,away,grass,2015,26
15138,Eddie Lacy,GB,1,CHI,19,85,4.5,1,3,2,14,0,0,0,17.9,5900,away,grass,2015,22
15191,Austin Johnson,NO,1,ARI,1,4,4.0,0,3,2,5,0,0,0,2.9,3000,away,grass,2015,8
15207,Benjamin Cunningham,LAR,1,SEA,16,45,2.8,0,7,4,77,0,0,0,16.2,3300,away,turf,2015,1
15224,Andre Ellington,ARI,1,NO,12,69,5.8,1,3,1,7,0,1,1,13.6,7500,home,grass,2015,29
15230,Stepfan Taylor,ARI,1,NO,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,home,grass,2015,29
15555,Zach Line,MIN,1,SF,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,grass,2015,32
15596,Chase Reynolds,LAR,1,SEA,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,turf,2015,1
15616,Fozzy Whittaker,CAR,1,JAX,2,2,1.0,0,2,2,3,0,0,0,2.5,3000,away,grass,2015,27
15631,Derrick Coleman,SEA,1,LAR,1,2,2.0,0,0,0,0,0,0,0,0.2,6400,away,grass,2015,23
15645,Khiry Robinson,NO,1,ARI,8,19,2.4,0,6,5,51,0,0,0,12.0,3000,away,grass,2015,8
15765,Toben Opurum,NO,1,ARI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,grass,2015,8
16008,Orleans Darkwa,NYG,1,DAL,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,turf,2015,25
16031,Damien Williams,MIA,1,WAS,1,0,0.0,0,1,1,3,0,0,0,1.3,3000,away,grass,2015,20
16056,James White,NE,1,PIT,0,0,0.0,0,0,0,0,0,0,0,0.0,3500,home,turf,2015,2
16112,Jeremy Hill,CIN,1,OAK,19,63,3.3,2,0,0,0,0,0,0,18.3,3000,away,grass,2015,21
16120,Nikita Whitlock,NYG,1,DAL,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,turf,2015,25
16127,Isaiah Crowell,CLE,1,NYJ,12,20,1.7,0,2,2,13,0,0,0,5.3,3000,away,turf,2015,5
16142,Terrance West,TEN,1,TB,13,41,3.2,0,0,0,0,0,1,1,3.1,3500,away,grass,2015,11
16144,Dri Archer,PIT,1,NE,0,0,0.0,0,0,0,0,0,0,0,0.0,3800,away,turf,2015,12
16178,Bishop Sankey,TEN,1,TB,12,74,6.2,1,3,2,12,1,1,0,22.6,7100,away,grass,2015,11
16189,Alfred Blue,HOU,1,KC,9,42,4.7,0,2,1,7,0,0,0,5.9,3000,home,turf,2015,3
16210,Jay Prosch,HOU,1,KC,0,0,0.0,0,0,0,0,0,0,0,0.0,4600,home,turf,2015,3
16287,Juwan Thompson,DEN,1,BAL,0,0,0.0,0,0,0,0,0,0,0,0.0,3600,home,grass,2015,6
16307,Charcandrick West,KC,1,HOU,0,0,0.0,0,0,0,0,0,0,0,0.0,3300,away,turf,2015,7
16345,Branden Oliver,LAC,1,DET,2,4,2.0,0,1,1,17,0,0,0,3.1,3000,away,turf,2015,17
16378,Keith Smith,DAL,1,NYG,0,0,0.0,0,0,0,0,0,0,0,0.0,4300,home,turf,2015,24
16402,Andre Williams,NYG,1,DAL,6,14,2.3,0,0,0,0,0,0,0,1.4,3600,away,turf,2015,25
16510,Jerick McKinnon,MIN,1,SF,3,20,6.7,0,2,2,8,0,0,0,4.8,3000,away,grass,2015,32
16524,Devonta Freeman,ATL,1,PHI,10,18,1.8,0,4,3,29,0,0,0,7.7,3000,home,turf,2015,28
16534,Roosevelt Nix,PIT,1,NE,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,turf,2015,12
16609,Charles Sims,TB,1,TEN,5,12,2.4,0,5,2,23,0,0,0,5.5,3500,home,grass,2015,4
16668,Carlos Hyde,SF,1,MIN,26,168,6.5,2,2,2,14,0,0,0,35.2,3000,home,grass,2015,9
16776,Melvin Gordon,LAC,1,DET,14,51,3.6,0,3,3,16,0,1,1,8.7,3000,away,turf,2015,17
16797,TJ Yeldon,JAX,1,CAR,12,51,4.2,0,4,3,16,0,0,0,9.7,3300,home,grass,2015,19
16815,Ameer Abdullah,DET,1,LAC,7,50,7.1,1,4,4,44,0,1,0,19.4,4300,away,grass,2015,26
16834,Tevin Coleman,ATL,1,PHI,20,80,4.0,0,2,0,0,0,0,0,8.0,3800,home,turf,2015,28
