Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,16847,David Johnson,ARI,RB,15,PHI,29,187,6.4,3,4,4,42,0,0,0,47.9,47.9
2,12317,Danny Woodhead,LAC,RB,15,MIA,8,10,1.2,1,6,6,50,3,0,0,36,36
3,16127,Isaiah Crowell,CLE,RB,14,SF,20,145,7.2,2,1,1,9,0,0,0,31.4,31.4
4,16771,Todd Gurley,LAR,RB,14,DET,16,140,8.8,2,2,1,7,0,0,0,30.7,30.7
5,12506,James Starks,GB,RB,14,DAL,11,71,6.5,1,4,4,32,1,0,0,26.3,26.3
6,15138,Eddie Lacy,GB,RB,14,DAL,24,124,5.2,1,1,1,24,0,0,0,24.8,24.8
7,7580,DeAngelo Williams,PIT,RB,14,CIN,23,76,3.3,2,2,2,15,0,0,0,23.1,23.1
7,16524,Devonta Freeman,ATL,RB,15,JAX,25,56,2.2,1,10,7,45,0,0,0,23.1,23.1
9,2699,Matt Forte,CHI,RB,15,MIN,8,47,5.9,0,7,6,57,1,0,0,22.4,22.4
10,12780,Shane Vereen,NYG,RB,15,CAR,4,29,7.2,0,10,8,43,1,0,0,21.2,21.2
11,13791,Lamar Miller,MIA,RB,14,NYG,12,89,7.4,2,0,0,0,0,0,0,20.9,20.9
11,12800,Bilal Powell,NYJ,RB,15,DAL,6,25,4.2,1,7,7,54,0,0,0,20.9,20.9
13,16056,James White,NE,RB,15,TEN,1,6,6,0,8,7,71,1,0,0,20.7,20.7
14,8649,Rashad Jennings,NYG,RB,15,CAR,16,107,6.7,1,3,1,0,0,1,1,19.7,19.7
15,12800,Bilal Powell,NYJ,RB,14,TEN,3,36,12,0,5,5,46,1,0,0,19.2,19.2
16,16510,Jerick McKinnon,MIN,RB,15,CHI,7,10,1.4,0,4,4,76,1,0,0,18.6,18.6
17,12323,Joique Bell,DET,RB,15,NO,8,71,8.9,1,3,2,30,0,1,0,18.1,18.1
18,16847,David Johnson,ARI,RB,14,MIN,19,92,4.8,0,7,5,31,0,0,0,17.3,17.3
19,15018,Denard Robinson,JAX,RB,15,ATL,14,41,2.9,0,10,8,46,0,2,0,16.7,16.7
20,7580,DeAngelo Williams,PIT,RB,15,DEN,14,26,1.9,1,6,5,30,0,0,0,16.6,16.6
21,2262,Tim Hightower,NO,RB,14,TB,28,85,3,1,1,1,10,0,0,0,16.5,16.5
21,16307,Charcandrick West,KC,RB,15,BAL,16,76,4.8,1,2,2,9,0,0,0,16.5,16.5
23,14872,Mike Gillislee,BUF,RB,15,WAS,4,81,20.2,1,2,2,2,0,0,0,16.3,16.3
