Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,16524,Devonta Freeman,ATL,RB,17,NO,32,30,7600,23.4
2,7580,DeAngelo Williams,PIT,RB,17,CLE,27,22,7100,19.8
3,16847,David Johnson,ARI,RB,17,SEA,1,1,6000,18.8
4,4807,Adrian Peterson,MIN,RB,17,GB,12,15,7200,17.7
5,2262,Tim Hightower,NO,RB,17,ATL,9,28,5500,17.2
6,8066,Darren McFadden,DAL,RB,17,WAS,21,18,4900,16.8
7,12239,Chris Ivory,NYJ,RB,17,BUF,17,17,4400,15.7
8,16307,Charcandrick West,KC,RB,17,OAK,23,16,5700,15.4
9,13791,Lamar Miller,MIA,RB,17,NE,10,7,6200,15.2
10,16056,James White,NE,RB,17,MIA,29,32,5000,15.1
11,16915,Karlos Williams,BUF,RB,17,NYJ,6,2,4800,15
12,16112,Jeremy Hill,CIN,RB,17,BAL,19,6,4700,14.3
13,15138,Eddie Lacy,GB,RB,17,MIN,11,10,4500,14.1
14,16626,Tre Mason,LAR,RB,17,SF,25,31,3000,13.9
15,11256,Ryan Mathews,PHI,RB,17,NYG,31,25,3600,13.1
16,12317,Danny Woodhead,LAC,RB,17,DEN,2,10,5000,10.7
17,15126,Theo Riddick,DET,RB,17,CHI,15,23,4000,10.6
18,16886,Javorius Allen,BAL,RB,17,CIN,5,13,4400,10.4
19,14385,Doug Martin,TB,RB,17,CAR,4,11,6700,10.2
20,8649,Rashad Jennings,NYG,RB,17,PHI,30,26,3700,10.1
21,5820,Frank Gore,IND,RB,17,TEN,22,9,4000,10
22,14916,Giovani Bernard,CIN,RB,17,BAL,19,6,4100,9.8
23,15071,Latavius Murray,OAK,RB,17,KC,8,4,5200,9.7
24,16609,Charles Sims,TB,RB,17,CAR,4,11,3900,9.5
25,16867,Jeremy Langford,CHI,RB,17,DET,24,20,3900,9.2
26,15261,Spencer Ware,KC,RB,17,OAK,23,16,3600,9.1
27,2699,Matt Forte,CHI,RB,17,DET,24,20,6200,8.9
27,15018,Denard Robinson,JAX,RB,17,HOU,7,15,5400,8.9
27,16838,Duke Johnson,CLE,RB,17,PIT,20,3,3500,8.9
30,6198,Darren Sproles,PHI,RB,17,NYG,31,25,4100,8.7
31,14046,Ronnie Hillman,DEN,RB,17,LAC,16,27,4200,8.5
32,957,Pierre Thomas,WAS,RB,17,DAL,11,29,3400,7.9
33,15020,CJ Anderson,DEN,RB,17,LAC,16,27,3700,7.7
