Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,16886,Javorius Allen,BAL,RB,13,MIA,17,63,3.7,0,13,12,107,1,0,0,38,38
2,16127,Isaiah Crowell,CLE,RB,14,SF,20,145,7.2,2,1,1,9,0,0,0,31.4,31.4
3,16056,James White,NE,RB,13,PHI,2,4,2,0,13,10,115,1,0,0,30.9,30.9
4,16771,Todd Gurley,LAR,RB,14,DET,16,140,8.8,2,2,1,7,0,0,0,30.7,30.7
5,12506,James Starks,GB,RB,14,DAL,11,71,6.5,1,4,4,32,1,0,0,26.3,26.3
6,15138,Eddie Lacy,GB,RB,14,DAL,24,124,5.2,1,1,1,24,0,0,0,24.8,24.8
6,12800,Bilal Powell,NYJ,RB,13,NYG,6,17,2.8,0,13,8,91,1,0,0,24.8,24.8
8,16797,TJ Yeldon,JAX,RB,13,TEN,15,57,3.8,1,4,4,79,0,0,0,23.6,23.6
9,7580,DeAngelo Williams,PIT,RB,13,IND,26,134,5.2,0,6,5,31,0,2,1,23.5,23.5
10,2699,Matt Forte,CHI,RB,13,SF,21,84,4,1,5,5,39,0,0,0,23.3,23.3
10,17050,Thomas Rawls,SEA,RB,13,MIN,19,101,5.3,1,3,3,22,0,1,1,23.3,23.3
12,7580,DeAngelo Williams,PIT,RB,14,CIN,23,76,3.3,2,2,2,15,0,0,0,23.1,23.1
13,13791,Lamar Miller,MIA,RB,14,NYG,12,89,7.4,2,0,0,0,0,0,0,20.9,20.9
14,16524,Devonta Freeman,ATL,RB,13,TB,14,47,3.4,0,11,10,56,0,0,0,20.3,20.3
15,16847,David Johnson,ARI,RB,13,LAR,22,99,4.5,0,3,2,21,1,1,0,20,20
15,6198,Darren Sproles,PHI,RB,13,NE,15,66,4.4,0,6,4,34,0,0,0,20,20
17,13337,Mark Ingram,NO,RB,13,CAR,12,56,4.7,1,6,4,23,0,1,0,19.9,19.9
18,15071,Latavius Murray,OAK,RB,13,KC,20,86,4.3,1,6,4,11,0,2,0,19.7,19.7
19,13158,Shaun Draughn,SF,RB,13,CHI,13,36,2.8,1,6,5,50,0,0,0,19.6,19.6
20,5451,Jonathan Stewart,CAR,RB,13,NO,21,82,3.9,1,3,3,31,0,1,1,19.3,19.3
21,12800,Bilal Powell,NYJ,RB,14,TEN,3,36,12,0,5,5,46,1,0,0,19.2,19.2
22,5820,Frank Gore,IND,RB,13,PIT,13,45,3.5,0,5,3,49,1,0,0,18.4,18.4
23,16847,David Johnson,ARI,RB,14,MIN,19,92,4.8,0,7,5,31,0,0,0,17.3,17.3
24,2262,Tim Hightower,NO,RB,14,TB,28,85,3,1,1,1,10,0,0,0,16.5,16.5
25,14385,Doug Martin,TB,RB,13,ATL,25,95,3.8,1,2,1,5,0,1,1,16,16
26,5451,Jonathan Stewart,CAR,RB,14,ATL,10,75,7.5,1,1,1,14,0,0,0,15.9,15.9
27,16112,Jeremy Hill,CIN,RB,13,CLE,22,98,4.5,1,1,0,0,0,0,0,15.8,15.8
28,15018,Denard Robinson,JAX,RB,14,IND,14,75,5.4,1,2,1,12,0,0,0,15.7,15.7
29,14385,Doug Martin,TB,RB,14,NO,11,81,7.4,1,3,1,5,0,0,0,15.6,15.6
30,11932,LeSean McCoy,BUF,RB,14,PHI,20,74,3.7,0,7,4,35,0,0,0,14.9,14.9
31,13791,Lamar Miller,MIA,RB,13,BAL,20,113,5.6,0,2,1,5,0,1,1,14.8,14.8
32,12239,Chris Ivory,NYJ,RB,14,TEN,22,101,4.6,0,2,1,6,0,0,0,14.7,14.7
33,4807,Adrian Peterson,MIN,RB,14,ARI,23,69,3,1,1,1,17,0,1,1,14.6,14.6
34,13735,Chris Polk,HOU,RB,13,BUF,12,61,5.1,0,1,1,11,1,0,0,14.2,14.2
34,11932,LeSean McCoy,BUF,RB,13,HOU,21,112,5.3,0,1,0,0,0,0,0,14.2,14.2
36,8066,Darren McFadden,DAL,RB,14,GB,9,111,12.3,0,2,0,0,0,0,0,14.1,14.1
37,16056,James White,NE,RB,14,HOU,1,2,2,1,6,4,38,0,0,0,14,14
38,16163,Antonio Andrews,TEN,RB,13,JAX,13,58,4.5,1,1,1,10,0,0,0,13.8,13.8
39,16609,Charles Sims,TB,RB,14,NO,5,10,2,0,8,6,64,0,0,0,13.4,13.4
40,15126,Theo Riddick,DET,RB,14,LAR,3,18,6,0,11,7,44,0,0,0,13.2,13.2
41,4738,Mike Tolbert,CAR,FB,13,NO,2,33,16.5,0,3,2,18,1,0,0,13.1,13.1
41,14046,Ronnie Hillman,DEN,RB,14,OAK,12,20,1.7,0,9,7,41,0,1,0,13.1,13.1
43,6198,Darren Sproles,PHI,RB,14,BUF,7,41,5.9,1,3,2,4,0,0,0,12.5,12.5
44,2699,Matt Forte,CHI,RB,14,WAS,10,45,4.5,1,2,1,8,0,0,0,12.3,12.3
45,8649,Rashad Jennings,NYG,RB,14,MIA,22,81,3.7,0,2,2,21,0,0,0,12.2,12.2
46,15010,Kerwynn Williams,ARI,RB,13,LAR,6,59,9.8,1,0,0,0,0,1,0,11.9,11.9
47,14533,Robert Turbin,DAL,RB,14,GB,7,51,7.3,1,0,0,0,0,0,0,11.1,11.1
48,11220,Dexter McCluster,TEN,RB,14,NYJ,4,12,3,0,5,4,38,0,0,0,11,11
48,12506,James Starks,GB,RB,13,DET,9,15,1.7,0,7,5,45,0,2,0,11,11
50,8066,Darren McFadden,DAL,RB,13,WAS,14,53,3.8,1,1,1,6,0,2,2,10.9,10.9
50,12239,Chris Ivory,NYJ,RB,13,NYG,10,47,4.7,0,5,5,22,0,1,1,10.9,10.9
52,16856,Matt Jones,WAS,RB,14,CHI,18,62,3.4,0,3,2,24,0,1,0,10.6,10.6
53,15261,Spencer Ware,KC,RB,13,OAK,7,26,3.7,1,2,2,-1,0,1,0,10.5,10.5
54,16776,Melvin Gordon,LAC,RB,14,KC,14,35,2.5,0,4,4,28,0,0,0,10.3,10.3
55,14872,Mike Gillislee,BUF,RB,14,PHI,3,24,8,1,1,1,6,0,0,0,10,10
56,15616,Fozzy Whittaker,CAR,RB,14,ATL,8,34,4.2,1,1,1,-6,0,0,0,9.8,9.8
56,5701,Fred Jackson,SEA,RB,13,MIN,1,5,5,0,2,2,13,1,0,0,9.8,9.8
56,16886,Javorius Allen,BAL,RB,14,SEA,8,14,1.8,0,9,5,44,0,1,1,9.8,9.8
59,16609,Charles Sims,TB,RB,13,ATL,7,56,8,0,3,2,21,0,0,0,9.7,9.7
59,14916,Giovani Bernard,CIN,RB,14,PIT,6,40,6.7,0,5,3,27,0,0,0,9.7,9.7
59,16240,Zurlon Tipton,IND,RB,14,JAX,1,7,7,0,5,4,50,0,0,0,9.7,9.7
62,12323,Joique Bell,DET,RB,14,LAR,7,50,7.1,0,2,2,25,0,0,0,9.5,9.5
63,16838,Duke Johnson,CLE,RB,14,SF,13,78,6,0,3,1,6,0,0,0,9.4,9.4
63,16867,Jeremy Langford,CHI,RB,14,WAS,11,37,3.4,0,7,3,27,0,0,0,9.4,9.4
65,16867,Jeremy Langford,CHI,RB,13,SF,12,59,4.9,0,3,2,9,0,0,0,8.8,8.8
66,14269,Alfred Morris,WAS,RB,14,CHI,11,24,2.2,1,1,0,0,0,0,0,8.4,8.4
67,14719,Jonathan Grimes,HOU,RB,13,BUF,5,28,5.6,0,2,2,15,0,0,0,8.3,8.3
68,14719,Jonathan Grimes,HOU,RB,14,NE,7,53,7.6,0,2,2,9,0,0,0,8.2,8.2
68,16524,Devonta Freeman,ATL,RB,14,CAR,12,40,3.3,0,5,3,22,0,1,1,8.2,8.2
70,15126,Theo Riddick,DET,RB,13,GB,1,4,4,0,6,5,27,0,0,0,8.1,8.1
71,16163,Antonio Andrews,TEN,RB,14,NYJ,4,8,2,0,2,1,6,0,0,0,8,8.04
72,16427,Ka'Deem Carey,CHI,RB,13,SF,5,17,3.4,1,0,0,0,0,0,0,7.7,7.7
73,14917,Rex Burkhead,CIN,RB,14,PIT,0,0,0,0,1,1,5,1,0,0,7.5,7.5
74,16127,Isaiah Crowell,CLE,RB,13,CIN,11,62,5.6,0,1,1,2,0,0,0,7.4,7.4
75,16797,TJ Yeldon,JAX,RB,14,IND,11,62,5.6,0,1,1,1,0,0,0,7.3,7.3
76,16838,Duke Johnson,CLE,RB,13,CIN,5,2,0.4,0,4,4,30,0,0,0,7.2,7.2
77,13158,Shaun Draughn,SF,RB,14,CLE,11,43,3.9,0,3,2,8,0,0,0,7.1,7.1
78,5820,Frank Gore,IND,RB,14,JAX,16,60,3.8,0,5,1,-1,0,0,0,6.9,6.9
78,16287,Juwan Thompson,DEN,RB,14,OAK,5,8,1.6,0,6,4,21,0,0,0,6.9,6.9
80,13735,Chris Polk,HOU,RB,14,NE,11,34,3.1,0,2,2,14,0,0,0,6.8,6.8
81,16815,Ameer Abdullah,DET,RB,13,GB,13,67,5.2,0,1,0,0,0,0,0,6.7,6.7
81,8604,Donald Brown,LAC,RB,13,DEN,7,26,3.7,0,1,1,31,0,1,0,6.7,6.7
83,15020,CJ Anderson,DEN,RB,13,LAC,7,42,6,0,1,1,12,0,0,0,6.4,6.4
83,16856,Matt Jones,WAS,RB,13,DAL,18,49,2.7,0,1,1,5,0,0,0,6.4,6.4
83,16307,Charcandrick West,KC,RB,13,OAK,9,35,3.9,0,3,2,9,0,1,0,6.4,6.4
83,16815,Ameer Abdullah,DET,RB,14,LAR,7,23,3.3,0,2,2,21,0,0,0,6.4,6.4
83,12317,Danny Woodhead,LAC,RB,13,DEN,3,10,3.3,0,7,3,24,0,0,0,6.4,6.4
83,4807,Adrian Peterson,MIN,RB,13,SEA,8,18,2.2,0,4,4,6,0,0,0,6.4,6.4
83,15102,Chris Thompson,WAS,RB,13,DAL,1,6,6,0,4,4,18,0,0,0,6.4,6.4
90,16776,Melvin Gordon,LAC,RB,13,DEN,12,55,4.6,0,1,1,8,0,2,1,6.3,6.3
91,11256,Ryan Mathews,PHI,RB,14,BUF,13,38,2.9,0,2,2,4,0,0,0,6.2,6.2
92,13124,DeMarco Murray,PHI,RB,14,BUF,11,34,3.1,0,2,2,3,0,0,0,5.7,5.7
93,14046,Ronnie Hillman,DEN,RB,13,LAC,19,56,2.9,0,1,0,0,0,0,0,5.6,5.6
93,14872,Mike Gillislee,BUF,RB,13,HOU,7,41,5.9,0,1,1,5,0,0,0,5.6,5.6
93,15185,Kenjon Barner,PHI,RB,13,NE,9,39,4.3,0,2,2,7,0,1,1,5.6,5.6
