Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,16524,Devonta Freeman,ATL,RB,14,CAR,3,12,7700,20.9
2,16524,Devonta Freeman,ATL,RB,13,TB,18,8,8000,20.4
3,11932,LeSean McCoy,BUF,RB,14,PHI,26,19,6100,19.3
4,11932,LeSean McCoy,BUF,RB,13,HOU,10,19,5700,19.1
5,7580,DeAngelo Williams,PIT,RB,14,CIN,4,10,6000,19
6,13337,Mark Ingram,NO,RB,13,CAR,2,10,6400,18.8
7,14385,Doug Martin,TB,RB,14,NO,32,30,6200,18.6
7,2699,Matt Forte,CHI,RB,14,WAS,17,14,6800,18.6
9,4807,Adrian Peterson,MIN,RB,13,SEA,3,2,6600,18
9,16847,David Johnson,ARI,RB,14,MIN,10,7,4300,18
9,17050,Thomas Rawls,SEA,RB,14,BAL,21,4,5800,18
12,7580,DeAngelo Williams,PIT,RB,13,IND,23,25,5600,17.8
12,16886,Javorius Allen,BAL,RB,13,MIA,29,31,5400,17.8
14,17050,Thomas Rawls,SEA,RB,13,MIN,6,5,5400,17.7
14,4807,Adrian Peterson,MIN,RB,14,ARI,5,8,6900,17.7
16,16847,David Johnson,ARI,RB,13,LAR,4,17,3400,17.6
17,16307,Charcandrick West,KC,RB,13,OAK,28,24,5200,17.4
18,14385,Doug Martin,TB,RB,13,ATL,7,30,5900,17.1
19,5451,Jonathan Stewart,CAR,RB,14,ATL,6,28,5800,17
20,5451,Jonathan Stewart,CAR,RB,13,NO,32,29,5300,16.6
20,16771,Todd Gurley,LAR,RB,13,ARI,8,11,7300,16.6
22,12239,Chris Ivory,NYJ,RB,13,NYG,30,23,5900,16.5
23,2699,Matt Forte,CHI,RB,13,SF,27,28,6900,16.4
24,15020,CJ Anderson,DEN,RB,13,LAC,25,32,3500,16.3
25,15138,Eddie Lacy,GB,RB,13,DET,23,25,5000,16.2
26,16307,Charcandrick West,KC,RB,14,LAC,22,29,5100,15.6
27,16771,Todd Gurley,LAR,RB,14,DET,23,21,6800,15.3
28,14046,Ronnie Hillman,DEN,RB,14,OAK,25,20,4700,15.2
29,12239,Chris Ivory,NYJ,RB,14,TEN,18,5,5000,14.8
30,12296,LeGarrette Blount,NE,RB,13,PHI,26,15,5100,14.7
31,16867,Jeremy Langford,CHI,RB,13,SF,27,28,5300,14.2
32,15138,Eddie Lacy,GB,RB,14,DAL,8,24,4700,14.1
33,16112,Jeremy Hill,CIN,RB,14,PIT,19,3,4600,13.7
34,16112,Jeremy Hill,CIN,RB,13,CLE,31,27,4800,13.6
35,14046,Ronnie Hillman,DEN,RB,13,LAC,25,32,4500,13.4
36,12296,LeGarrette Blount,NE,RB,14,HOU,12,19,4800,12.7
36,13158,Shaun Draughn,SF,RB,14,CLE,31,27,4800,12.7
38,8066,Darren McFadden,DAL,RB,13,WAS,21,15,5300,12.6
38,13158,Shaun Draughn,SF,RB,13,CHI,13,16,4000,12.6
40,13791,Lamar Miller,MIA,RB,14,NYG,31,22,5700,12.4
41,13791,Lamar Miller,MIA,RB,13,BAL,22,6,5800,12
41,16886,Javorius Allen,BAL,RB,14,SEA,2,1,5300,12
43,15261,Spencer Ware,KC,RB,14,LAC,22,29,4500,11.8
44,16797,TJ Yeldon,JAX,RB,14,IND,29,25,4900,11.7
45,16797,TJ Yeldon,JAX,RB,13,TEN,15,4,4800,11.2
46,15261,Spencer Ware,KC,RB,13,OAK,28,24,4900,11.1
47,8066,Darren McFadden,DAL,RB,14,GB,15,11,5000,11
48,13124,DeMarco Murray,PHI,RB,13,NE,14,13,5800,10.9
