player,games,avg_points,wght_avg,sal_avg,val
Lawrence Thomas,2.0,1.72,1.72,2250.25,1308.28
Devante Mays,2.0,1.42,1.42,2250.25,1584.68
Senorise Perry,2.0,1.87,1.87,4752.55,2541.47
Tion Green,5.0,5.93,5.94,3647.77,615.14
Brian Hill,3.0,2.96,2.96,3691.84,1247.24
Leshun Daniels Jr.,2.0,0.86,0.86,2620.96,3047.63
Roosevelt Nix,2.0,3.48,3.48,3695.33,1061.88
Alex Armah,3.0,2.34,2.34,3099.21,1324.45
Saquon Barkley,4.0,18.15,18.17,2159.6,118.99
Nick Chubb,4.0,7.56,7.57,2366.82,313.07
Rashaad Penny,4.0,4.04,4.04,3225.15,798.3
Kerryon Johnson,4.0,9.77,9.78,3474.83,355.66
Royce Freeman,4.0,8.62,8.63,1655.22,192.02
Nyheim Hines,4.0,12.43,12.44,3149.26,253.36
Chase Edmonds,4.0,4.21,4.21,2327.63,552.88
Jordan Wilkins,4.0,5.28,5.29,2069.71,391.99
Trenton Cannon,1.0,2.8,2.8,2657.29,949.03
Phillip Lindsay,4.0,11.01,11.02,4378.93,397.72
Shaun Wilson,2.0,0.84,0.84,1390.42,1655.26
Sony Michel,3.0,8.96,8.97,3107.29,346.8
Ito Smith,3.0,7.43,7.44,2732.51,367.77
Detrez Newsome,1.0,0.14,0.14,2143.0,15307.14
Tre Madden,1.0,0.31,0.31,2571.57,8295.39
Josh Adams,1.0,2.71,2.71,4114.43,1518.24
Mike Boone,1.0,1.94,1.94,6685.86,3446.32
Jeremy McNichols,1.0,0.49,0.49,2571.57,5248.1
Kalen Ballage,1.0,0.4,0.4,3085.86,7714.65
Ronald Jones II,1.0,3.4,3.4,3771.57,1109.29
Mark Walton,1.0,5.03,5.03,4800.14,954.3
Roc Thomas,1.0,0.49,0.49,3257.29,6647.53
Trey Williams,1.0,1.17,1.17,5057.29,4322.47
Cedric Peerman,1.0,1.43,1.43,2828.71,1978.12
Bronson Hill,2.0,0.7,0.7,1575.77,2251.1
Trey Edmunds,1.0,9.4,9.4,3000.14,319.16
