Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,17050,Thomas Rawls,SEA,RB,11,SF,30,209,7,1,3,3,46,1,0,0,43.5,43.5
2,4807,Adrian Peterson,MIN,RB,12,ATL,29,158,5.4,2,4,2,29,0,0,0,35.7,35.7
3,15020,CJ Anderson,DEN,RB,12,NE,15,113,7.5,2,4,4,40,0,0,0,34.3,34.3
4,14385,Doug Martin,TB,RB,11,PHI,27,235,8.7,0,1,0,0,0,0,0,26.5,26.5
5,15138,Eddie Lacy,GB,RB,12,CHI,17,105,6.2,0,5,4,34,1,1,1,25.9,25.9
6,14916,Giovani Bernard,CIN,RB,11,ARI,6,18,3,0,10,8,128,0,1,0,25.6,25.6
7,7580,DeAngelo Williams,PIT,RB,12,SEA,8,29,3.6,1,7,7,88,0,0,0,24.7,24.7
8,11932,LeSean McCoy,BUF,RB,11,NE,20,82,4.1,1,10,6,41,0,0,0,24.3,24.3
9,15261,Spencer Ware,KC,RB,12,BUF,19,114,6,1,3,3,1,0,0,0,23.5,23.5
10,15261,Spencer Ware,KC,RB,11,LAC,11,96,8.7,2,1,1,5,0,0,0,23.1,23.1
11,5451,Jonathan Stewart,CAR,RB,11,WAS,21,102,4.9,0,1,1,12,1,0,0,21.4,21.4
12,2220,Ahmad Bradshaw,IND,RB,11,ATL,9,32,3.6,0,4,4,20,2,0,0,21.2,21.2
13,8066,Darren McFadden,DAL,RB,11,MIA,29,129,4.4,0,3,3,20,0,0,0,20.9,20.9
14,13741,Brandon Bolden,NE,RB,12,DEN,4,11,2.8,0,4,4,84,1,0,0,19.5,19.5
15,16056,James White,NE,RB,11,BUF,2,14,7,1,3,2,32,1,0,0,18.6,18.6
16,16886,Javorius Allen,BAL,RB,12,CLE,12,55,4.6,0,5,4,29,1,0,0,18.4,18.4
17,12239,Chris Ivory,NYJ,RB,12,MIA,21,87,4.1,1,2,2,15,0,0,0,18.2,18.2
17,16189,Alfred Blue,HOU,RB,11,NYJ,21,58,2.8,0,3,3,34,1,0,0,18.2,18.2
19,11932,LeSean McCoy,BUF,RB,12,KC,19,70,3.7,0,5,3,31,1,1,1,18.1,18.1
20,15126,Theo Riddick,DET,RB,12,PHI,2,6,3,0,5,5,62,1,0,0,17.8,17.8
21,14786,Patrick DiMarco,ATL,FB,11,IND,0,0,0,0,4,3,21,2,0,0,17.1,17.1
22,16112,Jeremy Hill,CIN,RB,11,ARI,13,45,3.5,2,0,0,0,0,0,0,16.5,16.5
22,16886,Javorius Allen,BAL,RB,11,LAR,22,67,3,0,6,5,48,0,0,0,16.5,16.5
24,12323,Joique Bell,DET,RB,12,PHI,7,25,3.6,1,3,2,57,0,0,0,16.2,16.2
25,16609,Charles Sims,TB,RB,11,PHI,10,43,4.3,0,4,3,26,1,0,0,15.9,15.9
