games,year,Name,Team,Week,Opponent,att,yds,td,tar,rec_yds,def_rk,h/a_1,surface_0,points
14,2015,David Johnson,ARI,15,PHI,29,187,3,4,42,28,0.0,1.0,47.9
15,2015,David Johnson,ARI,16,GB,9,39,1,6,88,13,1.0,1.0,21.7
16,2015,David Johnson,ARI,17,SEA,11,25,0,8,34,1,1.0,1.0,8.9
17,2016,David Johnson,ARI,1,NE,16,89,1,6,43,7,1.0,1.0,23.2
18,2016,David Johnson,ARI,2,TB,12,45,0,5,98,22,1.0,1.0,17.3
19,2016,David Johnson,ARI,3,BUF,19,83,2,6,28,24,0.0,0.0,26.1
20,2016,David Johnson,ARI,4,LAR,17,83,0,4,41,16,1.0,1.0,15.4
21,2016,David Johnson,ARI,5,SF,27,157,2,6,28,32,0.0,1.0,36.5
22,2016,David Johnson,ARI,6,NYJ,22,111,3,6,27,19,1.0,1.0,37.8
23,2016,David Johnson,ARI,7,SEA,33,113,0,13,58,4,1.0,1.0,28.1
24,2016,David Johnson,ARI,8,CAR,10,24,0,9,84,15,0.0,1.0,17.8
25,2016,David Johnson,ARI,10,SF,19,55,1,7,46,32,1.0,1.0,27.1
26,2016,David Johnson,ARI,11,MIN,22,103,1,11,57,8,0.0,0.0,38.0
27,2016,David Johnson,ARI,12,ATL,13,58,0,11,103,29,0.0,0.0,33.1
28,2016,David Johnson,ARI,13,WAS,18,84,1,12,91,26,1.0,1.0,38.5
29,2016,David Johnson,ARI,14,MIA,20,80,0,8,41,20,0.0,1.0,18.1
30,2016,David Johnson,ARI,15,NO,12,53,2,5,55,30,1.0,1.0,26.8
31,2016,David Johnson,ARI,16,SEA,28,95,3,7,41,4,0.0,0.0,34.6
32,2016,David Johnson,ARI,17,LAR,5,6,0,4,38,16,0.0,1.0,7.4
33,2017,David Johnson,ARI,1,DET,11,23,0,9,67,31,0.0,0.0,14.0
34,2018,David Johnson,ARI,1,WAS,9,37,1,9,30,14,1.0,1.0,17.7
35,2018,David Johnson,ARI,2,LAR,13,48,0,2,3,11,0.0,1.0,6.1
36,2018,David Johnson,ARI,3,CHI,12,31,0,4,30,1,1.0,1.0,16.1
37,2018,David Johnson,ARI,3,CHI,12,31,0,4,30,2,1.0,1.0,16.1
38,2018,David Johnson,ARI,4,SEA,22,71,1,4,41,10,1.0,1.0,19.2
39,2018,David Johnson,ARI,4,SEA,22,71,1,4,41,16,1.0,1.0,19.2
40,2018,David Johnson,ARI,5,SF,18,55,2,3,16,22,0.0,1.0,21.1
41,2018,David Johnson,ARI,6,MIN,18,54,1,5,15,5,0.0,0.0,13.9
42,2018,David Johnson,ARI,7,DEN,14,39,0,3,31,26,1.0,1.0,10.0
43,2018,David Johnson,ARI,8,SF,16,59,0,4,41,5,1.0,1.0,14.0
1,2018,David Williams,JAX,7,HOU,1,2,0,0,0,14,1.0,1.0,0.2
1,2017,De'Angelo Henderson,DEN,1,LAC,0,0,0,0,0,23,1.0,1.0,0.0
2,2017,De'Angelo Henderson,DEN,2,DAL,0,0,0,0,0,8,1.0,1.0,0.0
3,2017,De'Angelo Henderson,DEN,3,BUF,1,1,0,0,0,32,0.0,0.0,0.1
4,2017,De'Angelo Henderson,DEN,16,WAS,1,-3,0,1,7,28,0.0,1.0,1.4
5,2017,De'Angelo Henderson,DEN,17,KC,5,15,0,1,29,6,1.0,1.0,11.4
1,2018,De'Lance Turner,BAL,2,CIN,0,0,0,0,0,21,0.0,0.0,0.0
2,2018,De'Lance Turner,BAL,3,DEN,0,0,0,0,0,20,1.0,1.0,0.0
3,2018,De'Lance Turner,BAL,3,DEN,0,0,0,0,0,25,1.0,1.0,0.0
4,2018,De'Lance Turner,BAL,4,PIT,1,4,0,1,10,4,0.0,1.0,2.4
5,2018,De'Lance Turner,BAL,4,PIT,1,4,0,1,10,3,0.0,1.0,2.4
6,2018,De'Lance Turner,BAL,5,CLE,0,0,0,1,7,27,0.0,1.0,1.7
1,2017,De'Veon Smith,MIA,13,DEN,0,0,0,0,0,4,1.0,1.0,0.0
2,2017,De'Veon Smith,MIA,14,NE,0,0,0,0,0,16,1.0,1.0,0.0
3,2017,De'Veon Smith,MIA,15,BUF,0,0,0,0,0,32,0.0,0.0,0.0
4,2017,De'Veon Smith,MIA,16,KC,0,0,0,0,0,6,0.0,1.0,0.0
5,2017,De'Veon Smith,MIA,17,BUF,0,0,0,3,27,32,1.0,1.0,5.7
1,2015,DeAngelo Williams,PIT,1,NE,21,127,0,1,5,12,0.0,0.0,17.2
2,2015,DeAngelo Williams,PIT,2,SF,20,77,3,5,15,32,1.0,1.0,31.2
3,2015,DeAngelo Williams,PIT,3,LAR,1,2,0,0,0,23,0.0,1.0,0.2
4,2015,DeAngelo Williams,PIT,4,BAL,2,5,0,0,0,6,1.0,1.0,0.5
5,2015,DeAngelo Williams,PIT,5,LAC,5,20,0,0,0,26,0.0,1.0,2.0
6,2015,DeAngelo Williams,PIT,6,ARI,1,-1,0,0,0,8,1.0,1.0,-0.1
7,2015,DeAngelo Williams,PIT,7,KC,4,9,0,2,8,3,0.0,1.0,2.7
8,2015,DeAngelo Williams,PIT,8,CIN,9,71,0,4,39,15,1.0,1.0,15.0
9,2015,DeAngelo Williams,PIT,9,OAK,27,170,2,4,55,21,1.0,1.0,41.5
10,2015,DeAngelo Williams,PIT,10,CLE,17,54,0,2,15,16,1.0,1.0,7.9
11,2015,DeAngelo Williams,PIT,12,SEA,8,29,1,7,88,1,0.0,0.0,24.7
12,2015,DeAngelo Williams,PIT,13,IND,26,134,0,6,31,18,1.0,1.0,23.5
13,2015,DeAngelo Williams,PIT,14,CIN,23,76,2,2,15,15,0.0,0.0,23.1
14,2015,DeAngelo Williams,PIT,15,DEN,14,26,1,6,30,14,1.0,1.0,16.6
15,2015,DeAngelo Williams,PIT,16,BAL,17,100,2,6,53,6,0.0,1.0,35.3
16,2015,DeAngelo Williams,PIT,17,CLE,5,8,0,2,13,16,0.0,1.0,4.1
17,2016,DeAngelo Williams,PIT,1,WAS,26,143,2,9,28,26,0.0,1.0,38.1
18,2016,DeAngelo Williams,PIT,2,CIN,32,94,0,5,38,21,1.0,1.0,23.2
19,2016,DeAngelo Williams,PIT,3,PHI,8,21,0,7,23,12,0.0,1.0,8.4
20,2016,DeAngelo Williams,PIT,4,KC,4,7,1,1,2,17,1.0,1.0,7.9
21,2016,DeAngelo Williams,PIT,5,NYJ,1,0,0,1,0,19,1.0,1.0,0.0
22,2016,DeAngelo Williams,PIT,6,MIA,3,10,0,0,0,20,0.0,1.0,1.0
23,2016,DeAngelo Williams,PIT,9,BAL,1,1,0,0,0,13,0.0,1.0,0.1
24,2016,DeAngelo Williams,PIT,16,BAL,0,0,0,0,0,13,1.0,1.0,0.0
25,2016,DeAngelo Williams,PIT,17,CLE,23,67,1,4,27,31,1.0,1.0,24.4
1,2015,DeMarco Murray,PHI,1,ATL,8,9,1,5,11,30,0.0,0.0,18.0
2,2015,DeMarco Murray,PHI,2,DAL,13,2,0,5,53,25,1.0,1.0,10.5
3,2015,DeMarco Murray,PHI,4,WAS,8,36,0,2,12,20,0.0,1.0,6.8
4,2015,DeMarco Murray,PHI,5,NO,20,83,1,8,37,29,1.0,1.0,25.0
5,2015,DeMarco Murray,PHI,6,NYG,21,112,1,4,14,24,1.0,1.0,24.6
6,2015,DeMarco Murray,PHI,7,CAR,18,65,0,4,5,19,0.0,1.0,9.0
7,2015,DeMarco Murray,PHI,9,DAL,18,83,1,7,78,25,0.0,0.0,28.1
8,2015,DeMarco Murray,PHI,10,MIA,22,61,0,8,58,31,1.0,1.0,17.9
9,2015,DeMarco Murray,PHI,11,TB,13,64,0,5,27,11,1.0,1.0,12.1
10,2015,DeMarco Murray,PHI,12,DET,14,30,0,0,0,17,0.0,0.0,3.0
11,2015,DeMarco Murray,PHI,13,NE,8,24,0,0,0,12,0.0,0.0,2.4
12,2015,DeMarco Murray,PHI,14,BUF,11,34,0,2,3,10,1.0,1.0,5.7
13,2015,DeMarco Murray,PHI,15,ARI,2,3,0,0,0,8,1.0,1.0,0.3
14,2015,DeMarco Murray,PHI,16,WAS,5,27,1,4,24,20,1.0,1.0,14.1
15,2015,DeMarco Murray,PHI,17,NYG,12,69,1,1,0,24,0.0,0.0,11.9
16,2016,DeMarco Murray,TEN,1,MIN,13,42,0,7,35,8,1.0,1.0,23.7
17,2016,DeMarco Murray,TEN,2,DET,12,89,0,7,56,9,0.0,0.0,21.5
18,2016,DeMarco Murray,TEN,3,OAK,16,114,1,5,41,23,1.0,1.0,29.5
19,2016,DeMarco Murray,TEN,4,HOU,25,95,2,2,24,11,0.0,0.0,25.9
20,2016,DeMarco Murray,TEN,5,MIA,27,121,0,6,16,20,0.0,1.0,21.7
21,2016,DeMarco Murray,TEN,6,CLE,21,65,1,2,0,31,1.0,1.0,12.5
22,2016,DeMarco Murray,TEN,7,IND,25,107,1,5,20,25,1.0,1.0,24.7
23,2016,DeMarco Murray,TEN,8,JAX,21,123,1,2,5,14,1.0,1.0,22.8
24,2016,DeMarco Murray,TEN,9,LAC,14,51,1,7,29,28,0.0,1.0,21.0
25,2016,DeMarco Murray,TEN,10,GB,17,123,1,3,33,10,1.0,1.0,31.0
26,2016,DeMarco Murray,TEN,11,IND,21,70,0,3,9,25,0.0,0.0,16.9
27,2016,DeMarco Murray,TEN,12,CHI,17,43,0,5,41,5,0.0,1.0,13.4
28,2016,DeMarco Murray,TEN,14,DEN,21,92,1,2,0,18,1.0,1.0,15.2
29,2016,DeMarco Murray,TEN,15,KC,18,89,0,6,52,17,0.0,1.0,19.1
30,2016,DeMarco Murray,TEN,16,JAX,14,42,0,4,18,14,0.0,1.0,8.0
31,2016,DeMarco Murray,TEN,17,HOU,11,21,0,1,-2,11,1.0,1.0,2.9
32,2017,DeMarco Murray,TEN,1,OAK,12,44,0,2,16,19,1.0,1.0,8.0
33,2017,DeMarco Murray,TEN,2,JAX,9,25,0,2,3,10,0.0,1.0,3.8
34,2017,DeMarco Murray,TEN,3,SEA,14,115,1,2,5,9,1.0,1.0,22.0
35,2017,DeMarco Murray,TEN,4,HOU,7,31,0,2,4,7,0.0,0.0,5.5
36,2017,DeMarco Murray,TEN,5,MIA,14,58,0,5,11,25,0.0,1.0,9.9
37,2017,DeMarco Murray,TEN,6,IND,12,40,1,4,47,15,1.0,1.0,18.7
38,2017,DeMarco Murray,TEN,7,CLE,18,59,0,4,17,13,0.0,1.0,10.6
39,2017,DeMarco Murray,TEN,9,BAL,9,19,0,2,22,20,1.0,1.0,6.1
40,2017,DeMarco Murray,TEN,10,CIN,14,42,2,4,30,30,1.0,1.0,29.2
41,2017,DeMarco Murray,TEN,11,PIT,8,10,0,6,37,18,0.0,1.0,9.7
42,2017,DeMarco Murray,TEN,12,IND,12,9,1,4,33,15,0.0,0.0,13.2
43,2017,DeMarco Murray,TEN,13,HOU,11,66,0,2,13,7,1.0,1.0,9.9
44,2017,DeMarco Murray,TEN,14,ARI,11,34,0,3,13,5,0.0,1.0,6.7
45,2017,DeMarco Murray,TEN,15,SF,18,59,0,1,4,26,0.0,1.0,7.3
46,2017,DeMarco Murray,TEN,16,LAR,15,48,1,4,11,27,1.0,1.0,14.9
1,2016,Deandre Washington,OAK,1,NO,5,14,0,1,10,30,0.0,0.0,3.4
2,2016,Deandre Washington,OAK,2,ATL,7,46,0,1,6,29,1.0,1.0,6.2
3,2016,Deandre Washington,OAK,3,TEN,6,57,0,1,5,2,0.0,1.0,7.2
4,2016,Deandre Washington,OAK,4,BAL,5,30,0,3,16,13,0.0,1.0,6.6
5,2016,Deandre Washington,OAK,5,LAC,9,23,0,6,29,28,1.0,1.0,10.2
6,2016,Deandre Washington,OAK,6,KC,10,49,0,1,0,17,1.0,1.0,4.9
7,2016,Deandre Washington,OAK,7,JAX,5,16,0,2,6,14,0.0,1.0,3.2
8,2016,Deandre Washington,OAK,8,TB,5,32,0,0,0,22,0.0,1.0,3.2
9,2016,Deandre Washington,OAK,9,DEN,10,35,0,1,0,18,1.0,1.0,4.5
10,2016,Deandre Washington,OAK,11,HOU,1,0,0,1,0,11,1.0,1.0,0.0
11,2016,Deandre Washington,OAK,14,KC,0,0,0,0,0,17,0.0,1.0,0.0
12,2016,Deandre Washington,OAK,15,LAC,5,23,0,3,11,28,0.0,1.0,4.4
13,2016,Deandre Washington,OAK,16,IND,12,99,2,1,18,25,1.0,1.0,24.7
14,2016,Deandre Washington,OAK,17,DEN,7,43,0,2,14,18,0.0,1.0,7.7
15,2017,Deandre Washington,OAK,1,TEN,3,4,0,2,18,12,0.0,1.0,4.2
16,2017,Deandre Washington,OAK,2,NYJ,6,20,0,3,15,21,1.0,1.0,6.5
17,2017,Deandre Washington,OAK,3,WAS,1,0,0,6,24,28,0.0,1.0,7.4
18,2017,Deandre Washington,OAK,4,DEN,1,4,0,1,0,4,0.0,1.0,0.4
19,2017,Deandre Washington,OAK,6,LAC,3,-8,0,1,10,23,1.0,1.0,1.2
20,2017,Deandre Washington,OAK,7,KC,9,33,1,4,7,6,1.0,1.0,13.0
21,2017,Deandre Washington,OAK,8,BUF,6,26,0,10,62,32,0.0,0.0,21.8
22,2017,Deandre Washington,OAK,9,MIA,4,16,0,1,-2,25,0.0,1.0,2.4
23,2017,Deandre Washington,OAK,11,NE,3,7,0,3,12,16,1.0,1.0,3.9
24,2017,Deandre Washington,OAK,12,DEN,6,23,0,3,23,4,1.0,1.0,7.6
25,2017,Deandre Washington,OAK,13,NYG,6,16,1,0,0,22,1.0,1.0,7.6
26,2017,Deandre Washington,OAK,14,KC,4,9,0,2,10,6,0.0,1.0,2.9
27,2017,Deandre Washington,OAK,15,DAL,2,3,0,3,16,8,1.0,1.0,3.9
28,2017,Deandre Washington,OAK,16,PHI,1,-3,0,3,2,2,0.0,1.0,0.9
29,2017,Deandre Washington,OAK,17,LAC,2,3,0,3,0,23,0.0,1.0,2.3
30,2018,Deandre Washington,OAK,8,IND,1,4,0,0,0,15,1.0,1.0,0.4
1,2015,Denard Robinson,JAX,1,CAR,5,19,0,2,26,19,1.0,1.0,6.5
2,2015,Denard Robinson,JAX,2,MIA,1,9,0,0,0,31,1.0,1.0,0.9
3,2015,Denard Robinson,JAX,6,HOU,7,19,0,3,19,7,1.0,1.0,6.8
4,2015,Denard Robinson,JAX,7,BUF,0,0,0,0,0,10,1.0,1.0,0.0
5,2015,Denard Robinson,JAX,9,NYJ,1,2,0,1,0,5,0.0,0.0,0.2
6,2015,Denard Robinson,JAX,10,BAL,1,1,0,2,0,6,0.0,1.0,0.1
7,2015,Denard Robinson,JAX,11,TEN,7,27,0,0,0,4,1.0,1.0,2.7
8,2015,Denard Robinson,JAX,12,LAC,3,23,0,1,9,26,1.0,1.0,4.2
9,2015,Denard Robinson,JAX,13,TEN,3,21,0,1,2,4,0.0,1.0,3.3
10,2015,Denard Robinson,JAX,14,IND,14,75,1,2,12,18,1.0,1.0,15.7
11,2015,Denard Robinson,JAX,15,ATL,14,41,0,10,46,30,1.0,1.0,16.7
12,2015,Denard Robinson,JAX,16,NO,6,20,0,7,50,29,0.0,0.0,12.0
13,2015,Denard Robinson,JAX,17,HOU,5,9,0,1,0,7,0.0,0.0,-0.1
14,2016,Denard Robinson,JAX,1,GB,3,7,0,0,0,10,1.0,1.0,0.7
15,2016,Denard Robinson,JAX,2,LAC,1,7,0,2,7,28,0.0,1.0,2.4
16,2016,Denard Robinson,JAX,3,BAL,0,0,0,0,0,13,1.0,1.0,0.0
17,2016,Denard Robinson,JAX,4,IND,0,0,0,0,0,25,1.0,1.0,0.0
18,2016,Denard Robinson,JAX,6,CHI,0,0,0,0,0,5,0.0,1.0,0.0
19,2016,Denard Robinson,JAX,7,OAK,0,0,0,0,0,23,1.0,1.0,0.0
20,2016,Denard Robinson,JAX,8,TEN,0,0,0,0,0,2,0.0,1.0,0.0
21,2016,Denard Robinson,JAX,9,KC,0,0,0,0,0,17,0.0,1.0,0.0
22,2016,Denard Robinson,JAX,10,HOU,0,0,0,0,0,11,1.0,1.0,0.0
23,2016,Denard Robinson,JAX,11,DET,3,21,0,1,4,9,0.0,0.0,3.5
24,2016,Denard Robinson,JAX,12,BUF,13,39,0,0,0,24,0.0,0.0,3.9
25,2016,Denard Robinson,JAX,13,DEN,17,53,0,1,11,18,1.0,1.0,7.4
26,2016,Denard Robinson,JAX,17,IND,4,17,0,1,0,25,0.0,0.0,1.7
1,2016,Derek Watt,LAC,1,KC,0,0,0,0,0,17,0.0,1.0,0.0
2,2016,Derek Watt,LAC,2,JAX,0,0,0,0,0,14,0.0,1.0,0.0
3,2016,Derek Watt,LAC,3,IND,0,0,0,1,6,25,0.0,0.0,1.6
4,2016,Derek Watt,LAC,4,NO,0,0,0,0,0,30,0.0,0.0,0.0
5,2016,Derek Watt,LAC,5,OAK,1,2,0,0,0,23,0.0,1.0,0.2
6,2016,Derek Watt,LAC,6,DEN,0,0,0,1,8,18,0.0,1.0,1.8
7,2016,Derek Watt,LAC,7,ATL,0,0,0,0,0,29,0.0,0.0,0.0
8,2016,Derek Watt,LAC,8,DEN,0,0,0,1,53,18,0.0,1.0,6.3
9,2016,Derek Watt,LAC,9,TEN,0,0,0,0,0,2,0.0,1.0,0.0
10,2016,Derek Watt,LAC,10,MIA,0,0,0,0,0,20,0.0,1.0,0.0
11,2016,Derek Watt,LAC,12,HOU,0,0,0,0,0,11,0.0,0.0,0.0
12,2016,Derek Watt,LAC,13,TB,1,2,0,0,0,22,0.0,1.0,0.2
13,2016,Derek Watt,LAC,14,CAR,0,0,0,0,0,15,0.0,1.0,0.0
14,2016,Derek Watt,LAC,15,OAK,0,0,0,0,0,23,0.0,1.0,0.0
15,2016,Derek Watt,LAC,16,CLE,0,0,0,1,16,31,0.0,1.0,2.6
16,2016,Derek Watt,LAC,17,KC,0,0,0,0,0,17,0.0,1.0,0.0
17,2017,Derek Watt,LAC,1,DEN,0,0,0,0,0,4,0.0,1.0,0.0
18,2017,Derek Watt,LAC,2,MIA,1,0,0,0,0,25,1.0,1.0,0.0
19,2017,Derek Watt,LAC,3,KC,0,0,0,0,0,6,1.0,1.0,0.0
20,2017,Derek Watt,LAC,4,PHI,0,0,0,0,0,2,1.0,1.0,0.0
21,2017,Derek Watt,LAC,5,NYG,0,0,0,0,0,22,0.0,0.0,0.0
22,2017,Derek Watt,LAC,6,OAK,0,0,0,0,0,19,0.0,1.0,0.0
23,2017,Derek Watt,LAC,7,DEN,0,0,0,0,0,4,1.0,1.0,0.0
24,2017,Derek Watt,LAC,8,NE,0,0,0,0,0,16,0.0,0.0,0.0
25,2017,Derek Watt,LAC,10,JAX,0,0,0,2,12,10,0.0,1.0,2.2
26,2017,Derek Watt,LAC,11,BUF,2,17,0,0,0,32,1.0,1.0,1.7
27,2017,Derek Watt,LAC,12,DAL,0,0,0,0,0,8,0.0,0.0,0.0
28,2017,Derek Watt,LAC,13,CLE,0,0,0,0,0,13,1.0,1.0,0.0
29,2017,Derek Watt,LAC,14,WAS,1,2,0,0,0,28,1.0,1.0,0.2
30,2017,Derek Watt,LAC,15,KC,0,0,0,0,0,6,0.0,1.0,0.0
31,2017,Derek Watt,LAC,16,NYJ,1,3,0,1,23,21,0.0,0.0,3.6
32,2017,Derek Watt,LAC,17,OAK,1,2,0,0,0,19,1.0,1.0,0.2
33,2018,Derek Watt,LAC,1,KC,1,1,0,0,0,32,1.0,1.0,0.1
34,2018,Derek Watt,LAC,2,BUF,0,0,0,0,0,25,0.0,0.0,0.0
35,2018,Derek Watt,LAC,3,LAR,0,0,0,0,0,11,0.0,1.0,0.0
36,2018,Derek Watt,LAC,3,LAR,0,0,0,0,0,14,0.0,1.0,0.0
37,2018,Derek Watt,LAC,4,SF,0,0,0,0,0,26,1.0,1.0,0.0
38,2018,Derek Watt,LAC,4,SF,0,0,0,0,0,22,1.0,1.0,0.0
39,2018,Derek Watt,LAC,5,OAK,0,0,0,0,0,23,1.0,1.0,0.0
40,2018,Derek Watt,LAC,6,CLE,0,0,0,0,0,27,0.0,1.0,0.0
41,2018,Derek Watt,LAC,7,TEN,0,0,0,0,0,3,1.0,1.0,0.0
1,2015,Derrick Coleman,SEA,1,LAR,1,2,0,0,0,23,0.0,1.0,0.2
2,2015,Derrick Coleman,SEA,2,GB,0,0,0,1,0,13,0.0,1.0,1.0
3,2015,Derrick Coleman,SEA,3,CHI,0,0,0,0,0,22,1.0,0.0,0.0
4,2015,Derrick Coleman,SEA,4,DET,0,0,0,0,0,17,1.0,0.0,0.0
5,2015,Derrick Coleman,SEA,5,CIN,0,0,0,0,0,15,0.0,0.0,0.0
6,2015,Derrick Coleman,SEA,8,DAL,0,0,0,0,0,25,0.0,0.0,0.0
7,2015,Derrick Coleman,SEA,10,ARI,0,0,0,0,0,8,1.0,0.0,0.0
8,2015,Derrick Coleman,SEA,11,SF,0,0,0,0,0,32,1.0,0.0,0.0
9,2015,Derrick Coleman,SEA,12,PIT,1,1,0,0,0,2,1.0,0.0,0.1
10,2015,Derrick Coleman,SEA,13,MIN,0,0,0,0,0,9,0.0,0.0,0.0
11,2015,Derrick Coleman,SEA,14,BAL,1,19,0,0,0,6,0.0,1.0,1.9
12,2015,Derrick Coleman,SEA,15,CLE,5,10,0,0,0,16,1.0,0.0,1.0
13,2015,Derrick Coleman,SEA,16,LAR,0,0,0,0,0,23,1.0,0.0,0.0
14,2015,Derrick Coleman,SEA,17,ARI,0,0,0,0,0,8,0.0,1.0,0.0
15,2017,Derrick Coleman,ATL,1,CHI,0,0,0,1,0,11,0.0,1.0,0.0
16,2017,Derrick Coleman,ATL,2,GB,0,0,0,0,0,24,1.0,0.0,0.0
17,2017,Derrick Coleman,ATL,3,DET,0,0,0,0,0,31,0.0,0.0,0.0
18,2017,Derrick Coleman,ATL,4,BUF,0,0,0,2,11,32,1.0,0.0,2.1
19,2017,Derrick Coleman,ATL,6,MIA,0,0,0,0,0,25,1.0,0.0,0.0
20,2017,Derrick Coleman,ATL,7,NE,0,0,0,0,0,16,0.0,0.0,0.0
21,2017,Derrick Coleman,ATL,8,NYJ,0,0,0,0,0,21,0.0,0.0,0.0
22,2017,Derrick Coleman,ATL,9,CAR,0,0,0,1,9,3,0.0,1.0,1.9
23,2017,Derrick Coleman,ATL,10,DAL,2,8,0,0,0,8,1.0,0.0,0.8
24,2017,Derrick Coleman,ATL,11,SEA,0,0,0,0,0,9,0.0,0.0,0.0
25,2017,Derrick Coleman,ATL,12,TB,0,0,0,1,0,29,1.0,0.0,0.0
26,2017,Derrick Coleman,ATL,13,MIN,0,0,0,0,0,1,1.0,0.0,0.0
27,2017,Derrick Coleman,ATL,14,NO,0,0,0,0,0,17,1.0,0.0,0.0
28,2017,Derrick Coleman,ATL,15,TB,0,0,0,1,0,29,0.0,1.0,0.0
29,2017,Derrick Coleman,ATL,16,NO,0,0,0,1,0,17,0.0,0.0,0.0
30,2017,Derrick Coleman,ATL,17,CAR,0,0,0,0,0,3,1.0,0.0,0.0
31,2018,Derrick Coleman,ARI,1,WAS,0,0,0,0,0,14,1.0,1.0,0.0
32,2018,Derrick Coleman,ARI,2,LAR,1,1,0,0,0,11,0.0,1.0,0.1
33,2018,Derrick Coleman,ARI,3,CHI,0,0,0,1,12,1,1.0,1.0,2.2
34,2018,Derrick Coleman,ARI,3,CHI,0,0,0,1,12,2,1.0,1.0,2.2
35,2018,Derrick Coleman,ARI,4,SEA,0,0,0,1,5,10,1.0,1.0,1.5
36,2018,Derrick Coleman,ARI,4,SEA,0,0,0,1,5,16,1.0,1.0,1.5
37,2018,Derrick Coleman,ARI,5,SF,0,0,0,0,0,22,0.0,1.0,0.0
38,2018,Derrick Coleman,ARI,6,MIN,1,2,0,0,0,5,0.0,0.0,0.2
39,2018,Derrick Coleman,ARI,7,DEN,0,0,0,0,0,26,1.0,1.0,0.0
40,2018,Derrick Coleman,ARI,8,SF,0,0,0,0,0,5,1.0,1.0,0.0
1,2016,Derrick Henry,TEN,1,MIN,5,3,0,2,41,8,1.0,1.0,6.4
2,2016,Derrick Henry,TEN,2,DET,9,40,0,1,9,9,0.0,0.0,5.9
3,2016,Derrick Henry,TEN,3,OAK,10,45,0,0,0,23,1.0,1.0,4.5
4,2016,Derrick Henry,TEN,4,HOU,3,9,0,0,0,11,0.0,0.0,0.9
5,2016,Derrick Henry,TEN,5,MIA,7,54,0,0,0,20,0.0,1.0,5.4
6,2016,Derrick Henry,TEN,6,CLE,2,7,0,2,20,31,1.0,1.0,4.7
7,2016,Derrick Henry,TEN,7,IND,1,3,0,1,0,25,1.0,1.0,0.3
8,2016,Derrick Henry,TEN,8,JAX,16,60,1,5,37,14,1.0,1.0,19.7
9,2016,Derrick Henry,TEN,10,GB,9,31,0,0,0,10,1.0,1.0,3.1
10,2016,Derrick Henry,TEN,11,IND,0,0,0,0,0,25,0.0,0.0,0.0
11,2016,Derrick Henry,TEN,12,CHI,8,60,1,0,0,5,0.0,1.0,12.0
12,2016,Derrick Henry,TEN,14,DEN,12,42,0,1,5,18,1.0,1.0,5.7
13,2016,Derrick Henry,TEN,15,KC,9,58,2,0,0,17,0.0,1.0,17.8
14,2016,Derrick Henry,TEN,16,JAX,4,13,0,2,22,14,0.0,1.0,5.5
15,2016,Derrick Henry,TEN,17,HOU,15,65,1,1,3,11,1.0,1.0,13.8
16,2017,Derrick Henry,TEN,1,OAK,6,25,0,0,0,19,1.0,1.0,2.5
17,2017,Derrick Henry,TEN,2,JAX,14,92,1,0,0,10,0.0,1.0,15.2
18,2017,Derrick Henry,TEN,3,SEA,13,54,0,1,10,9,1.0,1.0,7.4
19,2017,Derrick Henry,TEN,4,HOU,6,7,0,0,0,7,0.0,0.0,0.7
20,2017,Derrick Henry,TEN,5,MIA,4,9,0,0,0,25,0.0,1.0,0.9
21,2017,Derrick Henry,TEN,6,IND,19,131,1,1,14,15,1.0,1.0,24.5
22,2017,Derrick Henry,TEN,7,CLE,13,13,0,3,11,13,0.0,1.0,4.4
23,2017,Derrick Henry,TEN,9,BAL,8,26,1,2,10,20,1.0,1.0,11.6
24,2017,Derrick Henry,TEN,10,CIN,11,52,0,3,0,30,1.0,1.0,5.2
25,2017,Derrick Henry,TEN,11,PIT,7,32,0,0,0,18,0.0,1.0,3.2
26,2017,Derrick Henry,TEN,12,IND,13,79,0,2,10,15,0.0,0.0,9.9
27,2017,Derrick Henry,TEN,13,HOU,11,109,1,0,0,7,1.0,1.0,19.9
28,2017,Derrick Henry,TEN,14,ARI,8,20,1,0,0,5,0.0,1.0,8.0
29,2017,Derrick Henry,TEN,15,SF,7,19,0,2,9,26,0.0,1.0,4.8
30,2017,Derrick Henry,TEN,16,LAR,8,25,0,1,6,27,1.0,1.0,4.1
31,2017,Derrick Henry,TEN,17,JAX,28,51,0,2,66,10,1.0,1.0,18.7
32,2018,Derrick Henry,TEN,1,MIA,10,26,0,1,5,28,0.0,1.0,4.1
33,2018,Derrick Henry,TEN,2,HOU,18,56,0,0,0,19,1.0,1.0,5.92
34,2018,Derrick Henry,TEN,3,JAX,18,57,0,1,0,7,0.0,1.0,5.7
35,2018,Derrick Henry,TEN,3,JAX,18,57,0,1,0,7,0.0,1.0,5.7
36,2018,Derrick Henry,TEN,4,PHI,8,24,0,2,7,3,1.0,1.0,5.1
37,2018,Derrick Henry,TEN,4,PHI,8,24,0,2,7,8,1.0,1.0,5.1
38,2018,Derrick Henry,TEN,5,BUF,11,56,0,1,0,18,0.0,0.0,5.6
39,2018,Derrick Henry,TEN,6,BAL,7,21,0,1,5,1,1.0,1.0,3.6
40,2018,Derrick Henry,TEN,7,LAC,12,33,1,2,32,17,0.0,1.0,14.5
1,2018,Detrez Newsome,LAC,1,KC,0,0,0,0,0,32,1.0,1.0,0.0
