Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
85,16178,Bishop Sankey,TEN,RB,1,TB,null,null,4300,6.3
85,14046,Ronnie Hillman,DEN,RB,2,KC,23,9,5600,6.3
87,15645,Khiry Robinson,NO,RB,1,ARI,null,null,3000,6.2
87,16524,Devonta Freeman,ATL,RB,2,NYG,27,21,4200,6.2
89,8066,Darren McFadden,DAL,RB,1,NYG,null,null,4400,6.1
89,16856,Matt Jones,WAS,RB,1,MIA,null,null,3700,6.1
89,16524,Devonta Freeman,ATL,RB,1,PHI,null,null,4300,6.1
92,11256,Ryan Mathews,PHI,RB,1,ATL,null,null,3600,6.0
93,13255,Matt Asiata,MIN,RB,2,DET,32,24,3000,5.9
94,16144,Dri Archer,PIT,RB,1,NE,null,null,3300,5.8
94,16031,Damien Williams,MIA,RB,1,WAS,null,null,3500,5.8
94,15645,Khiry Robinson,NO,RB,2,TB,29,22,3000,5.8
94,16989,Marcus Murphy,NO,RB,1,ARI,null,null,3000,5.8
98,10949,CJ Spiller,NO,RB,2,TB,29,22,5000,5.6
98,16345,Branden Oliver,LAC,RB,2,CIN,7,27,3300,5.6
100,15126,Theo Riddick,DET,RB,1,LAC,null,null,3300,5.5
100,16510,Jerick McKinnon,MIN,RB,2,DET,32,24,3200,5.5
102,16142,Terrance West,TEN,RB,2,CLE,21,30,3500,5.3
103,14731,Lance Dunbar,DAL,RB,2,PHI,23,11,3000,5.2
104,16838,Duke Johnson,CLE,RB,2,TEN,10,6,3400,5.1
104,16163,Antonio Andrews,TEN,RB,1,TB,null,null,3000,5.1
106,15045,Knile Davis,KC,RB,1,HOU,null,null,3600,5.0
106,16838,Duke Johnson,CLE,RB,1,NYJ,null,null,3000,5.0
106,16915,Karlos Williams,BUF,RB,2,NE,26,18,3300,5.0
106,16965,Josh Robinson,IND,RB,1,BUF,null,null,3000,5.0
110,12800,Bilal Powell,NYJ,RB,1,CLE,null,null,3000,4.9
110,15018,Denard Robinson,JAX,RB,1,CAR,null,null,3000,4.9
110,15018,Denard Robinson,JAX,RB,2,MIA,9,13,3000,4.9
110,17254,Jarryd Hayne,SF,RB,2,PIT,30,12,3000,4.9
110,16031,Damien Williams,MIA,RB,2,JAX,6,7,3000,4.9
115,16699,Fitzgerald Toussaint,PIT,RB,1,NE,null,null,3000,4.8
115,16886,Javorius Allen,BAL,RB,1,DEN,null,null,3500,4.8
117,6828,Chris Johnson,NYJ,RB,1,CLE,null,null,3200,4.7
117,14731,Lance Dunbar,DAL,RB,1,NYG,null,null,3000,4.7
117,16965,Josh Robinson,IND,RB,2,NYJ,2,1,3000,4.7
120,16856,Matt Jones,WAS,RB,2,LAR,15,13,3500,4.6
120,13299,Jacquizz Rodgers,CHI,RB,1,GB,null,null,3500,4.6
120,11220,Dexter McCluster,TEN,RB,2,CLE,21,30,3000,4.6
123,16847,David Johnson,ARI,RB,1,NO,null,null,3800,4.5
123,16099,Lorenzo Taliaferro,BAL,RB,2,OAK,28,28,3000,4.5
125,12506,James Starks,GB,RB,1,CHI,null,null,3600,4.4
125,13852,Bobby Rainey,TB,RB,2,NO,31,26,3000,4.4
127,13741,Brandon Bolden,NE,RB,1,PIT,null,null,3000,4.3
127,14719,Jonathan Grimes,HOU,RB,1,KC,null,null,3000,4.3
127,16402,Andre Williams,NYG,RB,2,ATL,19,32,3000,4.3
130,14046,Ronnie Hillman,DEN,RB,1,BAL,null,null,3000,4.2
130,16855,Ty Montgomery,GB,RB,1,CHI,null,null,3000,4.2
130,3382,Marcel Reece,OAK,FB,1,CIN,null,null,3000,4.2
130,3382,Marcel Reece,OAK,FB,2,BAL,5,5,3400,4.2
134,14421,Isaiah Pead,LAR,RB,1,SEA,null,null,3000,4.1
134,15126,Theo Riddick,DET,RB,2,MIN,13,31,3400,4.1
136,16056,James White,NE,RB,1,PIT,null,null,3800,4.0
136,13735,Chris Polk,HOU,RB,1,KC,null,null,3000,4.0
136,16402,Andre Williams,NYG,RB,1,DAL,null,null,3000,4.0
136,16510,Jerick McKinnon,MIN,RB,1,SF,null,null,3300,4.0
