Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Alvin Kamara,NO,RB,4,NYG,12,8,9600,24.76
2,Todd Gurley,LAR,RB,3,LAC,21,24,9600,22.9
3,Alvin Kamara,NO,RB,3,ATL,14,25,9500,22.22
4,Todd Gurley,LAR,RB,4,MIN,14,7,8600,21.25
5,Ezekiel Elliott,DAL,RB,4,DET,16,30,7700,20.31
6,Saquon Barkley,NYG,RB,4,NO,31,4,8100,19.98
7,Melvin Gordon,LAC,RB,4,SF,28,14,8300,19.37
8,Christian McCaffrey,CAR,RB,3,CIN,25,12,7800,19.32
9,Ezekiel Elliott,DAL,RB,3,SEA,20,19,8700,19.17
10,Melvin Gordon,LAC,RB,3,LAR,1,10,7800,17.98
11,Saquon Barkley,NYG,RB,3,HOU,10,18,7600,17.9
12,James Conner,PIT,RB,3,TB,30,30,7400,17.56
13,James Conner,PIT,RB,4,BAL,3,4,7500,17.47
14,David Johnson,ARI,RB,4,SEA,15,10,6600,16.62
15,David Johnson,ARI,RB,3,CHI,15,1,7800,16.34
16,Giovani Bernard,CIN,RB,4,ATL,27,29,6300,16.05
17,Kareem Hunt,KC,RB,3,SF,23,7,6000,15.78
18,Tevin Coleman,ATL,RB,4,CIN,23,22,5900,15.72
19,Tevin Coleman,ATL,RB,3,NO,29,3,6400,15.71
20,Jordan Howard,CHI,RB,4,TB,29,27,6800,14.66
21,Jordan Howard,CHI,RB,3,ARI,27,32,7300,14.53
22,Kareem Hunt,KC,RB,4,DEN,19,18,6600,14.5
23,Chris Thompson,WAS,RB,3,GB,22,8,6300,14.25
24,Lamar Miller,HOU,RB,3,NYG,4,15,5000,14.22
24,Giovani Bernard,CIN,RB,3,CAR,12,14,5900,14.22
26,Leonard Fournette,JAX,RB,4,NYJ,5,17,7000,14.15
27,Kenyan Drake,MIA,RB,3,OAK,16,27,5600,14.12
28,Latavius Murray,MIN,RB,3,BUF,31,30,5800,14.04
29,Carlos Hyde,CLE,RB,4,OAK,21,13,5500,13.82
30,Lamar Miller,HOU,RB,4,IND,11,23,5000,13.57
31,Alex Collins,BAL,RB,4,PIT,30,5,5100,13.37
32,Kenyan Drake,MIA,RB,4,NE,24,21,5200,13.33
33,Corey Clement,PHI,RB,3,IND,11,22,4300,13.14
33,James White,NE,RB,4,MIA,10,25,5400,13.14
35,Marshawn Lynch,OAK,RB,4,CLE,7,26,4800,12.89
36,Dalvin Cook,MIN,RB,4,LAR,1,11,5900,12.71
37,Sony Michel,NE,RB,4,MIA,10,25,4500,12.62
38,Alex Collins,BAL,RB,3,DEN,18,9,5200,12.6
39,LeSean McCoy,BUF,RB,4,GB,22,18,5600,12.5
40,Matt Breida,SF,RB,3,KC,32,28,5400,12.46
41,Dion Lewis,TEN,RB,3,JAX,8,20,4500,12.13
42,Carlos Hyde,CLE,RB,3,NYJ,4,7,4800,12.09
42,Matt Breida,SF,RB,4,LAC,26,24,5800,12.09
44,James White,NE,RB,3,DET,25,31,4800,12.05
45,Marshawn Lynch,OAK,RB,3,MIA,5,23,4900,11.94
46,Kerryon Johnson,DET,RB,4,DAL,4,14,4400,11.92
47,TJ Yeldon,JAX,RB,3,TEN,17,5,5100,11.7
48,Dion Lewis,TEN,RB,4,PHI,13,1,4400,11.37
49,Jay Ajayi,PHI,RB,4,TEN,6,3,5500,11.27
50,Jordan Wilkins,IND,RB,3,PHI,19,4,3700,11.09
51,Phillip Lindsay,DEN,RB,3,BAL,6,2,4600,11.08
52,Phillip Lindsay,DEN,RB,4,KC,31,31,4800,10.89
53,Adrian Peterson,WAS,RB,3,GB,22,8,4900,10.87
54,Theo Riddick,DET,RB,3,NE,24,19,4300,10.62
55,Jamaal Williams,GB,RB,3,WAS,2,17,4800,10.6
56,Javorius Allen,BAL,RB,4,PIT,30,5,4700,10.48
57,Peyton Barber,TB,RB,3,PIT,29,11,3700,10.39
58,Rex Burkhead,NE,RB,3,DET,25,31,4100,10.26
59,Isaiah Crowell,NYJ,RB,4,JAX,1,9,3700,10.23
60,Bilal Powell,NYJ,RB,3,CLE,14,25,5300,10.14
