Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,16524,Devonta Freeman,ATL,RB,9,SF,26,29,8000,22.4
2,16771,Todd Gurley,LAR,RB,9,MIN,7,5,6900,20.5
3,7580,DeAngelo Williams,PIT,RB,10,CLE,27,28,6500,20.3
4,16771,Todd Gurley,LAR,RB,10,CHI,15,14,7300,19.6
5,13337,Mark Ingram,NO,RB,10,WAS,17,18,6400,19.4
6,9369,Justin Forsett,BAL,RB,10,JAX,24,24,6000,19.1
7,13124,DeMarco Murray,PHI,RB,10,MIA,26,30,6200,19
8,4807,Adrian Peterson,MIN,RB,10,OAK,30,19,7100,18.7
8,8066,Darren McFadden,DAL,RB,10,TB,22,11,4900,18.7
10,13791,Lamar Miller,MIA,RB,9,BUF,17,17,5000,18.3
10,13124,DeMarco Murray,PHI,RB,9,DAL,13,28,6400,18.3
12,14385,Doug Martin,TB,RB,10,DAL,14,31,5600,18.2
13,4807,Adrian Peterson,MIN,RB,9,LAR,3,10,7300,17.9
14,12506,James Starks,GB,RB,10,DET,31,29,4900,17.7
15,13791,Lamar Miller,MIA,RB,10,PHI,12,3,5400,17.6
16,14385,Doug Martin,TB,RB,9,NYG,29,21,5700,17.5
17,13337,Mark Ingram,NO,RB,9,TEN,9,7,6500,17.3
17,11932,LeSean McCoy,BUF,RB,9,MIA,22,23,5500,17.3
19,12239,Chris Ivory,NYJ,RB,9,JAX,25,24,5900,17
19,14046,Ronnie Hillman,DEN,RB,9,IND,27,27,4600,17
21,5451,Jonathan Stewart,CAR,RB,9,GB,12,19,4300,16.5
22,15071,Latavius Murray,OAK,RB,9,PIT,15,3,6000,16.4
22,12239,Chris Ivory,NYJ,RB,10,BUF,17,20,5900,16.4
22,14916,Giovani Bernard,CIN,RB,10,HOU,21,25,4700,16.4
25,7580,DeAngelo Williams,PIT,RB,9,OAK,24,15,5500,16.2
26,15138,Eddie Lacy,GB,RB,9,CAR,6,20,6100,16
26,15071,Latavius Murray,OAK,RB,10,MIN,6,8,5700,16
28,5451,Jonathan Stewart,CAR,RB,10,TEN,11,6,4300,15.6
29,12296,LeGarrette Blount,NE,RB,10,NYG,28,21,4900,15.4
30,16112,Jeremy Hill,CIN,RB,9,CLE,26,31,5200,15.3
30,16163,Antonio Andrews,TEN,RB,9,NO,32,22,3600,15.3
32,12386,Marshawn Lynch,SEA,RB,10,ARI,4,8,6700,14.9
33,16112,Jeremy Hill,CIN,RB,10,HOU,21,25,5300,13.9
34,16856,Matt Jones,WAS,RB,10,NO,32,23,3300,13.8
35,12708,Dion Lewis,NE,RB,9,WAS,16,11,6400,13.3
36,8066,Darren McFadden,DAL,RB,9,PHI,8,4,4300,12.8
37,12296,LeGarrette Blount,NE,RB,9,WAS,16,11,4800,12.7
38,11256,Ryan Mathews,PHI,RB,10,MIA,26,30,3500,11.9
39,16867,Jeremy Langford,CHI,RB,10,LAR,3,11,4800,11
39,16797,TJ Yeldon,JAX,RB,10,BAL,29,10,4800,11
41,16307,Charcandrick West,KC,RB,10,DEN,1,13,4800,10.5
41,12317,Danny Woodhead,LAC,RB,9,CHI,18,10,4800,10.5
43,16867,Jeremy Langford,CHI,RB,9,LAC,21,32,4000,10.1
43,16797,TJ Yeldon,JAX,RB,9,NYJ,4,1,4800,10.1
45,16838,Duke Johnson,CLE,RB,9,CIN,11,18,4000,10
46,5820,Frank Gore,IND,RB,9,DEN,1,13,4800,9.6
46,12780,Shane Vereen,NYG,RB,10,NE,8,5,4300,9.6
48,16776,Melvin Gordon,LAC,RB,9,CHI,18,10,4000,9.2
48,14916,Giovani Bernard,CIN,RB,9,CLE,26,31,4800,9.2
50,16163,Antonio Andrews,TEN,RB,10,CAR,10,19,3700,9.1
51,15020,CJ Anderson,DEN,RB,10,KC,19,9,3800,8.9
52,12780,Shane Vereen,NYG,RB,9,TB,23,12,4400,8.8
53,11932,LeSean McCoy,BUF,RB,10,NYJ,6,1,5500,8.5
53,16609,Charles Sims,TB,RB,10,DAL,14,31,3500,8.5
53,15126,Theo Riddick,DET,RB,10,GB,16,15,3300,8.5
56,15020,CJ Anderson,DEN,RB,9,IND,27,27,4100,8.4
57,15102,Chris Thompson,WAS,RB,9,NE,13,8,3300,8.1
57,15102,Chris Thompson,WAS,RB,10,NO,32,23,3200,8.1
59,11256,Ryan Mathews,PHI,RB,9,DAL,13,28,3700,7.9
59,10949,CJ Spiller,NO,RB,9,TEN,9,7,3100,7.9
61,16189,Alfred Blue,HOU,RB,10,CIN,7,14,4000,7.8
62,16609,Charles Sims,TB,RB,9,NYG,29,21,3600,7.7
