Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
114,16834,Tevin Coleman,ATL,RB,8,TB,3,11,3.7,0,1,1,10,0,0,0,3.1,3.1
116,15256,Christine Michael,DAL,RB,7,NYG,5,18,3.6,0,1,1,2,0,0,0,3,3
117,16776,Melvin Gordon,LAC,RB,7,OAK,7,29,4.1,0,0,0,0,0,0,0,2.9,2.9
118,15221,Zac Stacy,NYJ,RB,8,OAK,3,11,3.7,0,1,1,7,0,0,0,2.8,2.8
119,7580,DeAngelo Williams,PIT,RB,7,KC,4,9,2.2,0,2,1,8,0,0,0,2.7,2.7
120,13255,Matt Asiata,MIN,RB,7,DET,0,0,0,0,2,2,5,0,0,0,2.5,2.5
121,15085,Joseph Randle,DAL,RB,7,NYG,2,24,12,0,0,0,0,0,0,0,2.4,2.4
122,16008,Orleans Darkwa,NYG,RB,8,NO,4,23,5.8,0,0,0,0,0,0,0,2.3,2.3
122,2220,Ahmad Bradshaw,IND,RB,7,NO,1,5,5,0,2,1,8,0,0,0,2.3,2.3
124,14788,Dan Herron,BUF,RB,7,JAX,2,9,4.5,0,1,1,3,0,0,0,2.2,2.2
125,15256,Christine Michael,DAL,RB,8,SEA,5,20,4,0,2,0,0,0,0,0,2,2
126,8649,Rashad Jennings,NYG,RB,7,DAL,5,19,3.8,0,0,0,0,0,0,0,1.9,1.9
126,5701,Fred Jackson,SEA,RB,8,DAL,0,0,0,0,1,1,9,0,0,0,1.9,1.9
128,16510,Jerick McKinnon,MIN,RB,8,CHI,2,18,9,0,0,0,0,0,0,0,1.8,1.8
128,14786,Patrick DiMarco,ATL,FB,8,TB,0,0,0,0,1,1,8,0,0,0,1.8,1.8
128,17089,Terron Ward,ATL,RB,8,TB,0,0,0,0,1,1,8,0,0,0,1.8,1.8
131,14269,Alfred Morris,WAS,RB,7,TB,6,5,0.8,0,1,1,2,0,0,0,1.7,1.7
131,17089,Terron Ward,ATL,RB,7,TEN,0,0,0,0,1,1,7,0,0,0,1.7,1.7
133,16834,Tevin Coleman,ATL,RB,7,TEN,3,14,4.7,0,1,0,0,0,0,0,1.4,1.4
133,13852,Bobby Rainey,TB,RB,7,WAS,0,0,0,0,1,1,4,0,0,0,1.4,1.4
135,16402,Andre Williams,NYG,RB,7,DAL,4,13,3.2,0,0,0,0,0,0,0,1.3,1.3
136,17050,Thomas Rawls,SEA,RB,8,DAL,4,10,2.5,0,0,0,0,0,0,0,1,1
137,16127,Isaiah Crowell,CLE,RB,7,LAR,8,9,1.1,0,0,0,0,0,0,0,0.9,0.9
137,15045,Knile Davis,KC,RB,8,DET,4,9,2.2,0,0,0,0,0,0,0,0.9,0.9
139,11413,Toby Gerhart,JAX,RB,7,BUF,6,8,1.3,0,0,0,0,0,0,0,0.8,0.8
139,15261,Spencer Ware,KC,RB,7,PIT,2,8,4,0,0,0,0,0,0,0,0.8,0.8
139,16189,Alfred Blue,HOU,RB,7,MIA,3,8,2.7,0,0,0,0,0,0,0,0.8,0.8
