Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,14385,Doug Martin,TB,RB,5,JAX,24,123,5.1,2,3,3,35,1,0,0,39.8,39.8
2,16524,Devonta Freeman,ATL,RB,6,NO,13,100,7.7,1,10,8,56,1,0,0,38.6,38.6
3,16524,Devonta Freeman,ATL,RB,5,WAS,27,153,5.7,1,8,7,44,0,1,0,35.7,35.7
4,12239,Chris Ivory,NYJ,RB,6,WAS,20,146,7.3,1,3,3,50,0,0,0,31.6,31.6
5,9369,Justin Forsett,BAL,RB,5,CLE,21,121,5.8,1,5,4,49,0,0,0,30,30
6,12506,James Starks,GB,RB,6,LAC,10,112,11.2,1,2,1,5,1,0,0,27.7,27.7
7,17050,Thomas Rawls,SEA,RB,5,CIN,23,169,7.3,1,0,0,0,0,0,0,25.9,25.9
8,14967,Le'Veon Bell,PIT,RB,5,LAC,21,111,5.3,1,5,4,16,0,0,0,25.7,25.7
9,13124,DeMarco Murray,PHI,RB,5,NO,20,83,4.2,1,8,7,37,0,0,0,25,25
9,12780,Shane Vereen,NYG,RB,5,SF,5,24,4.8,0,8,8,86,1,0,0,25,25
11,13124,DeMarco Murray,PHI,RB,6,NYG,21,112,5.3,1,4,3,14,0,1,0,24.6,24.6
12,12296,LeGarrette Blount,NE,RB,6,IND,16,93,5.8,1,1,1,11,1,0,0,23.4,23.4
13,12708,Dion Lewis,NE,RB,5,DAL,6,34,5.7,0,11,8,59,1,0,0,23.3,23.3
14,13791,Lamar Miller,MIA,RB,6,TEN,19,113,5.9,1,3,2,5,0,0,0,22.8,22.8
15,11792,Arian Foster,HOU,RB,6,JAX,18,53,2.9,0,6,5,59,1,1,0,22.2,22.2
16,2699,Matt Forte,CHI,RB,5,KC,18,71,3.9,0,7,5,38,1,0,0,21.9,21.9
17,5451,Jonathan Stewart,CAR,RB,6,SEA,20,78,3.9,2,1,1,8,0,0,0,21.6,21.6
18,15126,Theo Riddick,DET,RB,5,ARI,0,0,0,0,13,10,53,1,0,0,21.3,21.3
19,11792,Arian Foster,HOU,RB,5,IND,19,41,2.2,0,10,9,77,0,0,0,20.8,20.8
20,13337,Mark Ingram,NO,RB,6,ATL,20,46,2.3,2,3,3,10,0,0,0,20.6,20.6
21,2699,Matt Forte,CHI,RB,6,DET,24,69,2.9,1,5,3,20,0,1,0,19.9,19.9
22,16771,Todd Gurley,LAR,RB,5,GB,30,159,5.3,0,0,0,0,0,0,0,18.9,18.9
23,11256,Ryan Mathews,PHI,RB,5,NO,8,73,9.1,1,3,3,23,0,0,0,18.6,18.6
24,3382,Marcel Reece,OAK,FB,5,DEN,1,6,6,0,8,7,49,1,0,0,18.5,18.5
25,16609,Charles Sims,TB,RB,5,JAX,12,51,4.2,0,4,4,85,0,0,0,17.6,17.6
26,14046,Ronnie Hillman,DEN,RB,6,CLE,20,111,5.6,0,5,3,4,0,0,0,17.5,17.5
27,11932,LeSean McCoy,BUF,RB,6,CIN,17,90,5.3,1,4,2,4,0,0,0,17.4,17.4
28,16797,TJ Yeldon,JAX,RB,5,TB,11,32,2.9,0,6,5,31,1,0,0,17.3,17.3
29,9369,Justin Forsett,BAL,RB,6,SF,17,62,3.6,0,8,7,39,0,0,0,17.1,17.1
30,8066,Darren McFadden,DAL,RB,5,NE,5,16,3.2,0,10,9,62,0,0,0,16.8,16.8
31,16668,Carlos Hyde,SF,RB,5,NYG,21,93,4.4,1,5,1,4,0,0,0,16.7,16.7
31,16127,Isaiah Crowell,CLE,RB,5,BAL,13,49,3.8,0,2,2,38,1,0,0,16.7,16.7
33,16855,Ty Montgomery,GB,RB,5,LAR,0,0,0,0,5,4,59,1,0,0,15.9,15.9
34,5820,Frank Gore,IND,RB,5,HOU,22,98,4.5,1,0,0,0,0,0,0,15.8,15.8
35,16776,Melvin Gordon,LAC,RB,5,PIT,15,42,2.8,0,9,7,52,0,1,1,15.4,15.4
36,14916,Giovani Bernard,CIN,RB,5,SEA,15,80,5.3,0,8,5,21,0,0,0,15.1,15.1
37,16163,Antonio Andrews,TEN,RB,5,BUF,7,9,1.3,1,4,3,45,0,0,0,14.4,14.4
38,14916,Giovani Bernard,CIN,RB,6,BUF,8,50,6.2,1,2,1,23,0,0,0,14.3,14.3
39,16112,Jeremy Hill,CIN,RB,6,BUF,16,56,3.5,0,1,1,13,1,0,0,13.9,13.9
40,16838,Duke Johnson,CLE,RB,5,BAL,9,22,2.4,0,8,6,55,0,0,0,13.7,13.7
41,6828,Chris Johnson,ARI,RB,5,DET,11,103,9.4,0,0,0,0,0,0,0,13.3,13.3
42,11220,Dexter McCluster,TEN,RB,6,MIA,5,23,4.6,0,4,3,19,1,0,0,13.2,13.2
43,16847,David Johnson,ARI,RB,5,DET,3,6,2,2,0,0,0,0,0,0,12.6,12.6
43,12317,Danny Woodhead,LAC,RB,5,PIT,4,10,2.5,0,7,5,66,0,0,0,12.6,12.6
