Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
49,17959,Derrick Henry,TEN,RB,5,BUF,11,56,5.1,0,1,0,0,0,0,0,5.6,5.6
50,16838,Duke Johnson,CLE,RB,5,BAL,5,35,7,0,1,1,7,0,0,0,5.2,5.2
51,16834,Tevin Coleman,ATL,RB,5,PIT,7,15,2.1,0,2,2,15,0,0,0,5,5
52,16855,Ty Montgomery,GB,RB,5,DET,4,15,3.8,0,3,1,23,0,0,0,4.8,4.8
53,12239,Chris Ivory,BUF,RB,5,TEN,14,43,3.1,0,0,0,0,0,0,0,4.3,4.3
53,15126,Theo Riddick,DET,RB,5,GB,3,3,1,0,3,2,20,0,0,0,4.3,4.3
55,16909,Jay Ajayi,PHI,RB,5,MIN,8,29,3.6,0,1,1,5,0,1,1,3.4,3.4
56,13418,Anthony Sherman,KC,FB,5,JAX,0,0,0,0,1,1,15,0,0,0,2.5,2.5
57,20327,Roc Thomas,MIN,RB,5,PHI,4,8,2,0,2,1,6,0,0,0,2.4,2.4
58,15261,Spencer Ware,KC,RB,5,JAX,1,0,0,0,1,1,13,0,0,0,2.3,2.3
58,19915,Mark Walton,CIN,RB,5,MIA,0,0,0,0,3,2,3,0,0,0,2.3,2.3
60,20562,De'Lance Turner,BAL,RB,5,CLE,0,0,0,0,1,1,7,0,0,0,1.7,1.7
60,18652,CJ Ham,MIN,RB,5,PHI,0,0,0,0,1,1,7,0,0,0,1.7,1.7
62,17360,Rod Smith,DAL,RB,5,HOU,3,10,3.3,0,0,0,0,0,0,0,1,1
63,15020,CJ Anderson,CAR,RB,5,NYG,4,9,2.2,0,0,0,0,0,0,0,0.9,0.9
63,17217,Raheem Mostert,SF,RB,5,ARI,5,11,2.2,0,1,1,-2,0,1,1,0.9,0.9
65,17197,Corey Grant,JAX,RB,5,KC,1,8,8,0,0,0,0,0,0,0,0.8,0.8
65,12774,Stevan Ridley,PIT,RB,5,ATL,5,8,1.6,0,0,0,0,0,0,0,0.8,0.8
