Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,16668,Carlos Hyde,SF,RB,1,MIN,26,168,6.5,2,2,2,14,0,0,0,35.2,35.2
2,16856,Matt Jones,WAS,RB,2,LAR,19,123,6.5,2,3,3,23,0,1,1,31.6,31.6
3,7580,DeAngelo Williams,PIT,RB,2,SF,20,77,3.8,3,5,4,15,0,0,0,31.2,31.2
4,2699,Matt Forte,CHI,RB,1,GB,24,141,5.9,1,8,5,25,0,0,0,30.6,30.6
5,12708,Dion Lewis,NE,RB,2,BUF,7,40,5.7,1,9,6,98,0,1,1,24.8,24.8
6,7969,Jamaal Charles,KC,RB,2,DEN,21,125,6,1,5,4,2,0,2,2,23.7,23.7
7,4807,Adrian Peterson,MIN,RB,2,DET,29,134,4.6,0,2,2,58,0,2,1,23.2,23.2
8,12239,Chris Ivory,NYJ,RB,1,CLE,20,91,4.6,2,1,1,9,0,0,0,23,23
9,16178,Bishop Sankey,TEN,RB,1,TB,12,74,6.2,1,3,2,12,1,1,0,22.6,22.6
10,7969,Jamaal Charles,KC,RB,1,HOU,16,57,3.6,0,8,5,46,1,1,0,21.3,21.3
11,12317,Danny Woodhead,LAC,RB,1,DET,13,43,3.3,2,6,3,19,0,0,0,21.2,21.2
12,13337,Mark Ingram,NO,RB,1,ARI,9,24,2.7,0,9,8,98,0,0,0,20.2,20.2
13,14916,Giovani Bernard,CIN,RB,2,LAC,20,123,6.2,0,3,3,16,0,0,0,19.9,19.9
14,6198,Darren Sproles,PHI,RB,1,ATL,5,50,10,0,9,7,76,0,1,0,19.6,19.6
15,16815,Ameer Abdullah,DET,RB,1,LAC,7,50,7.1,1,4,4,44,0,1,0,19.4,19.4
16,16112,Jeremy Hill,CIN,RB,1,OAK,19,63,3.3,2,0,0,0,0,0,0,18.3,18.3
17,13124,DeMarco Murray,PHI,RB,1,ATL,8,9,1.1,1,5,4,11,1,0,0,18,18
18,15138,Eddie Lacy,GB,RB,1,CHI,19,85,4.5,1,3,2,14,0,0,0,17.9,17.9
19,15071,Latavius Murray,OAK,RB,2,BAL,15,65,4.3,1,3,3,22,0,0,0,17.7,17.7
20,3382,Marcel Reece,OAK,FB,1,CIN,0,0,0,0,4,3,26,2,0,0,17.6,17.6
