Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,14967,Le'Veon Bell,PIT,RB,8,CIN,13,19,8300,22.5
2,16524,Devonta Freeman,ATL,RB,7,TEN,10,8,7900,21.9
2,14967,Le'Veon Bell,PIT,RB,7,KC,29,13,8400,21.9
4,16524,Devonta Freeman,ATL,RB,8,TB,22,11,8000,21.1
4,2699,Matt Forte,CHI,RB,8,MIN,7,5,7300,21.1
6,9369,Justin Forsett,BAL,RB,8,LAC,19,31,6100,20.5
7,11792,Arian Foster,HOU,RB,7,MIA,17,21,7500,20.4
8,16771,Todd Gurley,LAR,RB,8,SF,29,26,6300,20
9,4807,Adrian Peterson,MIN,RB,8,CHI,20,13,7400,18.5
10,13791,Lamar Miller,MIA,RB,8,NE,16,6,4700,18.3
11,4807,Adrian Peterson,MIN,RB,7,DET,30,26,7600,18.1
11,11932,LeSean McCoy,BUF,RB,7,JAX,25,28,5500,18.1
13,15071,Latavius Murray,OAK,RB,7,LAC,15,32,6100,18
13,13337,Mark Ingram,NO,RB,8,NYG,17,21,6400,18
15,13337,Mark Ingram,NO,RB,7,IND,27,22,6300,17.7
16,13791,Lamar Miller,MIA,RB,7,HOU,19,23,4600,17.6
17,12239,Chris Ivory,NYJ,RB,7,NE,13,6,5800,17.3
17,12386,Marshawn Lynch,SEA,RB,8,DAL,15,30,7100,17.3
19,16771,Todd Gurley,LAR,RB,7,CLE,26,30,5000,17.2
19,14385,Doug Martin,TB,RB,8,ATL,11,29,5500,17.2
19,13124,DeMarco Murray,PHI,RB,7,CAR,4,19,6400,17.2
22,5820,Frank Gore,IND,RB,7,NO,32,27,4900,16.9
23,12386,Marshawn Lynch,SEA,RB,7,SF,31,25,6900,16.8
24,6828,Chris Johnson,ARI,RB,8,CLE,21,32,4600,16.1
24,12239,Chris Ivory,NYJ,RB,8,OAK,26,18,6000,16.1
26,16307,Charcandrick West,KC,RB,8,DET,32,25,4700,16
26,5820,Frank Gore,IND,RB,8,CAR,5,20,4800,16
28,14046,Ronnie Hillman,DEN,RB,8,GB,9,11,4600,15.9
29,15071,Latavius Murray,OAK,RB,8,NYJ,2,1,5900,15.7
30,5451,Jonathan Stewart,CAR,RB,8,IND,28,29,4100,15.5
31,15138,Eddie Lacy,GB,RB,8,DEN,1,17,6200,14.6
32,5451,Jonathan Stewart,CAR,RB,7,PHI,9,3,4000,14
33,16163,Antonio Andrews,TEN,RB,8,HOU,27,28,3300,13.8
34,14269,Alfred Morris,WAS,RB,7,TB,21,17,3300,13.7
35,6828,Chris Johnson,ARI,RB,7,BAL,30,9,4300,13.3
36,12296,LeGarrette Blount,NE,RB,8,MIA,17,21,4700,13.1
37,16112,Jeremy Hill,CIN,RB,8,PIT,16,4,5300,12.7
38,9369,Justin Forsett,BAL,RB,7,ARI,6,5,6100,12.5
