Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
81,Giovani Bernard,CIN,RB,1,IND,29,20,4400,8.62
82,Jordan Wilkins,IND,RB,1,CIN,17,29,3700,8.6
83,Theo Riddick,DET,RB,1,NYJ,26,26,4300,8.43
84,Javorius Allen,BAL,RB,2,CIN,21,7,4300,8.26
85,Adrian Peterson,WAS,RB,1,ARI,11,4,4700,8.11
86,Austin Ekeler,LAC,RB,2,BUF,29,26,4400,7.84
86,Ty Montgomery,GB,RB,2,MIN,11,7,3700,7.84
88,Javorius Allen,BAL,RB,1,BUF,16,32,4200,7.72
89,Alfred Morris,SF,RB,1,MIN,1,1,3600,7.67
90,Giovani Bernard,CIN,RB,2,BAL,1,1,3800,7.63
91,Devontae Booker,DEN,RB,1,SEA,8,10,4600,7.53
92,Corey Clement,PHI,RB,1,ATL,10,7,3600,7.39
93,Jordan Wilkins,IND,RB,2,WAS,1,15,4400,7.28
94,Darren Sproles,PHI,RB,1,ATL,10,7,3800,7.1
95,Latavius Murray,MIN,RB,1,SF,28,24,4800,6.95
96,Nyheim Hines,IND,RB,2,WAS,1,15,4100,6.8
97,Austin Ekeler,LAC,RB,1,KC,21,12,4400,6.64
98,Latavius Murray,MIN,RB,2,GB,7,10,4600,6.48
99,Rashaad Penny,SEA,RB,2,CHI,25,1,4500,6.3
100,Frank Gore,MIA,RB,2,NYJ,4,1,3900,6.29
101,Frank Gore,MIA,RB,1,TEN,19,8,3700,6.23
102,Nyheim Hines,IND,RB,1,CIN,17,29,4000,6.13
103,CJ Anderson,CAR,RB,2,ATL,3,27,3900,6.12
104,Jaylen Samuels,PIT,FB,1,CLE,24,15,3000,6.06
105,Mike Gillislee,NO,RB,1,TB,27,28,3400,6.05
106,Corey Grant,JAX,RB,2,NE,14,21,4600,5.98
107,CJ Anderson,CAR,RB,1,DAL,12,5,4200,5.91
108,TJ Yeldon,JAX,RB,1,NYG,32,21,4900,5.63
109,Jeremy Hill,NE,RB,1,HOU,31,13,3300,5.54
110,LeGarrette Blount,DET,RB,1,NYJ,26,26,4700,5.45
111,Chase Edmonds,ARI,RB,2,LAR,12,20,4500,5.31
112,Jalen Richard,OAK,RB,2,DEN,20,5,3700,5.26
